pnl,win,bars_held,exit_type,timestamp,direction
-14.8,0,1,sl,2025-08-01 13:31:00,bullish
-42.8,0,1,sl,2025-08-01 14:49:00,bullish
-13.8,0,1,sl,2025-08-01 17:12:00,bullish
-21.8,0,1,sl,2025-08-01 17:36:00,bullish
30.2,1,4,tp,2025-08-01 17:47:00,bullish
-16.8,0,1,sl,2025-08-01 17:54:00,bullish
-11.8,0,1,sl,2025-08-01 18:02:00,bullish
28.2,1,2,tp,2025-08-01 18:21:00,bullish
-16.8,0,2,sl,2025-08-01 18:34:00,bullish
-23.8,0,2,sl,2025-08-01 18:46:00,bullish
-11.8,0,1,sl,2025-08-05 13:13:00,bearish
-13.8,0,3,sl,2025-08-05 13:22:00,bullish
-64.8,0,10,sl,2025-08-05 13:34:00,bearish
40.2,1,4,tp,2025-08-05 13:51:00,bullish
-9.8,0,1,sl,2025-08-05 14:09:00,bullish
-33.8,0,2,sl,2025-08-05 14:29:00,bearish
-55.8,0,7,sl,2025-08-05 14:51:00,bearish
7.2,1,2,tp,2025-08-05 17:14:00,bullish
-9.8,0,1,sl,2025-08-05 17:21:00,bullish
10.2,1,3,tp,2025-08-05 17:41:00,bullish
-6.8,0,1,sl,2025-08-05 18:02:00,bullish
-7.8,0,1,sl,2025-08-05 18:10:00,bullish
-7.8,0,1,sl,2025-08-05 18:35:00,bullish
30.2,1,1,tp,2025-08-05 18:51:00,bearish
14.2,1,1,tp,2025-08-05 18:55:00,bearish
-29.8,0,2,sl,2025-08-07 17:28:00,bullish
-22.8,0,2,sl,2025-08-07 18:06:00,bullish
27.2,1,7,tp,2025-08-07 18:31:00,bullish
-13.8,0,1,sl,2025-08-07 18:40:00,bullish
20.2,1,1,tp,2025-08-07 18:53:00,bullish
-30.8,0,18,sl,2025-08-07 18:59:00,bullish
-6.8,0,1,sl,2025-08-08 17:05:00,bearish
-13.8,0,1,sl,2025-08-08 17:23:00,bearish
-33.8,0,10,sl,2025-08-08 17:31:00,bearish
-6.8,0,1,sl,2025-08-08 17:50:00,bearish
8.2,1,2,tp,2025-08-08 18:13:00,bearish
15.2,1,9,tp,2025-08-08 18:17:00,bearish
-9.8,0,2,sl,2025-08-08 18:28:00,bearish
4.2,1,1,tp,2025-08-08 18:50:00,bearish
-3.8,0,1,sl,2025-08-11 07:18:00,bearish
1.2,1,1,tp,2025-08-11 07:29:00,bearish
-5.8,0,1,sl,2025-08-11 07:37:00,bearish
-4.8,0,1,sl,2025-08-11 07:52:00,bearish
5.2,1,1,tp,2025-08-11 17:18:00,bearish
6.2,1,1,tp,2025-08-11 17:31:00,bearish
-15.8,0,1,sl,2025-08-11 17:48:00,bearish
14.2,1,5,tp,2025-08-11 18:07:00,bearish
-9.8,0,1,sl,2025-08-11 18:31:00,bearish
-5.8,0,1,sl,2025-08-11 18:38:00,bearish
13.2,1,1,tp,2025-08-11 18:51:00,bearish
5.2,1,1,tp,2025-08-12 07:18:00,bullish
6.2,1,1,tp,2025-08-12 07:26:00,bullish
-14.8,0,1,sl,2025-08-12 07:30:00,bullish
-9.8,0,4,sl,2025-08-12 07:57:00,bullish
107.2,1,3,tp,2025-08-12 13:56:00,bearish
-18.8,0,1,sl,2025-08-12 14:03:00,bearish
-20.8,0,1,sl,2025-08-12 14:49:00,bearish
-33.8,0,3,sl,2025-08-12 14:59:00,bearish
-4.8,0,1,sl,2025-08-12 17:32:00,bearish
3.2,1,1,tp,2025-08-12 18:25:00,bearish
-7.8,0,1,sl,2025-08-12 18:49:00,bearish
2.2,1,1,tp,2025-08-12 19:01:00,bearish
-3.8,0,1,sl,2025-08-13 07:12:00,bearish
5.2,1,4,tp,2025-08-13 07:38:00,bearish
-6.8,0,2,sl,2025-08-13 07:44:00,bearish
33.2,1,12,tp,2025-08-13 17:08:00,bullish
-16.8,0,1,sl,2025-08-13 17:34:00,bullish
