atr,gap_size,volume_ratio,et_hour,day_of_week,signal_direction,session_displacement,adr_pct_used,fvg_to_sweep_bars,prior_setup_proximity,h1_trend_slope,sin_hour,cos_hour,session_volume_ratio,fvg_fill_pct,bar_body_ratio,sweep_window_vol,slope_direction_match,label
10.4625,7.75,0.8405764211959605,5,4,1,0.0,1.1801067715650464,20,120,-0.4271498701643338,0.9659258262890683,0.25881904510252074,0.8919104347283727,1.2903225806451613,0.3333333333333333,0.0,0,0
13.95,10.5,0.6325174392207041,12,4,1,-1.6308243727598568,2.0,20,120,-0.3276032404663217,1.2246467991473532e-16,-1.0,1.3400055601890466,1.1666666666666667,0.37209302325581395,0.0,0,0
15.3875,8.0,0.8852491019834453,13,4,1,-13.225020308692121,2.0,20,74,-0.44294401010819356,-0.2588190451025208,-0.9659258262890683,0.6463862966105118,1.65625,0.28205128205128205,0.0,0,0
14.425,7.5,0.9290782762953655,14,4,1,-16.187175043327557,2.0,20,33,-0.34935428038876415,-0.4999999999999997,-0.8660254037844388,0.9569359233196778,1.0666666666666667,0.6470588235294118,0.0,0,1
14.7,12.25,1.8047421796886158,15,4,1,-11.75170068027211,2.0,20,64,-0.12422360248448669,-0.7071067811865471,-0.7071067811865479,0.7531572904707233,1.3061224489795917,0.6363636363636364,0.0,0,1
6.575,4.75,1.4925937598487236,18,6,1,6.653992395437262,0.22806461830852073,20,95,0.01517998046141322,-1.0,-1.8369701987210297e-16,5.382205513784461,4.894736842105263,0.9012345679012346,0.0,1,0
8.2,7.25,2.1165109034267915,18,6,1,2.2865853658536586,0.3125329954598247,20,29,0.01517998046141322,-1.0,-1.8369701987210297e-16,0.8038647342995169,1.0,0.4117647058823529,0.0,1,1
7.2625,7.75,1.8234019501625136,20,6,1,12.013769363166952,0.5036241610738255,20,98,0.06190295610090304,-0.8660254037844386,0.5000000000000001,1.293701715333246,1.4516129032258065,0.3,0.0,1,1
6.5125,5.0,1.0316183348924228,7,1,1,7.255278310940499,0.3478616738285247,20,120,-0.009265446122323322,0.9659258262890683,-0.25881904510252063,2.3864541832669324,1.15,0.09090909090909091,0.0,0,0
6.65,4.25,0.668520942408377,9,1,1,3.1578947368421053,0.3478616738285247,20,91,0.25225551978961863,0.7071067811865476,-0.7071067811865475,0.6884772040467744,1.3529411764705883,0.0,0.0,1,0
10.2375,15.75,1.2953332924510945,9,1,0,-2.7594627594627594,0.38367096378146104,20,11,0.25225551978961863,0.7071067811865476,-0.7071067811865475,5.462892119357307,-0.6666666666666666,0.3956043956043956,5.462892119357307,0,1
16.725,13.5,4.275326153576745,10,1,0,-12.16741405082212,1.0527931246163291,20,76,0.17161659758130685,0.49999999999999994,-0.8660254037844387,0.8033434326017521,-0.8148148148148148,0.1956521739130435,0.8033434326017521,0,0
12.2375,13.5,1.3954886418045434,12,1,0,-14.872318692543411,1.0527931246163291,20,111,-0.9118541033434651,1.2246467991473532e-16,-1.0,1.5514738079325205,-1.0740740740740742,0.46774193548387094,0.0,1,0
13.6875,8.0,1.7772342751913448,14,1,0,-14.63013698630137,1.0527931246163291,20,116,-0.555169856104418,-0.4999999999999997,-0.8660254037844388,1.20121377001151,-1.09375,0.23255813953488372,0.0,1,1
14.35,7.25,1.3855214723926381,14,3,1,-16.114982578397214,1.281148810361819,20,120,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,0.66243057987692,1.8620689655172413,0.6923076923076923,0.0,0,1
12.0625,7.25,1.7981784784938006,14,3,1,-15.046632124352332,1.281148810361819,20,26,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,1.2837188259910648,2.8275862068965516,0.9056603773584906,0.0,0,1
10.55,6.5,1.8128513531180546,11,4,0,6.682464454976303,0.7362302795460836,20,120,0.4067072168337961,0.258819045102521,-0.9659258262890682,1.803815110163124,-0.8076923076923077,0.17073170731707318,0.0,0,0
9.175,8.0,1.2449904275686023,13,4,0,10.381471389645776,0.7509917889104161,20,109,0.6713102904455239,-0.2588190451025208,-0.9659258262890683,0.9486098450319052,-1.3125,0.6136363636363636,0.0,0,0
6.8375,4.25,0.6599198396793587,14,4,0,20.585009140767824,0.8164959867146415,20,45,0.6587371144776738,-0.4999999999999997,-0.8660254037844388,0.8737412858249419,-0.5294117647058824,0.045454545454545456,0.0,0,1
9.3375,4.75,0.9338414786030987,11,0,0,1.07095046854083,0.3823487135259451,20,120,0.046732522796334185,0.258819045102521,-0.9659258262890682,1.1975611027150972,-0.7368421052631579,0.125,0.0,0,1
8.8125,7.75,0.4250879249706917,12,0,0,6.156028368794326,0.5241722964879498,20,55,0.14380071711645467,1.2246467991473532e-16,-1.0,1.0107210426739541,-0.3548387096774194,0.3333333333333333,0.0,0,1
9.55,7.5,1.1248157506843546,14,0,0,-5.863874345549738,0.5893344832542763,20,120,-0.07785177228788225,-0.4999999999999997,-0.8660254037844388,3.7244015184773906,-0.3333333333333333,0.5853658536585366,0.0,1,1
10.0,6.5,2.6742896151548767,15,0,0,-12.025,0.7675722294092282,20,66,-0.26667804857230293,-0.7071067811865471,-0.7071067811865479,2.296308979282342,-2.230769230769231,0.5084745762711864,0.0,1,0
4.8125,2.5,1.0383247728170684,19,0,1,-16.83116883116883,0.7675722294092282,20,120,-0.2837717523270012,-0.9659258262890684,0.2588190451025203,1.153846153846154,2.8,0.19047619047619047,0.0,0,1
5.325,3.5,1.1558854718981972,2,1,1,0.0,0.30559629121528925,20,120,0.01054539462839404,0.49999999999999994,0.8660254037844387,1.3074031704526885,1.8571428571428572,0.47058823529411764,0.0,1,1
5.7375,4.25,3.036063110443276,3,1,1,0.0,0.30559629121528925,20,31,-0.03353646067647944,0.7071067811865475,0.7071067811865476,2.542834890965732,2.3529411764705883,0.2,2.542834890965732,0,0
4.9875,3.0,0.7019337016574586,7,1,1,-2.255639097744361,0.30559629121528925,20,120,-0.04168912848158014,0.9659258262890683,-0.25881904510252063,0.9790906073680716,1.8333333333333333,0.0,0.0,0,1
27.4,27.25,0.8212092763625292,9,1,0,2.217153284671533,0.8562372865320024,20,120,0.3254259132465975,0.7071067811865476,-0.7071067811865475,1.3708957591047572,-0.29357798165137616,0.23,1.3708957591047572,0,0
10.7125,10.5,0.9268787183833549,11,1,0,18.156359393232204,0.9934244760868537,20,94,0.4547515028084969,0.258819045102521,-0.9659258262890682,1.246237524423087,-0.21428571428571427,0.15789473684210525,0.0,0,0
3.9125,3.0,1.0055193176116408,5,2,0,0.0,0.299187282307761,20,120,0.22358927622086142,0.9659258262890683,0.25881904510252074,1.2042682926829267,-0.4166666666666667,0.42857142857142855,0.0,0,0
3.525,2.0,0.8197146562905318,7,2,0,-4.609929078014185,0.299187282307761,20,84,0.3401511548015569,0.9659258262890683,-0.25881904510252063,0.8378188626257899,-1.0,0.5833333333333334,0.0,0,1
9.7125,8.75,0.9767323657310668,13,2,1,-9.54954954954955,0.6537465392515852,20,120,-0.6869894401275112,-0.2588190451025208,-0.9659258262890683,1.3971756663568493,1.8285714285714285,0.8181818181818182,0.0,0,1
8.675,6.25,4.021050800278358,14,2,1,-7.17579250720461,0.6537465392515852,20,110,-0.60397595931578,-0.4999999999999997,-0.8660254037844388,1.0269090143883,2.04,0.6666666666666666,0.0,0,0
4.05,2.25,1.1684356252884172,21,2,0,-20.37037037037037,0.6559139784946236,20,120,-0.013666453128338458,-0.7071067811865477,0.7071067811865474,2.0700354609929077,-1.0,0.5,0.0,1,1
10.8,11.25,1.2141122801854167,10,3,0,2.4305555555555554,0.760752688172043,20,120,-0.17222344888495508,0.49999999999999994,-0.8660254037844387,2.0897766323024056,-0.13333333333333333,0.2692307692307692,2.0897766323024056,1,1
12.5125,23.25,3.425032406740602,11,3,0,-4.315684315684316,0.760752688172043,20,26,-0.004239084357796757,0.258819045102521,-0.9659258262890682,2.852183249821045,-0.6451612903225806,0.5147058823529411,0.0,1,0
6.825,5.75,0.8303487276154571,13,3,0,3.47985347985348,0.760752688172043,20,120,0.18372243592183965,-0.2588190451025208,-0.9659258262890683,1.3649998235522462,-0.43478260869565216,0.6458333333333334,0.0,0,1
9.3375,6.5,1.402310254411452,14,3,0,-1.900937081659973,0.760752688172043,20,29,0.3779320423821761,-0.4999999999999997,-0.8660254037844388,1.783625730994152,-0.4230769230769231,0.21951219512195122,0.0,0,0
12.625,7.5,1.1787276412645353,11,4,1,-7.603960396039604,0.8246676914730083,20,120,-0.5265650313629439,0.258819045102521,-0.9659258262890682,0.9495821772750406,2.3,0.6097560975609756,0.0,0,1
10.1125,7.0,1.0817560141653437,12,4,1,-9.542645241038318,0.8246676914730083,20,31,-0.6616868969810684,1.2246467991473532e-16,-1.0,1.0018220376952716,1.5,0.23809523809523808,0.0,0,1
7.0625,6.5,1.423288172830465,13,4,1,-8.106194690265486,0.8246676914730083,20,56,-0.5130517323208508,-0.2588190451025208,-0.9659258262890683,1.9373153795987266,2.5,0.8181818181818182,0.0,0,1
7.0875,5.0,0.7517709343076578,14,4,1,-8.253968253968253,0.8246676914730083,20,53,-0.1584456660893384,-0.4999999999999997,-0.8660254037844388,0.9629214934757332,1.75,0.3,0.0,0,0
8.825,4.75,0.8020597322348094,4,0,1,0.0,0.37048983917791806,20,120,-0.31458737341092397,0.8660254037844386,0.5000000000000001,0.8848976015770452,2.0526315789473686,0.5,0.0,0,0
9.0875,5.75,0.6949069539666993,4,0,1,0.0,0.4386894613151468,20,7,-0.31458737341092397,0.8660254037844386,0.5000000000000001,0.6848654384103404,1.608695652173913,0.29411764705882354,0.0,0,1
4.1125,2.75,1.522075557578516,7,0,1,5.471124620060791,0.4571217916225059,20,120,-0.3139773895169528,0.9659258262890683,-0.25881904510252063,0.6421381464769177,1.0909090909090908,0.23076923076923078,0.0,0,0
