atr,gap_size,volume_ratio,et_hour,day_of_week,signal_direction,session_displacement,adr_pct_used,fvg_to_sweep_bars,prior_setup_proximity,h1_trend_slope,sin_hour,cos_hour,session_volume_ratio,fvg_fill_pct,bar_body_ratio,sweep_window_vol,slope_direction_match,label
11.7375,3.25,0.7490596453519613,9,4,1,-3.5143769968051117,1.3194717617308234,20,120,-0.16745037659688106,0.7071067811865476,-0.7071067811865475,2.7536936599962596,8.923076923076923,0.9009009009009009,2.7536936599962596,0,0
22.85,10.25,0.8891086570334963,10,4,1,-6.061269146608315,2.0,20,76,-0.40290114905063024,0.49999999999999994,-0.8660254037844387,1.1550880720818268,2.2195121951219514,0.40441176470588236,1.1550880720818268,0,0
17.4625,3.0,0.4445954421910935,13,4,1,-14.030064423765213,2.0,20,120,-0.44294401010819356,-0.2588190451025208,-0.9659258262890683,0.742196599114838,2.3333333333333335,0.41509433962264153,0.0,0,0
14.95,5.0,1.1200911640953717,13,4,1,-17.909698996655518,2.0,20,20,-0.44294401010819356,-0.2588190451025208,-0.9659258262890683,1.0094027117667634,1.2,0.7916666666666666,1.0094027117667634,0,0
15.3875,8.0,0.8852491019834453,13,4,1,-17.77416734362307,2.0,20,6,-0.44294401010819356,-0.2588190451025208,-0.9659258262890683,0.6463862966105118,1.65625,0.28205128205128205,0.6463862966105118,0,1
14.2375,3.75,0.855755711775044,13,4,1,-18.507462686567163,2.0,20,5,-0.44294401010819356,-0.2588190451025208,-0.9659258262890683,0.8651399491094148,2.066666666666667,0.4117647058823529,0.8651399491094148,0,0
13.7875,2.5,1.0132579450185222,14,4,1,-20.32638259292838,2.0,20,7,-0.34935428038876415,-0.4999999999999997,-0.8660254037844388,1.1018996636505756,4.0,0.4186046511627907,1.1018996636505756,0,0
14.425,7.5,0.9290782762953655,14,4,1,-21.039861351819756,2.0,20,18,-0.34935428038876415,-0.4999999999999997,-0.8660254037844388,0.9569359233196778,1.0666666666666667,0.6470588235294118,0.9569359233196778,0,1
15.0875,3.75,4.401162790697675,14,4,1,-14.349627174813588,2.0,20,12,-0.34935428038876415,-0.4999999999999997,-0.8660254037844388,1.2448086826513096,3.1333333333333333,0.5272727272727272,1.2448086826513096,0,0
13.275,5.5,2.971998686155362,14,4,1,-14.23728813559322,2.0,20,11,-0.34935428038876415,-0.4999999999999997,-0.8660254037844388,0.9993901199430779,2.590909090909091,0.6,0.9993901199430779,0,0
6.3125,2.5,1.7603466955579632,9,1,0,0.4752475247524752,0.37650910579087377,11,120,0.25225551978961863,0.7071067811865476,-0.7071067811865475,1.3779242704397459,-0.9,0.75,1.3779242704397459,0,0
6.725,3.0,0.7609902822767237,9,1,1,3.0483271375464684,0.37650910579087377,20,6,0.25225551978961863,0.7071067811865476,-0.7071067811865475,2.345015408872644,3.75,0.49019607843137253,2.345015408872644,1,0
10.2375,15.75,1.2953332924510945,9,1,0,-2.7594627594627594,0.41231839574381013,20,10,0.25225551978961863,0.7071067811865476,-0.7071067811865475,5.462892119357307,-0.6666666666666666,0.3956043956043956,5.462892119357307,0,0
19.925,10.5,2.192569754894404,9,1,1,1.9949811794228356,0.41231839574381013,20,13,0.25225551978961863,0.7071067811865476,-0.7071067811865475,1.2145889107177394,2.3095238095238093,0.2857142857142857,1.2145889107177394,1,1
18.925,2.0,1.1271124632728333,10,1,1,0.23778071334214002,0.41231839574381013,8,17,0.17161659758130685,0.49999999999999994,-0.8660254037844387,0.9827644340427221,5.0,0.42105263157894735,0.9827644340427221,1,0
16.0,8.0,1.8072876571721836,10,1,0,-5.0,0.5821567423777368,20,19,0.17161659758130685,0.49999999999999994,-0.8660254037844387,0.943113469288564,-0.90625,0.4864864864864865,0.943113469288564,0,0
16.725,13.5,4.275326153576745,10,1,0,-12.16741405082212,1.0814405565786782,20,21,0.17161659758130685,0.49999999999999994,-0.8660254037844387,0.8033434326017521,-0.8148148148148148,0.1956521739130435,0.8033434326017521,0,0
11.675,2.25,1.2632595948827292,13,1,1,-13.468950749464668,1.1898915490075712,20,120,-0.9461150096847051,-0.2588190451025208,-0.9659258262890683,0.6549173792307058,1.5555555555555556,0.6,0.0,0,1
10.65,2.0,1.1459217532216992,13,1,1,-14.389671361502346,1.1898915490075712,20,6,-0.9461150096847051,-0.2588190451025208,-0.9659258262890683,0.6729963697291259,2.75,0.25925925925925924,0.0,0,0
7.7375,3.0,2.6453033963336647,13,1,1,-15.831987075928918,1.1898915490075712,20,18,-0.9461150096847051,-0.2588190451025208,-0.9659258262890683,1.7191679642272528,2.8333333333333335,0.46153846153846156,1.7191679642272528,0,1
7.275,1.25,2.097405836867049,13,1,1,-14.570446735395189,1.1898915490075712,20,13,-0.9461150096847051,-0.2588190451025208,-0.9659258262890683,0.5500259823320143,3.0,0.125,0.5500259823320143,0,0
8.1875,1.5,1.396913473209641,14,1,1,-11.908396946564885,1.1898915490075712,20,7,-0.555169856104418,-0.4999999999999997,-0.8660254037844388,0.7241181531402352,4.666666666666667,0.44,0.7241181531402352,0,0
12.6375,1.5,0.6590421032081734,14,1,1,-12.759643916913948,1.1898915490075712,20,24,-0.555169856104418,-0.4999999999999997,-0.8660254037844388,1.178260434390952,4.0,0.48484848484848486,1.178260434390952,0,0
13.6875,8.0,1.7772342751913448,14,1,0,-14.63013698630137,1.1898915490075712,20,13,-0.555169856104418,-0.4999999999999997,-0.8660254037844388,1.20121377001151,-1.09375,0.23255813953488372,1.20121377001151,1,1
13.2375,4.0,2.1174318030605455,14,1,0,-16.713881019830026,1.1898915490075712,20,2,-0.555169856104418,-0.4999999999999997,-0.8660254037844388,1.512130900883957,-2.5625,0.7555555555555555,1.512130900883957,1,1
19.65,7.0,0.7055275181413683,13,3,1,-7.531806615776082,1.0558918766718288,20,120,-0.49235493570468253,-0.2588190451025208,-0.9659258262890683,1.0854139755454497,3.6785714285714284,0.8205128205128205,0.0,0,0
14.6875,5.25,1.1702309210175457,14,3,1,-12.83404255319149,1.0887418461682856,5,37,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,1.2056737588652482,1.0,0.746031746031746,1.2056737588652482,0,0
14.35,7.25,1.3855214723926381,14,3,1,-16.114982578397214,1.281148810361819,20,23,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,0.66243057987692,1.8620689655172413,0.6923076923076923,0.66243057987692,0,1
12.725,3.0,2.882734132268087,14,3,1,-17.308447937131632,1.281148810361819,20,8,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,1.244343891402715,3.75,0.7111111111111111,1.244343891402715,0,0
12.5,5.5,0.9009874566319722,14,3,1,-18.24,1.281148810361819,20,9,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,0.8194678995598129,1.9090909090909092,0.43243243243243246,0.8194678995598129,0,1
12.0625,7.25,1.7981784784938006,14,3,1,-15.046632124352332,1.281148810361819,20,4,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,1.2837188259910648,2.8275862068965516,0.9056603773584906,1.2837188259910648,0,0
7.4875,1.25,2.539917282867527,13,4,0,13.25542570951586,0.7509917889104161,20,120,0.6713102904455239,-0.2588190451025208,-0.9659258262890683,3.914883327288115,-9.2,0.7719298245614035,0.0,0,0
8.7625,3.0,1.6517537022603273,13,4,0,11.24108416547789,0.7509917889104161,20,11,0.6713102904455239,-0.2588190451025208,-0.9659258262890683,1.9288302517885347,-4.083333333333333,0.9183673469387755,0.0,0,0
9.175,8.0,1.2449904275686023,13,4,0,10.381471389645776,0.7509917889104161,20,4,0.6713102904455239,-0.2588190451025208,-0.9659258262890683,0.9486098450319052,-1.3125,0.6136363636363636,0.0,0,0
6.8625,1.25,0.5483077643752196,13,4,0,19.12568306010929,0.7509917889104161,20,17,0.6713102904455239,-0.2588190451025208,-0.9659258262890683,1.0437773374705597,-0.4,0.6176470588235294,1.0437773374705597,0,0
6.475,2.5,0.5496109932302718,14,4,0,22.81853281853282,0.8164959867146415,20,22,0.6587371144776738,-0.4999999999999997,-0.8660254037844388,0.8444267832306774,-0.5,0.08695652173913043,0.8444267832306774,0,1
6.8375,4.25,0.6599198396793587,14,4,0,20.585009140767824,0.8164959867146415,20,3,0.6587371144776738,-0.4999999999999997,-0.8660254037844388,0.8737412858249419,-0.5294117647058824,0.045454545454545456,0.8737412858249419,0,1
6.3625,2.0,1.1995058112931272,14,4,0,21.728880157170924,0.8164959867146415,20,10,0.6587371144776738,-0.4999999999999997,-0.8660254037844388,2.4636517705824637,-0.5,0.37254901960784315,2.4636517705824637,0,0
5.6375,1.5,0.6198372485797635,14,4,0,25.41019955654102,0.8164959867146415,20,11,0.6587371144776738,-0.4999999999999997,-0.8660254037844388,1.4128990997195847,-5.0,0.8235294117647058,1.4128990997195847,0,1
4.2,0.5,1.4261437908496732,3,0,0,0.0,0.13990704805711274,20,120,-0.04725596983658007,0.7071067811865475,0.7071067811865476,0.6461698801459093,-4.0,0.1111111111111111,0.6461698801459093,1,0
4.05,0.75,3.133102852203976,3,0,0,0.0,0.13990704805711274,20,9,-0.04725596983658007,0.7071067811865475,0.7071067811865476,1.2542372881355932,-2.3333333333333335,0.5833333333333334,1.2542372881355932,1,1
4.475,1.0,3.084626234132581,3,0,0,0.0,0.15236452493891045,20,6,-0.04725596983658007,0.7071067811865475,0.7071067811865476,1.791359325605901,-1.5,0.38095238095238093,1.791359325605901,1,0
5.25,0.75,4.153482082488168,3,0,0,0.0,0.22902592113458867,20,11,-0.04725596983658007,0.7071067811865475,0.7071067811865476,1.4405632277281342,-4.333333333333333,0.7222222222222222,1.4405632277281342,1,0
7.2,1.75,1.534561780937237,13,0,0,1.1458333333333333,0.5241722964879498,16,120,0.10546313887214978,-0.2588190451025208,-0.9659258262890683,2.9175458529459504,-1.7142857142857142,0.1956521739130435,0.0,0,1
6.8625,2.0,2.2327277549396634,13,0,0,0.4371584699453552,0.5241722964879498,20,8,0.10546313887214978,-0.2588190451025208,-0.9659258262890683,1.5761080661171292,-3.125,0.6857142857142857,0.0,0,1
9.325,3.5,1.7784825371336812,13,0,0,-3.485254691689008,0.5241722964879498,20,16,0.10546313887214978,-0.2588190451025208,-0.9659258262890683,1.4043048631220707,-2.7142857142857144,0.7954545454545454,1.4043048631220707,0,0
9.075,4.0,1.7367452751296204,14,0,0,-4.62809917355372,0.5241722964879498,20,17,-0.07785177228788225,-0.4999999999999997,-0.8660254037844388,1.89585002403461,-0.5625,0.0625,1.89585002403461,1,1
9.0875,2.0,1.154,14,0,0,-4.704264099037139,0.5241722964879498,20,23,-0.07785177228788225,-0.4999999999999997,-0.8660254037844388,0.7479932962864956,-1.375,0.04,0.7479932962864956,1,0
9.025,1.0,1.1366783066838204,14,0,0,-3.5734072022160666,0.5241722964879498,20,5,-0.07785177228788225,-0.4999999999999997,-0.8660254037844388,0.8770510746475618,0.0,0.5641025641025641,0.8770510746475618,1,0
8.55,3.75,0.8813666743489283,14,0,0,-4.385964912280701,0.5241722964879498,20,5,-0.07785177228788225,-0.4999999999999997,-0.8660254037844388,0.48696179502728926,-0.4,0.26666666666666666,0.48696179502728926,1,1
5.6125,1.75,1.9382151029748285,3,1,1,0.0,0.30559629121528925,20,120,-0.03353646067647944,0.7071067811865475,0.7071067811865476,3.235613463626493,6.285714285714286,0.9,3.235613463626493,0,1
6.4,2.0,1.1226478494623655,3,1,1,0.0,0.30559629121528925,20,6,-0.03353646067647944,0.7071067811865475,0.7071067811865476,1.0166177908113392,2.875,0.35,1.0166177908113392,0,1
6.425,3.25,0.7783751493428913,3,1,1,0.0,0.30559629121528925,20,2,-0.03353646067647944,0.7071067811865475,0.7071067811865476,0.980269339179455,2.076923076923077,0.3,0.980269339179455,0,0
4.2625,2.0,2.4903846153846154,3,1,1,0.0,0.30559629121528925,20,25,-0.03353646067647944,0.7071067811865475,0.7071067811865476,0.7635206786850477,1.625,0.0,0.7635206786850477,0,0
27.4,27.25,0.8212092763625292,9,1,0,2.217153284671533,0.8562372865320024,20,120,0.3254259132465975,0.7071067811865476,-0.7071067811865475,1.3708957591047572,-0.29357798165137616,0.23,1.3708957591047572,0,1
28.275,4.25,2.0644690840075914,10,1,0,0.09725906277630417,0.8562372865320024,20,6,0.2659947414548675,0.49999999999999994,-0.8660254037844387,0.956186405240905,-1.0,0.5578947368421052,0.956186405240905,0,0
14.35,4.75,1.6980021506593468,10,1,0,7.369337979094077,0.8562372865320024,20,45,0.2659947414548675,0.49999999999999994,-0.8660254037844387,1.0568986158660814,-0.5789473684210527,0.7894736842105263,1.0568986158660814,0,0
14.3125,8.0,1.2206944565311983,10,1,0,7.895196506550218,0.8562372865320024,20,7,0.2659947414548675,0.49999999999999994,-0.8660254037844387,1.9147498002908583,-1.625,0.5833333333333334,1.9147498002908583,0,0
5.4625,0.75,0.8368839026849868,13,1,0,46.72768878718535,1.1940016084015326,20,120,0.872187161343791,-0.2588190451025208,-0.9659258262890683,1.2225379444174924,-1.3333333333333333,0.4,0.0,0,0
5.1875,1.25,0.8701311705216782,14,1,0,53.30120481927711,1.273475566488481,20,51,0.7758390096730935,-0.4999999999999997,-0.8660254037844388,2.0201680672268907,-6.2,0.8787878787878788,2.0201680672268907,0,1
5.1875,1.5,1.0990521959684956,14,1,0,52.04819277108434,1.273475566488481,20,23,0.7758390096730935,-0.4999999999999997,-0.8660254037844388,1.2915467155194975,-0.8333333333333334,0.5555555555555556,1.2915467155194975,0,0
4.65,1.0,0.7806230200633579,14,1,0,58.064516129032256,1.273475566488481,20,9,0.7758390096730935,-0.4999999999999997,-0.8660254037844388,1.5028274847005965,-1.25,0.05263157894736842,1.5028274847005965,0,1
4.375,0.5,1.3274336283185841,3,2,0,0.0,0.1634366348128963,8,120,0.07867207867205865,0.7071067811865475,0.7071067811865476,0.9404502541757445,-8.0,0.8125,0.9404502541757445,0,0
4.5625,1.75,0.5618033192965073,3,2,0,0.0,0.1955881039564169,20,20,0.07867207867205865,0.7071067811865475,0.7071067811865476,1.000935453695042,-1.7142857142857142,0.35714285714285715,1.000935453695042,0,1
4.075,1.25,1.5220264317180616,3,2,0,0.0,0.1955881039564169,20,5,0.07867207867205865,0.7071067811865475,0.7071067811865476,0.8594757198109154,-0.6,0.125,0.8594757198109154,0,0
9.7125,8.75,0.9767323657310668,13,2,1,-9.54954954954955,0.6537465392515852,20,120,-0.6869894401275112,-0.2588190451025208,-0.9659258262890683,1.3971756663568493,1.8285714285714285,0.8181818181818182,0.0,0,1
8.0875,3.75,1.1053359683794466,13,2,1,-9.706336939721792,0.6537465392515852,20,13,-0.6869894401275112,-0.2588190451025208,-0.9659258262890683,1.4783041153798335,3.1333333333333333,0.8888888888888888,0.0,0,0
7.45,4.75,2.4278059377262853,13,2,1,-9.53020134228188,0.6537465392515852,20,24,-0.6869894401275112,-0.2588190451025208,-0.9659258262890683,2.3093858112054635,2.1052631578947367,0.5555555555555556,2.3093858112054635,0,1
7.1625,2.75,2.397060552616108,14,2,1,-8.1326352530541,0.6537465392515852,20,11,-0.60397595931578,-0.4999999999999997,-0.8660254037844388,2.806976923670603,4.545454545454546,0.5925925925925926,2.806976923670603,0,0
8.675,6.25,4.021050800278358,14,2,1,-7.17579250720461,0.6537465392515852,20,40,-0.60397595931578,-0.4999999999999997,-0.8660254037844388,1.0269090143883,2.04,0.6666666666666666,1.0269090143883,0,0
11.075,2.25,0.9529104540476793,9,3,0,-8.284424379232506,0.6155913978494624,18,120,-0.32260297680862177,0.7071067811865476,-0.7071067811865475,0.6606400754037959,-3.2222222222222223,0.696969696969697,0.6606400754037959,1,0
10.8,11.25,1.2141122801854167,10,3,0,2.4305555555555554,0.760752688172043,20,90,-0.17222344888495508,0.49999999999999994,-0.8660254037844387,2.0897766323024056,-0.13333333333333333,0.2692307692307692,2.0897766323024056,1,1
6.825,5.75,0.8303487276154571,13,3,0,3.47985347985348,0.760752688172043,20,120,0.18372243592183965,-0.2588190451025208,-0.9659258262890683,1.3649998235522462,-0.43478260869565216,0.6458333333333334,1.3649998235522462,0,1
9.0875,2.25,1.1112497537269324,14,3,0,-1.6781292984869325,0.760752688172043,20,28,0.3779320423821761,-0.4999999999999997,-0.8660254037844388,1.8671430461823473,-3.3333333333333335,0.7073170731707317,1.8671430461823473,0,1
9.2625,4.25,1.1967811822965027,14,3,0,-1.484480431848853,0.760752688172043,20,7,0.3779320423821761,-0.4999999999999997,-0.8660254037844388,0.9202958093672966,-0.8235294117647058,0.0967741935483871,0.9202958093672966,0,0
7.3875,2.0,0.6307582353323371,14,3,0,-0.40609137055837563,0.760752688172043,20,14,0.3779320423821761,-0.4999999999999997,-0.8660254037844388,1.4114358914638407,-4.5,0.6,1.4114358914638407,0,1
7.0625,6.5,1.423288172830465,13,4,1,-8.106194690265486,0.8246676914730083,20,120,-0.5130517323208508,-0.2588190451025208,-0.9659258262890683,1.9373153795987266,2.5,0.8181818181818182,1.9373153795987266,0,1
6.75,14.0,1.8284453302961277,13,4,1,-6.888888888888889,0.8246676914730083,20,21,-0.5130517323208508,-0.2588190451025208,-0.9659258262890683,3.226662245067153,1.7857142857142858,0.6888888888888889,3.226662245067153,0,0
7.325,1.75,0.8726153846153846,3,0,1,0.0,0.3327035620478319,0,120,-0.2661428207646683,0.7071067811865475,0.7071067811865476,0.6885137371731215,1.8571428571428572,0.06666666666666667,0.6885137371731215,0,1
7.1625,3.0,0.8552106430155211,3,0,1,0.0,0.3327035620478319,20,38,-0.2661428207646683,0.7071067811865475,0.7071067811865476,0.8526675303262278,2.0833333333333335,0.09523809523809523,0.8526675303262278,0,1
15.225,12.0,0.9803853052857177,10,0,1,1.3300492610837438,0.4709460393530252,5,120,-0.13944039154121515,0.49999999999999994,-0.8660254037844387,0.9712388590739792,1.2916666666666667,0.22857142857142856,0.9712388590739792,0,1
12.3875,11.5,2.5979630283763098,10,0,1,4.641775983854693,0.4709460393530252,20,17,-0.13944039154121515,0.49999999999999994,-0.8660254037844387,1.9377920810722906,1.5434782608695652,0.22727272727272727,1.9377920810722906,0,0
13.45,2.0,1.5829211418880724,10,0,1,1.5241635687732342,0.4709460393530252,20,4,-0.13944039154121515,0.49999999999999994,-0.8660254037844387,0.8499118435118213,2.875,0.3333333333333333,0.8499118435118213,0,1
8.175,2.25,1.1022727272727273,13,0,1,-1.2538226299694188,0.5308511128519423,20,120,-0.16384323640965132,-0.2588190451025208,-0.9659258262890683,1.0663990633885265,2.2222222222222223,0.2,0.0,0,1
6.2875,1.75,2.7102677058624196,13,0,1,-0.5964214711729623,0.5308511128519423,20,9,-0.16384323640965132,-0.2588190451025208,-0.9659258262890683,1.1650575566282955,1.4285714285714286,0.08333333333333333,0.0,0,1
6.025,2.5,1.7299417868893951,13,0,1,0.33195020746887965,0.5308511128519423,20,11,-0.16384323640965132,-0.2588190451025208,-0.9659258262890683,0.7603956682762177,2.4,0.17647058823529413,0.0,0,0
6.2,0.75,1.2705422023476802,14,0,1,1.7741935483870968,0.5308511128519423,20,32,-0.07495687627412109,-0.4999999999999997,-0.8660254037844388,0.8532373400788054,3.6666666666666665,0.3,0.8532373400788054,0,0
6.075,4.5,1.5773181941065153,14,0,1,0.8641975308641975,0.5308511128519423,20,11,-0.07495687627412109,-0.4999999999999997,-0.8660254037844388,0.6239219358336209,1.3888888888888888,0.3125,0.6239219358336209,0,1
6.0875,5.75,1.4358198110922742,14,0,1,2.5872689938398357,0.5308511128519423,20,4,-0.07495687627412109,-0.4999999999999997,-0.8660254037844388,1.5953815261044177,1.2608695652173914,0.06666666666666667,1.5953815261044177,0,1
11.45,3.75,1.2316325253452376,13,1,1,-27.423580786026204,1.3221849588827124,20,120,-1.2801178203240395,-0.2588190451025208,-0.9659258262890683,0.7479104167845889,1.7333333333333334,0.03333333333333333,0.0,0,1
9.925,1.0,2.1963652482269502,13,1,1,-30.453400503778337,1.3221849588827124,20,5,-1.2801178203240395,-0.2588190451025208,-0.9659258262890683,0.8143846325664508,2.75,0.5517241379310345,0.8143846325664508,0,1
8.4375,2.5,3.2874117647058823,13,1,1,-33.6,1.3221849588827124,20,7,-1.2801178203240395,-0.2588190451025208,-0.9659258262890683,1.1629690495754588,2.9,0.4444444444444444,1.1629690495754588,0,1
8.5,3.5,1.0891816920943134,13,1,1,-32.64705882352941,1.3221849588827124,20,18,-1.2801178203240395,-0.2588190451025208,-0.9659258262890683,1.1461919281335038,2.857142857142857,0.8076923076923077,1.1461919281335038,0,0
10.35,4.25,1.0052229422574717,14,1,1,-28.5024154589372,1.3221849588827124,20,7,-0.9927057528213603,-0.4999999999999997,-0.8660254037844388,1.2813178141645296,3.0,0.6410256410256411,1.2813178141645296,0,0
