atr,gap_size,volume_ratio,et_hour,day_of_week,signal_direction,session_displacement,adr_pct_used,fvg_to_sweep_bars,prior_setup_proximity,h1_trend_slope,sin_hour,cos_hour,session_volume_ratio,fvg_fill_pct,bar_body_ratio,sweep_window_vol,slope_direction_match,label
11.7375,3.25,0.7490596453519613,9,4,1,-3.5143769968051117,1.3194717617308234,20,120,-0.16745037659688106,0.7071067811865476,-0.7071067811865475,2.7536936599962596,8.923076923076923,0.9009009009009009,2.7536936599962596,0,0
22.85,10.25,0.8891086570334963,10,4,1,-6.061269146608315,2.0,20,76,-0.40290114905063024,0.49999999999999994,-0.8660254037844387,1.1550880720818268,2.2195121951219514,0.40441176470588236,1.1550880720818268,0,0
14.425,7.5,0.9290782762953655,14,4,1,-21.039861351819756,2.0,20,120,-0.34935428038876415,-0.4999999999999997,-0.8660254037844388,0.9569359233196778,1.0666666666666667,0.6470588235294118,0.9569359233196778,0,1
13.275,5.5,2.971998686155362,14,4,1,-14.23728813559322,2.0,20,24,-0.34935428038876415,-0.4999999999999997,-0.8660254037844388,0.9993901199430779,2.590909090909091,0.6,0.9993901199430779,0,0
6.3125,2.5,1.7603466955579632,9,1,0,0.4752475247524752,0.37650910579087377,11,120,0.25225551978961863,0.7071067811865476,-0.7071067811865475,1.3779242704397459,-0.9,0.75,0.0,0,0
6.65,4.25,0.668520942408377,9,1,1,3.1578947368421053,0.37650910579087377,20,7,0.25225551978961863,0.7071067811865476,-0.7071067811865475,0.6884772040467744,1.3529411764705883,0.0,0.0,1,0
10.2375,15.75,1.2953332924510945,9,1,0,-2.7594627594627594,0.41231839574381013,20,11,0.25225551978961863,0.7071067811865476,-0.7071067811865475,5.462892119357307,-0.6666666666666666,0.3956043956043956,5.462892119357307,0,1
16.725,13.5,4.275326153576745,10,1,0,-12.16741405082212,1.0814405565786782,20,76,0.17161659758130685,0.49999999999999994,-0.8660254037844387,0.8033434326017521,-0.8148148148148148,0.1956521739130435,0.8033434326017521,0,0
13.6875,8.0,1.7772342751913448,14,1,0,-14.63013698630137,1.0947411499897688,20,120,-0.555169856104418,-0.4999999999999997,-0.8660254037844388,1.20121377001151,-1.09375,0.23255813953488372,1.20121377001151,1,1
14.6875,5.25,1.1702309210175457,14,3,1,-12.83404255319149,1.0887418461682856,5,120,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,1.2056737588652482,1.0,0.746031746031746,1.2056737588652482,0,0
14.35,7.25,1.3855214723926381,14,3,1,-16.114982578397214,1.281148810361819,20,23,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,0.66243057987692,1.8620689655172413,0.6923076923076923,0.66243057987692,0,1
12.0625,7.25,1.7981784784938006,14,3,1,-15.046632124352332,1.281148810361819,20,26,-0.6654566744730764,-0.4999999999999997,-0.8660254037844388,1.2837188259910648,2.8275862068965516,0.9056603773584906,1.2837188259910648,0,1
6.475,2.5,0.5496109932302718,14,4,0,22.81853281853282,0.8164959867146415,20,120,0.6587371144776738,-0.4999999999999997,-0.8660254037844388,0.8444267832306774,-0.5,0.08695652173913043,0.8444267832306774,0,1
6.3625,2.0,1.1995058112931272,14,4,0,21.728880157170924,0.8164959867146415,20,14,0.6587371144776738,-0.4999999999999997,-0.8660254037844388,2.4636517705824637,-0.5,0.37254901960784315,2.4636517705824637,0,0
5.6375,1.5,0.6198372485797635,14,4,0,25.41019955654102,0.8164959867146415,20,11,0.6587371144776738,-0.4999999999999997,-0.8660254037844388,1.4128990997195847,-5.0,0.8235294117647058,1.4128990997195847,0,1
9.075,4.0,1.7367452751296204,14,0,0,-4.62809917355372,0.5241722964879498,20,120,-0.07785177228788225,-0.4999999999999997,-0.8660254037844388,1.89585002403461,-0.5625,0.0625,1.89585002403461,1,1
9.55,7.5,1.1248157506843546,14,0,0,-5.863874345549738,0.5893344832542763,20,39,-0.07785177228788225,-0.4999999999999997,-0.8660254037844388,3.7244015184773906,-0.3333333333333333,0.5853658536585366,3.7244015184773906,1,1
27.4,27.25,0.8212092763625292,9,1,0,2.217153284671533,0.8562372865320024,20,120,0.3254259132465975,0.7071067811865476,-0.7071067811865475,1.3708957591047572,-0.29357798165137616,0.23,1.3708957591047572,0,0
5.1625,2.5,0.6803189561435302,14,1,0,54.38256658595642,1.273475566488481,20,120,0.7758390096730935,-0.4999999999999997,-0.8660254037844388,1.1233067409112811,-0.2,0.8571428571428571,1.1233067409112811,0,1
5.1875,1.5,1.0990521959684956,14,1,0,52.04819277108434,1.273475566488481,20,23,0.7758390096730935,-0.4999999999999997,-0.8660254037844388,1.2915467155194975,-0.8333333333333334,0.5555555555555556,1.2915467155194975,0,0
7.1625,2.75,2.397060552616108,14,2,1,-8.1326352530541,0.6537465392515852,20,120,-0.60397595931578,-0.4999999999999997,-0.8660254037844388,2.806976923670603,4.545454545454546,0.5925925925925926,2.806976923670603,0,0
8.675,6.25,4.021050800278358,14,2,1,-7.17579250720461,0.6537465392515852,20,40,-0.60397595931578,-0.4999999999999997,-0.8660254037844388,1.0269090143883,2.04,0.6666666666666666,1.0269090143883,0,0
10.8,11.25,1.2141122801854167,10,3,0,2.4305555555555554,0.760752688172043,20,120,-0.17222344888495508,0.49999999999999994,-0.8660254037844387,2.0897766323024056,-0.13333333333333333,0.2692307692307692,2.0897766323024056,1,1
9.3375,6.5,1.402310254411452,14,3,0,-1.900937081659973,0.760752688172043,20,120,0.3779320423821761,-0.4999999999999997,-0.8660254037844388,1.783625730994152,-0.4230769230769231,0.21951219512195122,1.783625730994152,0,0
6.9875,4.25,1.6789952759534508,14,4,1,-5.9391771019677995,0.8246676914730083,20,120,-0.1584456660893384,-0.4999999999999997,-0.8660254037844388,1.674132392199448,1.3529411764705883,0.14285714285714285,1.674132392199448,0,0
7.0875,5.0,0.7517709343076578,14,4,1,-8.253968253968253,0.8246676914730083,20,27,-0.1584456660893384,-0.4999999999999997,-0.8660254037844388,0.9629214934757332,1.75,0.3,0.9629214934757332,0,0
15.225,12.0,0.9803853052857177,10,0,1,1.3300492610837438,0.4709460393530252,5,120,-0.13944039154121515,0.49999999999999994,-0.8660254037844387,0.9712388590739792,1.2916666666666667,0.22857142857142856,0.9712388590739792,0,0
6.075,4.5,1.5773181941065153,14,0,1,0.8641975308641975,0.517026865121423,20,120,-0.07495687627412109,-0.4999999999999997,-0.8660254037844388,0.6239219358336209,1.3888888888888888,0.3125,0.6239219358336209,0,1
10.35,4.25,1.0052229422574717,14,1,1,-28.5024154589372,1.3221849588827124,20,120,-0.9927057528213603,-0.4999999999999997,-0.8660254037844388,1.2813178141645296,3.0,0.6410256410256411,1.2813178141645296,0,0
8.125,2.5,0.6427018037610337,14,1,1,-39.6,1.3221849588827124,20,29,-0.9927057528213603,-0.4999999999999997,-0.8660254037844388,0.8030858244937319,1.8,0.6190476190476191,0.8030858244937319,0,0
8.8875,3.5,0.8723212677831803,14,1,1,-36.09001406469761,1.3258602471631369,20,11,-0.9927057528213603,-0.4999999999999997,-0.8660254037844388,0.9709097646840839,3.0,0.6551724137931034,0.9709097646840839,0,0
15.15,8.25,1.0676321233778447,14,2,1,-14.092409240924091,1.4411688423964726,20,120,-0.21504306739310788,-0.4999999999999997,-0.8660254037844388,0.6326846908903048,1.5757575757575757,0.2391304347826087,0.6326846908903048,0,1
8.2125,2.25,1.6117074567053098,9,3,1,-10.076103500761034,0.5312074022057912,20,120,-0.40275387263338847,0.7071067811865476,-0.7071067811865475,1.3541725441516674,2.2222222222222223,0.16,0.0,0,1
32.5,20.5,1.4486210039496337,9,3,1,-2.146153846153846,0.6386054773018299,20,33,-0.40275387263338847,0.7071067811865476,-0.7071067811865475,1.1102625435891524,1.5,0.43956043956043955,1.1102625435891524,0,1
15.95,11.0,1.1705447045978405,10,3,1,1.1755485893416928,0.6386054773018299,20,36,-0.48271491938324046,0.49999999999999994,-0.8660254037844387,0.7675329140740248,1.4545454545454546,0.16666666666666666,0.7675329140740248,0,0
9.725,2.5,1.7739122852907838,14,3,0,-12.210796915167096,0.8220083440042959,20,120,-0.12354904029887873,-0.4999999999999997,-0.8660254037844388,3.775510204081633,-3.9,0.30337078651685395,3.775510204081633,1,0
10.4125,22.5,1.065312970033553,9,4,0,-2.2809123649459786,0.6809947299077733,20,120,0.18350422811389933,0.7071067811865476,-0.7071067811865475,5.926296243393801,-0.36666666666666664,0.5950413223140496,5.926296243393801,0,0
32.6875,9.75,0.9855601533895184,10,4,0,8.826003824091778,1.8420619235836626,20,55,-0.009613111653953373,0.49999999999999994,-0.8660254037844387,0.7212346079575486,-1.2307692307692308,0.4392523364485981,0.7212346079575486,1,0
4.4125,7.0,0.9796878870448352,9,0,1,-3.059490084985836,0.3723288030415592,20,120,-0.2181371390765936,0.7071067811865476,-0.7071067811865475,2.6122448979591835,1.1428571428571428,0.07142857142857142,0.0,0,0
12.625,4.5,1.5599027492051618,10,0,1,5.445544554455446,0.45448586286763093,20,104,-0.01750895344212447,0.49999999999999994,-0.8660254037844387,1.8000677527640048,3.611111111111111,0.6949152542372882,1.8000677527640048,0,1
5.8875,2.75,1.1023629767624277,14,0,1,10.360934182590233,0.6004457457501201,20,120,0.5864515231603702,-0.4999999999999997,-0.8660254037844388,0.6406749802976218,1.8181818181818181,0.38461538461538464,0.6406749802976218,1,0
7.15,2.75,0.5082771305947271,9,2,1,-3.846153846153846,0.2581174753739511,12,120,0.018581081081112085,0.7071067811865476,-0.7071067811865475,2.0150695517774344,1.5454545454545454,0.30434782608695654,0.0,1,0
18.925,5.75,0.6786698687334553,9,2,1,-3.0515191545574636,0.4861364465523531,20,41,0.018581081081112085,0.7071067811865476,-0.7071067811865475,1.3453870883802137,4.217391304347826,0.813953488372093,1.3453870883802137,1,1
10.8875,8.0,1.8218073188946975,10,2,1,0.06888633754305397,0.4861364465523531,20,24,-0.3094378545642358,0.49999999999999994,-0.8660254037844387,1.518716577540107,1.59375,0.16666666666666666,1.518716577540107,0,1
5.6,7.5,4.481764705882353,14,2,1,9.732142857142858,0.6028821597956949,20,120,0.3524414109111829,-0.4999999999999997,-0.8660254037844388,1.8523623554636648,1.2333333333333334,0.23529411764705882,1.8523623554636648,1,0
72.775,25.25,0.4812061131763734,9,1,1,-0.766059773273789,1.9485177761367234,20,120,-0.13066951757316234,0.7071067811865476,-0.7071067811865475,0.5763688760806917,1.7524752475247525,0.39568345323741005,0.5763688760806917,0,0
35.1375,21.75,3.011188811188811,10,4,0,-2.5755958733546778,1.3926940639269407,20,120,0.26766575647891155,0.49999999999999994,-0.8660254037844387,0.829588662288282,-0.5862068965517241,0.4492753623188406,0.829588662288282,0,1
11.95,8.0,0.6702014846235419,10,4,0,1.485355648535565,0.8683991156536552,12,120,0.1506216173997748,0.49999999999999994,-0.8660254037844387,1.3128674069235795,-1.28125,0.7708333333333334,1.3128674069235795,0,0
4.7625,1.5,0.7490996398559424,9,0,0,13.805774278215223,0.30546382467727407,20,120,0.2851045667946908,0.7071067811865476,-0.7071067811865475,1.7988668555240794,-3.8333333333333335,0.2903225806451613,0.0,0,0
8.65,2.25,1.4377329192546584,10,1,1,-8.670520231213873,0.4078245406046236,20,120,-0.5504201680672379,0.49999999999999994,-0.8660254037844387,0.9677352163136079,1.3333333333333333,0.21428571428571427,0.9677352163136079,0,0
5.225,7.25,0.9055188073847369,14,1,1,-17.224880382775122,0.46710136336692354,20,120,-0.3889154323936804,-0.4999999999999997,-0.8660254037844388,2.04152056548116,1.1379310344827587,0.16666666666666666,2.04152056548116,0,1
4.15,1.25,1.291131306800376,9,2,0,1.2650602409638554,0.30269932906849745,20,120,-0.1989458034870196,0.7071067811865476,-0.7071067811865475,1.9138755980861242,-0.2,0.6956521739130435,0.0,1,0
4.275,2.25,1.440601077402892,9,2,1,3.0994152046783623,0.30269932906849745,20,5,-0.1989458034870196,0.7071067811865476,-0.7071067811865475,2.865979381443299,2.111111111111111,0.4090909090909091,0.0,0,1
14.8875,3.75,0.4525251301925639,9,2,1,-1.0747271200671704,0.30269932906849745,20,20,-0.1989458034870196,0.7071067811865476,-0.7071067811865475,0.593554419780897,2.066666666666667,0.5555555555555556,0.593554419780897,0,0
9.7125,2.5,0.6454507800635096,10,2,1,-6.1003861003861,0.3697924793259479,20,36,-0.11198235726535974,0.49999999999999994,-0.8660254037844387,1.2348439246710807,4.0,0.7894736842105263,1.2348439246710807,0,0
13.1625,3.5,1.947890926431699,10,4,0,4.615384615384616,0.48893444178719203,19,120,0.39859923782055595,0.49999999999999994,-0.8660254037844387,1.1680494550187084,-1.0714285714285714,0.17142857142857143,1.1680494550187084,0,0
11.6,3.5,1.4397496087636932,10,4,0,6.185344827586207,0.48893444178719203,20,8,0.39859923782055595,0.49999999999999994,-0.8660254037844387,0.6238351849979051,-1.3571428571428572,0.16666666666666666,0.6238351849979051,0,1
4.4625,2.25,1.0918324753026298,14,4,0,23.025210084033613,0.5451163496944159,20,120,0.36309145400055265,-0.4999999999999997,-0.8660254037844388,0.7640250458541522,-1.1111111111111112,0.3,0.7640250458541522,0,1
4.875,2.0,0.6780810448760884,14,4,0,22.512820512820515,0.5451163496944159,20,26,0.36309145400055265,-0.4999999999999997,-0.8660254037844388,1.105747698432446,-1.75,0.631578947368421,1.105747698432446,0,0
10.3625,6.25,1.2613692332950255,10,0,0,7.454764776839565,0.44698958084784857,12,120,0.40685876623379125,0.49999999999999994,-0.8660254037844387,1.5990086445005152,-1.88,0.875,1.5990086445005152,0,0
5.0125,3.25,0.5915693182520552,14,0,0,43.790523690773064,0.8462578541318699,20,120,0.9211485465374728,-0.4999999999999997,-0.8660254037844388,1.2225742109585827,-0.6923076923076923,0.3,1.2225742109585827,0,0
4.5375,2.75,0.6628566285662857,14,0,0,50.082644628099175,0.8589835361488906,20,25,0.9211485465374728,-0.4999999999999997,-0.8660254037844388,0.9116387287821903,-1.5454545454545454,0.2777777777777778,0.9116387287821903,0,1
12.525,5.0,2.818616665072228,9,1,0,-4.790419161676646,0.2543086939869782,20,120,0.017465977730831115,0.7071067811865476,-0.7071067811865475,1.6519907082275405,-1.6,0.03389830508474576,1.6519907082275405,0,1
13.3,5.5,0.4435879583581991,10,1,1,-4.19172932330827,0.29643814630409804,20,22,-0.3478719894424201,0.49999999999999994,-0.8660254037844387,1.0648998713944517,1.5454545454545454,0.13513513513513514,1.0648998713944517,0,0
7.5875,4.75,0.6171772588241006,14,2,1,-26.88632619439868,0.8524149265996788,20,120,-0.9344880809466753,-0.4999999999999997,-0.8660254037844388,1.0109626069980477,1.631578947368421,0.55,1.0109626069980477,0,1
7.3125,7.0,1.5566477417168036,14,2,1,-23.076923076923077,0.8524149265996788,20,29,-0.9344880809466753,-0.4999999999999997,-0.8660254037844388,1.247015485367351,1.5,0.2857142857142857,1.247015485367351,0,1
9.15,2.5,0.7913037652418599,9,4,1,7.404371584699454,0.5684569886070422,20,120,0.22177509501455298,0.7071067811865476,-0.7071067811865475,0.9631399811716995,3.1,0.7777777777777778,0.0,1,0
26.9375,14.0,0.9347200172214299,9,4,1,2.9512761020881673,0.5684569886070422,20,31,0.22177509501455298,0.7071067811865476,-0.7071067811865475,0.94660176723921,1.5535714285714286,0.328125,0.94660176723921,1,0
22.775,8.5,0.7962689673440042,10,4,1,-2.0636663007683866,0.7216863165416221,20,38,0.44254658385094947,0.49999999999999994,-0.8660254037844387,1.353355474118186,4.029411764705882,0.9099099099099099,1.353355474118186,1,1
21.35,25.5,1.024637573414616,10,4,1,-0.32786885245901637,0.7216863165416221,20,6,0.44254658385094947,0.49999999999999994,-0.8660254037844387,0.9137609198835213,1.303921568627451,0.3409090909090909,0.9137609198835213,1,1
8.275,7.25,1.0010074074074073,14,4,1,10.93655589123867,0.7216863165416221,20,120,-0.04128191200435505,-0.4999999999999997,-0.8660254037844388,1.2704003757191498,1.9655172413793103,0.7352941176470589,1.2704003757191498,0,1
8.2625,4.25,0.788886812433813,14,4,1,13.010590015128594,0.7216863165416221,20,52,-0.04128191200435505,-0.4999999999999997,-0.8660254037844388,0.509926854754441,1.411764705882353,0.4117647058823529,0.509926854754441,0,1
17.8125,6.5,0.6310885860823647,9,1,1,0.08421052631578947,0.4344533838144818,20,120,0.19580692345193548,0.7071067811865476,-0.7071067811865475,1.7462029207526633,4.8076923076923075,0.83,1.7462029207526633,1,0
19.3875,5.25,1.196783647425434,10,1,1,0.5673758865248227,0.5054424988168481,4,14,-0.021847159421581632,0.49999999999999994,-0.8660254037844387,0.9956676795274452,2.5238095238095237,0.6274509803921569,0.9956676795274452,0,0
17.5625,5.25,1.4523121744068341,10,1,1,-0.24199288256227758,0.5054424988168481,18,12,-0.021847159421581632,0.49999999999999994,-0.8660254037844387,1.0461175177355495,3.0,0.6507936507936508,1.0461175177355495,0,1
9.8,4.75,2.951832279303474,14,1,1,3.010204081632653,0.5357311878845243,20,120,-0.18182466398090075,-0.4999999999999997,-0.8660254037844388,0.4769928710304601,1.6842105263157894,0.7647058823529411,0.4769928710304601,0,1
20.725,17.0,0.9780666125101544,10,3,1,-1.6164053075995173,0.6446280991735537,0,120,-0.02783684515759518,0.49999999999999994,-0.8660254037844387,0.736932667625737,1.6470588235294117,0.5555555555555556,0.736932667625737,0,1
6.375,1.75,1.4067736185383244,14,3,1,0.9019607843137255,0.6446280991735537,20,120,-0.15968097038174986,-0.4999999999999997,-0.8660254037844388,1.2754461397968113,1.1428571428571428,0.64,1.2754461397968113,0,1
16.0625,22.25,1.8274375838069088,9,4,0,-4.155642023346304,0.3771876885938443,20,120,-0.4821349522545333,0.7071067811865476,-0.7071067811865475,1.3433603137217394,-0.39325842696629215,0.08450704225352113,1.3433603137217394,1,1
14.375,8.0,2.165241878708639,14,4,1,-10.57391304347826,1.1023938845302756,20,120,-0.4362215200399124,-0.4999999999999997,-0.8660254037844388,1.016901275834471,1.5625,0.0851063829787234,1.016901275834471,0,0
5.8,1.75,0.9917234664070107,9,0,0,7.974137931034483,0.870190977027401,5,120,0.4515827001332108,0.7071067811865476,-0.7071067811865475,2.1847457627118643,-4.0,0.8620689655172413,0.0,0,0
6.5375,4.75,0.7783657396012799,9,0,1,10.516252390057362,0.870190977027401,20,21,0.4515827001332108,0.7071067811865476,-0.7071067811865475,1.204163548540717,1.263157894736842,0.17857142857142858,0.0,1,0
11.425,8.0,4.133638676844784,9,0,0,2.888402625820569,0.870190977027401,20,3,0.4515827001332108,0.7071067811865476,-0.7071067811865475,3.703047401431603,-1.4375,0.3103448275862069,3.703047401431603,0,1
22.325,11.0,1.4507020551243284,9,0,0,0.45912653975363943,0.870190977027401,20,17,0.4515827001332108,0.7071067811865476,-0.7071067811865475,1.0335584186902076,-0.4318181818181818,0.2125,1.0335584186902076,0,0
5.4625,3.0,0.7765726681127982,14,0,0,19.038901601830663,0.9211181843343482,20,120,0.25543120473994574,-0.4999999999999997,-0.8660254037844388,1.5936931473620375,-2.75,0.9166666666666666,1.5936931473620375,0,1
5.3875,1.75,1.221127062352689,9,2,0,-5.846867749419953,0.3709563035295401,20,120,-0.07095520454431542,0.7071067811865476,-0.7071067811865475,1.0266457680250785,-0.7142857142857143,0.35294117647058826,0.0,1,0
5.05,1.5,0.4235995232419547,9,2,0,-1.0396039603960396,0.3709563035295401,20,19,-0.07095520454431542,0.7071067811865476,-0.7071067811865475,1.6139377654502902,-0.8333333333333334,0.09523809523809523,0.0,1,0
5.4125,2.0,0.5732932669734248,9,2,0,-0.8775981524249423,0.3709563035295401,20,4,-0.07095520454431542,0.7071067811865476,-0.7071067811865475,2.062551754888846,-2.25,0.6071428571428571,0.0,1,0
13.2625,3.5,0.5728429731237962,9,2,0,2.9406220546654103,0.5520702634880803,20,12,-0.07095520454431542,0.7071067811865476,-0.7071067811865475,0.9471069862509061,-1.2857142857142858,0.25,0.9471069862509061,1,0
10.725,3.5,1.859641847313855,10,2,0,9.883449883449885,0.8935682723255688,20,37,0.28085336213880174,0.49999999999999994,-0.8660254037844387,2.3097970351615142,-2.0,0.30666666666666664,2.3097970351615142,0,0
9.7625,5.25,0.8933823529411765,10,2,0,11.267605633802818,0.8935682723255688,20,19,0.28085336213880174,0.49999999999999994,-0.8660254037844387,1.5346941827426348,-0.6666666666666666,0.35294117647058826,1.5346941827426348,0,1
6.25,2.5,1.9693302983107703,14,2,0,28.88,1.185969123342971,20,120,0.8600372131486232,-0.4999999999999997,-0.8660254037844388,0.6282765066850896,-0.7,0.25,0.6282765066850896,0,0
