entry_time,exit_time,direction,entry_price,exit_price,exit_type,bars_held,pnl
2025-05-22T12:00:00+00:00,2025-05-22T12:53:00+00:00,SHORT,21121.0,21166.5,sl,12,-459.0
2025-05-27T00:24:00+00:00,2025-05-27T00:52:00+00:00,SHORT,21217.25,21237.25,sl,15,-204.0
2025-05-28T18:53:00+00:00,2025-05-28T19:09:00+00:00,SHORT,21463.0,21511.5,sl,11,-489.0
2025-05-28T19:52:00+00:00,2025-05-28T20:22:00+00:00,SHORT,21408.0,21440.5,sl,0,-329.0
2025-06-16T22:49:00+00:00,2025-06-16T23:09:00+00:00,SHORT,22085.75,22113.75,sl,16,-284.0
2025-06-18T18:04:00+00:00,2025-06-18T19:33:00+00:00,SHORT,22030.5,21957.5,time,60,726.0
2025-06-20T15:02:00+00:00,2025-06-20T15:15:00+00:00,SHORT,21805.5,21846.5,sl,9,-86.0
2025-06-25T15:34:00+00:00,2025-06-25T16:36:00+00:00,SHORT,22447.75,22423.5,time,60,44.5
2025-06-25T17:42:00+00:00,2025-06-25T18:43:00+00:00,SHORT,22417.0,22417.25,time,60,-4.5
2025-06-27T13:30:00+00:00,2025-06-27T13:38:00+00:00,SHORT,22714.5,22731.0,sl,7,-37.0
2025-06-27T14:53:00+00:00,2025-06-27T15:36:00+00:00,SHORT,22778.5,22808.5,sl,42,-64.0
2025-06-27T17:46:00+00:00,2025-06-29T22:28:00+00:00,SHORT,22761.75,22801.75,sl,26,-84.0
2025-06-30T13:34:00+00:00,2025-06-30T14:39:00+00:00,SHORT,22841.0,22818.5,time,60,41.0
2025-06-30T20:01:00+00:00,2025-07-01T02:00:00+00:00,SHORT,22905.0,22912.0,time,60,-18.0
2025-07-07T13:35:00+00:00,2025-07-07T13:52:00+00:00,SHORT,22935.0,22963.5,sl,16,-61.0
2025-07-10T14:22:00+00:00,2025-07-10T14:42:00+00:00,SHORT,22952.0,22978.5,sl,5,-57.0
2025-07-11T00:24:00+00:00,2025-07-11T02:27:00+00:00,SHORT,22935.5,22920.5,time,60,26.0
2025-07-16T15:21:00+00:00,2025-07-16T15:56:00+00:00,SHORT,22957.5,23007.5,sl,29,-104.0
2025-07-24T14:11:00+00:00,2025-07-24T14:58:00+00:00,SHORT,23346.25,23375.25,sl,21,-62.0
2025-07-30T19:01:00+00:00,2025-07-30T19:15:00+00:00,SHORT,23422.75,23464.75,sl,12,-88.0
2025-07-30T19:24:00+00:00,2025-07-30T19:51:00+00:00,SHORT,23411.5,23443.0,sl,20,-67.0
2025-08-07T13:44:00+00:00,2025-08-07T14:01:00+00:00,SHORT,23623.25,23666.25,sl,9,-90.0
2025-08-07T14:26:00+00:00,2025-08-07T15:40:00+00:00,SHORT,23579.5,23512.25,time,60,130.5
2025-09-19T20:01:00+00:00,2025-09-21T22:04:00+00:00,SHORT,24870.0,24851.0,time,60,34.0
2025-10-02T14:48:00+00:00,2025-10-02T15:49:00+00:00,SHORT,25047.0,25024.5,time,60,41.0
2025-10-03T13:43:00+00:00,2025-10-03T14:47:00+00:00,SHORT,25142.5,25112.75,time,60,55.5
2025-10-16T16:32:00+00:00,2025-10-16T16:58:00+00:00,SHORT,24852.5,24908.0,sl,6,-115.0
2025-10-16T18:14:00+00:00,2025-10-16T18:48:00+00:00,SHORT,24729.0,24788.5,sl,25,-123.0
2025-11-06T14:42:00+00:00,2025-11-06T15:02:00+00:00,SHORT,25633.0,25467.0,tp,16,328.0
2025-11-06T15:14:00+00:00,2025-11-06T15:19:00+00:00,SHORT,25461.5,25503.0,sl,2,-87.0
2025-11-12T15:14:00+00:00,2025-11-12T19:41:00+00:00,SHORT,25633.5,25580.0,time,60,103.0
2025-11-12T23:06:00+00:00,2025-11-13T00:15:00+00:00,SHORT,25565.5,25586.25,time,60,-45.5
2025-11-17T15:05:00+00:00,2025-11-17T16:07:00+00:00,SHORT,25156.25,25013.25,time,60,282.0
2025-11-27T14:38:00+00:00,2025-11-27T16:13:00+00:00,SHORT,25305.5,25290.5,time,60,26.0
2025-12-17T15:27:00+00:00,2025-12-17T15:45:00+00:00,SHORT,25306.0,25148.0,tp,16,312.0
2025-12-19T14:27:00+00:00,2025-12-19T14:31:00+00:00,SHORT,25362.5,25397.0,sl,2,-349.0
2025-12-24T15:24:00+00:00,2025-12-24T16:10:00+00:00,SHORT,25824.5,25840.0,sl,28,-159.0
2026-01-02T14:34:00+00:00,2026-01-02T14:48:00+00:00,SHORT,25690.75,25748.75,sl,11,-584.0
2026-01-07T20:15:00+00:00,2026-01-07T21:19:00+00:00,SHORT,25883.0,25829.75,time,60,528.5
2026-01-08T06:03:00+00:00,2026-01-08T07:24:00+00:00,SHORT,25729.5,25763.5,sl,0,-344.0
2026-01-11T23:02:00+00:00,2026-01-12T00:10:00+00:00,SHORT,25920.0,25871.25,time,60,483.5
2026-01-15T14:52:00+00:00,2026-01-15T14:56:00+00:00,SHORT,25881.0,25917.5,sl,2,-369.0
2026-01-15T19:32:00+00:00,2026-01-15T20:38:00+00:00,SHORT,25784.25,25709.25,time,60,746.0
2026-01-16T15:27:00+00:00,2026-01-16T16:46:00+00:00,SHORT,25708.5,25747.0,sl,25,-389.0
2026-01-22T15:26:00+00:00,2026-01-22T15:36:00+00:00,SHORT,25577.5,25630.5,sl,9,-534.0
2026-01-23T17:44:00+00:00,2026-01-23T19:10:00+00:00,SHORT,25745.5,25762.75,time,60,-176.5
2026-01-28T14:48:00+00:00,2026-01-28T15:52:00+00:00,SHORT,26276.0,26177.0,time,60,986.0
2026-02-09T14:52:00+00:00,2026-02-09T15:07:00+00:00,SHORT,25150.5,25193.0,sl,5,-429.0
