day,dir,reason,pnl_pts,entry_t,exit_t,day_ts
2025-01-24,-1,EOD,-40.5,14:01,16:00,2025-01-24
2025-01-28,1,EOD,109.0,10:31,16:00,2025-01-28
2025-01-29,-1,EOD,-130.0,14:31,16:00,2025-01-29
2025-01-31,1,EOD,-287.0,10:01,16:00,2025-01-31
2025-02-04,1,EOD,109.5,10:01,16:00,2025-02-04
2025-02-07,-1,EOD,156.25,10:31,16:00,2025-02-07
2025-02-13,1,EOD,71.0,11:01,16:00,2025-02-13
2025-02-20,-1,EOD,-134.25,10:01,16:00,2025-02-20
2025-02-21,-1,EOD,323.0,10:31,16:00,2025-02-21
2025-02-24,-1,EOD,147.0,10:01,16:00,2025-02-24
2025-02-25,-1,EOD,111.75,10:01,16:00,2025-02-25
2025-02-26,1,EOD,-174.0,11:31,16:00,2025-02-26
2025-02-27,-1,EOD,398.75,10:01,16:00,2025-02-27
2025-02-28,1,EOD,164.5,10:31,16:00,2025-02-28
2025-03-06,-1,EOD,61.5,12:32,16:00,2025-03-06
2025-03-13,-1,EOD,117.0,10:01,16:00,2025-03-13
2025-03-14,1,EOD,27.25,12:03,16:00,2025-03-14
2025-03-17,1,EOD,-88.75,14:31,16:00,2025-03-17
2025-03-18,-1,EOD,-33.0,10:01,16:00,2025-03-18
2025-03-19,1,EOD,47.5,12:31,16:00,2025-03-19
2025-03-26,-1,EOD,204.0,10:01,16:00,2025-03-26
2025-03-28,-1,EOD,177.75,10:31,16:00,2025-03-28
2025-04-01,1,EOD,10.0,12:01,16:00,2025-04-01
2025-04-02,1,EOD,-22.5,12:31,16:00,2025-04-02
2025-04-03,-1,EOD,80.0,11:01,16:00,2025-04-03
2025-04-04,-1,EOD,380.0,10:31,16:00,2025-04-04
2025-04-07,1,EOD,-222.75,14:01,16:00,2025-04-07
2025-04-08,1,CAT_STOP,-500.0,10:01,12:39,2025-04-08
2025-04-08,-1,EOD,32.0,15:31,16:00,2025-04-08
2025-04-09,1,EOD,1824.5,10:01,16:00,2025-04-09
2025-04-10,-1,EOD,176.5,10:01,16:00,2025-04-10
2025-04-21,-1,EOD,72.5,10:01,16:00,2025-04-21
2025-04-22,1,EOD,39.0,11:01,16:00,2025-04-22
2025-04-24,1,EOD,266.75,10:01,16:00,2025-04-24
2025-04-28,-1,EOD,-204.0,11:31,16:00,2025-04-28
2025-04-30,-1,CAT_STOP,-500.0,10:01,15:51,2025-04-30
2025-05-08,1,EOD,-178.5,13:01,16:00,2025-05-08
2025-05-13,1,EOD,145.25,10:01,16:00,2025-05-13
2025-05-21,-1,EOD,-51.25,15:31,16:00,2025-05-21
2025-05-22,1,EOD,-102.75,10:01,16:00,2025-05-22
2025-05-27,1,EOD,96.25,10:31,16:00,2025-05-27
2025-05-30,-1,EOD,-110.75,10:01,16:00,2025-05-30
2025-06-16,1,EOD,24.5,10:01,16:00,2025-06-16
2025-06-17,-1,EOD,-20.0,14:31,16:00,2025-06-17
2025-06-20,-1,EOD,-24.75,11:01,16:00,2025-06-20
2025-06-23,1,EOD,88.25,10:31,16:00,2025-06-23
2025-06-24,1,EOD,-20.5,15:01,16:00,2025-06-24
2025-07-01,-1,EOD,-5.0,11:01,16:00,2025-07-01
2025-07-02,1,EOD,53.75,10:31,16:00,2025-07-02
2025-07-09,1,EOD,-34.25,10:01,16:00,2025-07-09
2025-07-10,-1,EOD,-54.0,10:01,16:00,2025-07-10
2025-07-14,1,EOD,-16.25,13:31,16:00,2025-07-14
2025-07-16,-1,EOD,-106.25,10:01,16:00,2025-07-16
2025-07-17,1,EOD,103.5,10:31,16:00,2025-07-17
2025-07-18,-1,EOD,-32.5,10:31,16:00,2025-07-18
2025-07-21,1,EOD,-32.0,10:01,16:00,2025-07-21
2025-07-22,-1,EOD,-80.25,10:01,16:00,2025-07-22
2025-07-25,1,EOD,-41.0,12:31,16:00,2025-07-25
2025-07-31,-1,EOD,34.5,14:01,16:00,2025-07-31
2025-08-01,-1,EOD,-10.5,10:01,16:00,2025-08-01
2025-08-04,1,EOD,50.25,10:01,16:00,2025-08-04
2025-08-05,-1,EOD,47.0,11:01,16:00,2025-08-05
2025-08-06,1,EOD,142.5,11:01,16:00,2025-08-06
2025-08-08,1,EOD,70.0,10:01,16:00,2025-08-08
2025-08-12,1,EOD,100.5,11:31,16:00,2025-08-12
2025-08-15,-1,EOD,-2.25,10:01,16:00,2025-08-15
2025-08-19,-1,EOD,206.5,10:01,16:00,2025-08-19
2025-08-20,-1,EOD,-151.0,10:01,16:00,2025-08-20
2025-08-22,1,EOD,10.75,10:31,16:00,2025-08-22
2025-08-28,1,EOD,11.75,12:31,16:00,2025-08-28
2025-09-15,1,EOD,50.5,10:01,16:00,2025-09-15
