open,high,low,close,volume,notional,regime,label,momentum_5,barrier_hit,bars_to_barrier,max_profit,max_loss,volume_imbalance_3,volume_imbalance_5,volume_imbalance_10,cumulative_delta_20,cumulative_delta_50,cumulative_delta_100,realized_vol_15,realized_vol_30,realized_vol_60,vwap_deviation_5,vwap_deviation_10,vwap_deviation_20,bid_ask_bounce,noise_adj_momentum_5,noise_adj_momentum_10,noise_adj_momentum_20
21773.0,21773.75,21769.5,21770.25,166,72277230.0,2,-1.0,-0.0001148224271164,sl,8.0,2.296712256404956e-05,0.0159736337432964,,,,,,,,,,,,,,,,
21770.75,21770.75,21764.0,21766.75,722,314311870.0,2,-1.0,-0.0001722514411703,sl,7.0,5.7427038947017816e-05,0.0158154065260087,,,,,,,,,,,,,,,,
21765.75,21768.0,21763.25,21764.25,291,126667935.0,2,-1.0,-0.0003215249468909,sl,6.0,0.0001723009063027,0.0157023559277255,-0.39999999999999997,,,,,,,,,,,,,,,
21764.0,21766.75,21760.0,21766.0,540,235072800.0,2,-1.0,-0.0002870626600374,sl,5.0,9.188642837452908e-05,0.0157814940733253,-0.12182871860914354,,,,,,,,,,,,,,,
21765.25,21767.5,21763.5,21766.5,246,107091180.0,2,-1.0,-0.0003100134339154,sl,4.0,6.891323823306458e-05,0.0158041026347828,0.18384401114206128,-0.07999999999999996,,,,,,,,1.1947442056748175e-05,,,,,,
21766.5,21768.0,21763.0,21765.5,198,86191380.0,2,-1.0,-0.0002181876643584,sl,3.0,3.445820220073051e-05,0.015758884473134,0.23902439024390248,-0.08512769153730596,,,,,,,,-1.1809938171224274e-05,,,,-30.93156047782713,,
21766.25,21766.25,21761.75,21763.25,124,53972860.0,2,-1.0,-0.0001607957090516,sl,2.0,6.892352934419262e-05,0.0156571284160224,-0.05352112676056354,0.049463902787705454,,,,,,,,-7.359019922723008e-05,,,,-27.536190871433156,,
21763.75,21764.75,21761.75,21763.75,152,66161800.0,2,-1.0,-2.2973454173680352e-05,sl,1.0,0.0,0.0156797426914019,-0.27172995780590714,0.14730158730158732,,,,,,,,-3.932164510103877e-05,,,,-5.01189741350996,,
21427.25,21427.25,21422.5,21423.5,141,60414270.0,2,-1.0,-0.0001283472376174,sl,5.0,0.0001166942843139,0.0040959693794197,-0.2541966426858513,-0.10081300813008139,,,,,,,,-0.013156617245778605,,,,-31.300734159881767,,
21423.0,21426.0,21422.75,21425.0,156,66844400.0,2,-1.0,-3.500460894012569e-05,sl,4.0,3.500583430571762e-05,0.0041656942823803,0.013363028953229399,-0.15927367055771735,-0.1023391812865497,,,,,,,-0.009635608550118357,-0.013982369185765436,,,-31.209065877322224,,
21425.0,21425.75,21422.0,21422.0,141,60410040.0,2,-1.0,-5.8347823042703695e-05,sl,3.0,3.501073662589861e-05,0.0040262347119783,-0.11506849315068501,-0.14005602240896367,-0.09959424566580598,,,,,,,-0.006185135718243264,-0.013280984810164953,,,-31.390718843662253,-22.503529908165046,
21422.5,21422.75,21418.0,21420.25,511,218914955.0,2,-1.0,-0.0002100374566798,sl,2.0,0.0,0.0039448652560077,-0.24554455445544565,-0.23142597638510462,-0.07424000000000006,,,,,,,-0.0022798612949148376,-0.009909811971680308,,,-31.345283659573322,-22.39063061996038,
21419.75,21419.75,21418.0,21418.0,216,92525760.0,2,-1.0,-0.0004316932877527,sl,1.0,0.0,0.0038402278457372,-0.4000000000000001,-0.29287553648068687,-0.0641649484536083,,,,,,,-0.00015989500223751815,-0.008413879738427062,,,-31.59591529289971,-22.37399497942596,
21337.75,21338.5,21335.75,21337.0,167,71263055.0,2,-1.0,1.1716873469458378e-05,sl,7.0,4.6866944743872144e-05,0.018676477480433,-0.4000000000000001,-0.295214105793451,-0.21364522417154,,,,,,,-0.0033744652436277648,-0.00919750931593087,,,-32.63177254248312,-114.43710220267741,
21336.5,21338.0,21334.5,21335.0,186,79367370.0,2,-1.0,-0.0001288795679019,sl,6.0,3.515350363252871e-05,0.0185844855870635,-0.39999999999999997,-0.4,-0.3068273092369479,,,,,,,-0.0028557522159970705,-0.007118758959424343,,,-33.94753807702327,-115.0884064941611,
21334.75,21335.75,21333.0,21335.25,237,101126745.0,2,-1.0,-0.0001288780579248,sl,5.0,0.0,0.0185959855169262,-0.07864406779661032,-0.25603644646924834,-0.21526341703594284,,,,5.035590668049213,,,-0.0021929470814088495,-0.005025991278537173,,,-32.74387692646088,-114.8329434430051,
21334.5,21334.5,21327.0,21329.5,515,219693850.0,2,-1.0,-0.0003632145660757,sl,4.0,7.032513654797346e-05,0.0183314189268384,-0.19786780383795324,-0.2564723694171082,-0.24508670520231224,,,,5.0360457763112105,,,-0.0008276739883351204,-0.0034173579250509583,,,-34.175113189896436,-115.50155146948453,
21329.5,21331.0,21328.0,21330.75,225,95986785.0,2,-1.0,-0.0003514814944992,sl,3.0,0.0,0.0183889455363735,-0.021699078812692018,-0.1221052631578948,-0.2018436873747496,,,,5.035950871266701,,,-8.914758501953906e-05,-0.0020282990432208786,,,-32.865740728403644,-115.332282678003,
21330.75,21330.75,21328.5,21329.0,118,50336440.0,2,-1.0,-0.0003749355579509,sl,2.0,5.860565427352431e-05,0.0183084063950489,-0.19020979020979026,-0.11147540983606563,-0.20000000000000004,,,,5.035953453345575,,,-0.0001301354999566683,-0.0018765486042518517,,,-37.741785756241946,-315.2457705875057,
21329.0,21330.25,21326.75,21329.0,163,69532540.0,2,-1.0,-0.0002812280290602,sl,1.0,0.0,0.0183084063950489,0.08458498023715401,-0.054372019077901505,-0.22460669624848736,,,,5.03594832047927,,,-8.313112569740664e-05,-0.0015892037639688816,-0.010480236175447246,,-29.767946786955875,-336.7858725609088,
20942.25,20942.5,20938.5,20940.0,269,112657200.0,2,1.0,-0.0001909854851031,tp,23.0,0.0213705826170009,0.0006327602674307,-0.2814545454545457,-0.209922480620155,-0.23321825853471423,,,,7.61234240830106,,,-0.014525194265581295,-0.017643091387061778,-0.026818862140993157,0.11989479793262832,-30.96060119020901,-26.697435564029803,-32.517443565048744
20940.0,20941.0,20938.25,20939.5,168,70356720.0,2,1.0,-0.0002029245001492,tp,22.0,0.0213949712266291,0.0006088970605792,-0.29133333333333344,-0.1399787910922587,-0.20795053003533573,,,,7.612277311743905,,,-0.009904304664862822,-0.01528893180663346,-0.024199616750308715,0.1513766246945122,-30.55266878789251,-26.63108373187135,-32.40345545485138
20939.0,20939.5,20936.75,20938.5,197,82497690.0,2,1.0,-0.0002148689299527,tp,21.0,0.0214437519402058,0.0005611672278338,-0.4000000000000002,-0.3287431693989071,-0.206325167037862,,,,7.612288591323796,,,-0.005726856557685757,-0.013319752924755072,-0.02237607278143109,0.15152707420737338,-30.72898747699498,-26.561886209810687,-32.34475641698994
20949.5,20949.5,20945.75,20948.25,209,87562235.0,2,1.0,-0.0001789805269186,tp,20.0,0.0209683386440394,0.0010263387156445,-0.4000000000000002,-0.3351888667992048,-0.20988194140795802,,,,5.832926739849785,,,-0.0026675076704703754,-0.011302183043178945,-0.018908636471597205,0.15011977824715772,-29.81865841634609,-21.527995413388087,-32.02128420218912
20949.0,20949.0,20944.5,20947.25,239,100127295.0,2,1.0,-0.0001909193962174,tp,19.0,0.0210170786141378,0.0009786487486424,-0.4000000000000002,-0.39999999999999997,-0.21418803418803425,,,,5.832904707599018,,,0.00021532760845967123,-0.009649480600736532,-0.016844344492802872,0.14815986428326952,-29.896871657685473,-21.472544428995427,-32.07991107473323
20947.5,20947.75,20945.0,20945.25,126,52782030.0,2,1.0,-0.0001790061578118,tp,18.0,0.0211145725164416,0.0008832551533163,-0.4000000000000002,-0.4000000000000001,-0.2899955136832661,,,,5.832816608131032,,,6.60139711648389e-05,-0.008285900811286422,-0.015459398163918059,0.1481332490628137,15.604629124859859,-819.6789024980775,-1219.0187656825046
20935.25,20936.0,20933.0,20934.75,144,60292080.0,2,1.0,0.0,tp,17.0,0.0216267211215801,0.0003821397437275,-0.4000000000000002,-0.4,-0.2680301399354144,,,,5.834870713659175,,,-0.0004031331906609905,-0.005363066756459946,-0.014766956100522968,0.15030645400131928,-9.777430878213138,-574.5638337526153,-852.6948929052196
20935.0,20936.25,20933.0,20933.75,224,93786005.0,2,1.0,-0.0001552275875245,tp,16.0,0.0216755239744431,0.0003343882486415,-0.40000000000000013,-0.4,-0.36488960689283795,,,,5.834797240386637,,,-0.000399666754140618,-0.003143403681967852,-0.01322787532658416,0.11455139049571732,-9.777420375838407,-577.838117759146,-854.2377802048293
20933.0,20934.0,20932.25,20932.25,153,64054635.0,2,1.0,-0.000143298981383,tp,15.0,0.0217487369967394,0.0002627524513609,-0.40000000000000013,-0.4,-0.36553911205073997,,,,5.7135067523101535,,,-0.00033040728144928386,-0.001980499772090497,-0.012523233837877231,0.08347429247105338,-43.985807654327516,-771.2488433134214,-675.2508753183873
20932.25,20932.75,20929.5,20930.5,290,121396900.0,2,1.0,-0.0002985181558742,tp,14.0,0.0218341654523303,0.000179164377344,-0.4,-0.4,-0.39999999999999997,,,,5.7134913494612904,,,-0.00019767272798462866,-0.00040499922400439415,-0.01143666207437052,0.08377766004546361,-45.65130103436248,-767.9831221347694,-673.8677122833507
20930.5,20932.0,20930.0,20930.25,158,66142140.0,2,1.0,-0.0002627085248916,tp,13.0,0.0218463706835799,0.0001672220828704,-0.4000000000000001,-0.39999999999999997,-0.4000000000000001,,,,5.713491395401942,7.615849086049193,,-0.00010877004021735988,-0.00037529496311762333,-0.010687247986308853,0.08329428122299587,-41.565969880776144,-19.104526460040194,-681.335522962389
20930.75,20930.75,20928.0,20930.5,203,84977830.0,2,1.0,-0.0002030117388552,tp,12.0,0.0218341654523303,0.000179164377344,-0.40000000000000013,-0.4,-0.39999999999999997,,,,5.712869858310396,7.615683756504955,,-5.687157912946199e-05,-0.000315572708419718,-0.008660622034293321,0.0825595835568933,-50.09969243480841,-75.01940948332249,-2886.626396464402
20930.25,20930.25,20926.75,20928.5,341,142730615.0,2,1.0,-0.0002507911864811,tp,11.0,0.0219318154669469,7.167259956518622e-05,-0.4000000000000001,-0.4,-0.4000000000000001,,,,5.712918699403033,7.61565763698715,,-8.233151013981721e-05,-0.0003387989254239385,-0.007355699251306382,0.07015515403221151,-51.11035614575018,-68.83900841813237,-2382.716126985211
20928.25,20930.0,20927.0,20928.5,254,106315265.0,2,1.0,-0.0001791493986551,tp,10.0,0.0219318154669469,3.583629978259311e-05,-0.14536340852130347,-0.2369181380417335,-0.3046904315196999,,,,5.7128609873299006,7.615616051562683,,-5.0236683290246654e-05,-0.00024114396420137256,-0.006484203366790176,0.05980547556918384,-41.831942090498245,-155.78615625794316,-2278.446445862471
