ts_utc,equity,buying_power,contracts
2026-06-19T02:48:46.389056+00:00,101916.95,101916.95,1
2026-06-19T02:49:35.502452+00:00,101916.95,101916.95,1
2026-06-19T02:50:05.787069+00:00,101916.95,101916.95,1
2026-06-19T02:50:36.074606+00:00,101916.95,101916.95,1
2026-06-19T02:51:06.367716+00:00,101916.95,101916.95,1
2026-06-19T02:51:36.658413+00:00,101916.95,101916.95,1
2026-06-19T02:52:06.937611+00:00,101916.95,101916.95,1
2026-06-19T02:52:37.208474+00:00,101916.95,101916.95,1
2026-06-19T02:53:07.500767+00:00,101916.95,101916.95,1
2026-06-19T02:53:37.774637+00:00,101916.95,101916.95,1
2026-06-19T02:54:08.105037+00:00,101916.95,101916.95,1
2026-06-19T02:54:38.376264+00:00,101916.95,101916.95,1
2026-06-19T02:55:08.644225+00:00,101916.95,101916.95,1
2026-06-19T02:55:38.939536+00:00,101916.95,101916.95,1
2026-06-19T02:56:09.242666+00:00,101916.95,101916.95,1
2026-06-19T02:56:39.537262+00:00,101916.95,101916.95,1
2026-06-19T02:57:09.828200+00:00,101916.95,101916.95,1
2026-06-19T02:57:40.109841+00:00,101916.95,101916.95,1
2026-06-19T02:58:10.398637+00:00,101916.95,101916.95,1
2026-06-19T02:58:40.679617+00:00,101916.95,101916.95,1
2026-06-19T02:59:10.950688+00:00,101916.95,101916.95,1
2026-06-19T02:59:41.234297+00:00,101916.95,101916.95,1
2026-06-19T03:00:11.525729+00:00,101916.95,101916.95,1
2026-06-19T03:00:42.655350+00:00,101916.95,101916.95,1
2026-06-19T03:01:12.958216+00:00,101916.95,101916.95,1
2026-06-19T03:01:43.217094+00:00,101916.95,101916.95,1
2026-06-19T03:02:13.479624+00:00,101916.95,101916.95,1
2026-06-19T03:02:43.733875+00:00,101916.95,101916.95,1
2026-06-19T03:03:14.016912+00:00,101916.95,101916.95,1
2026-06-19T03:03:44.284376+00:00,101916.95,101916.95,1
2026-06-19T03:04:14.577835+00:00,101916.95,101916.95,1
2026-06-19T03:04:44.864302+00:00,101916.95,101916.95,1
2026-06-19T03:05:15.143417+00:00,101916.95,101916.95,1
2026-06-19T03:05:45.415054+00:00,101916.95,101916.95,1
2026-06-19T03:06:15.704621+00:00,101916.95,101916.95,1
2026-06-19T03:06:45.972656+00:00,101916.95,101916.95,1
2026-06-19T03:07:16.261984+00:00,101916.95,101916.95,1
2026-06-19T03:07:46.511490+00:00,101916.95,101916.95,1
2026-06-19T03:08:16.863857+00:00,101916.95,101916.95,1
2026-06-19T03:08:47.144020+00:00,101916.95,101916.95,1
2026-06-19T03:09:17.467761+00:00,101916.95,101916.95,1
2026-06-19T03:09:47.750591+00:00,101916.95,101916.95,1
2026-06-19T03:10:18.031334+00:00,101916.95,101916.95,1
2026-06-19T03:10:48.304530+00:00,101916.95,101916.95,1
2026-06-19T03:11:19.092023+00:00,101916.95,101916.95,1
2026-06-19T03:11:49.342880+00:00,101916.95,101916.95,1
2026-06-19T03:12:19.630256+00:00,101916.95,101916.95,1
2026-06-19T03:12:49.912389+00:00,101916.95,101916.95,1
2026-06-19T03:13:20.210539+00:00,101916.95,101916.95,1
2026-06-19T03:13:50.489042+00:00,101916.95,101916.95,1
2026-06-19T03:14:20.781436+00:00,101916.95,101916.95,1
2026-06-19T03:14:51.036621+00:00,101916.95,101916.95,1
2026-06-19T03:15:21.306772+00:00,101916.95,101916.95,1
2026-06-19T03:15:51.592669+00:00,101916.95,101916.95,1
2026-06-19T03:16:21.873116+00:00,101916.95,101916.95,1
2026-06-19T03:16:52.137268+00:00,101916.95,101916.95,1
2026-06-19T03:17:22.413168+00:00,101916.95,101916.95,1
2026-06-19T03:17:52.679096+00:00,101916.95,101916.95,1
2026-06-19T03:18:22.966696+00:00,101916.95,101916.95,1
2026-06-19T03:18:53.250548+00:00,101916.95,101916.95,1
2026-06-19T03:19:23.522832+00:00,101916.95,101916.95,1
2026-06-19T03:19:53.776909+00:00,101916.95,101916.95,1
2026-06-19T03:20:24.055282+00:00,101916.95,101916.95,1
2026-06-19T03:20:54.356918+00:00,101916.95,101916.95,1
2026-06-19T03:21:24.645600+00:00,101916.95,101916.95,1
2026-06-19T03:21:54.933131+00:00,101916.95,101916.95,1
2026-06-19T03:22:25.208706+00:00,101916.95,101916.95,1
2026-06-19T03:22:55.468111+00:00,101916.95,101916.95,1
2026-06-19T03:23:25.761217+00:00,101916.95,101916.95,1
2026-06-19T03:23:56.039121+00:00,101916.95,101916.95,1
2026-06-19T03:24:26.327377+00:00,101916.95,101916.95,1
2026-06-19T03:24:56.588490+00:00,101916.95,101916.95,1
2026-06-19T03:25:26.879822+00:00,101916.95,101916.95,1
2026-06-19T03:25:57.166669+00:00,101916.95,101916.95,1
2026-06-19T03:26:27.457277+00:00,101916.95,101916.95,1
2026-06-19T03:26:57.747942+00:00,101916.95,101916.95,1
2026-06-19T03:27:28.022596+00:00,101916.95,101916.95,1
2026-06-19T03:27:58.318243+00:00,101916.95,101916.95,1
2026-06-19T03:28:28.586493+00:00,101916.95,101916.95,1
2026-06-19T03:28:58.848504+00:00,101916.95,101916.95,1
2026-06-19T03:29:29.148158+00:00,101916.95,101916.95,1
2026-06-19T03:29:59.430733+00:00,101916.95,101916.95,1
2026-06-19T03:30:29.706135+00:00,101916.95,101916.95,1
2026-06-19T03:30:59.985677+00:00,101916.95,101916.95,1
2026-06-19T03:31:30.277520+00:00,101916.95,101916.95,1
2026-06-19T03:32:00.547930+00:00,101916.95,101916.95,1
2026-06-19T03:32:30.843358+00:00,101916.95,101916.95,1
2026-06-19T03:33:01.159542+00:00,101916.95,101916.95,1
2026-06-19T03:33:31.448308+00:00,101916.95,101916.95,1
2026-06-19T03:34:01.734116+00:00,101916.95,101916.95,1
2026-06-19T03:34:32.026314+00:00,101916.95,101916.95,1
2026-06-19T03:35:02.317723+00:00,101916.95,101916.95,1
2026-06-19T03:35:32.598916+00:00,101916.95,101916.95,1
2026-06-19T03:36:02.856254+00:00,101916.95,101916.95,1
2026-06-19T03:36:33.634053+00:00,101916.95,101916.95,1
2026-06-19T03:37:03.901481+00:00,101916.95,101916.95,1
2026-06-19T03:37:34.185832+00:00,101916.95,101916.95,1
2026-06-19T03:38:04.452524+00:00,101916.95,101916.95,1
2026-06-19T03:38:34.737183+00:00,101916.95,101916.95,1
2026-06-19T03:39:05.034817+00:00,101916.95,101916.95,1
2026-06-19T03:39:35.342876+00:00,101916.95,101916.95,1
2026-06-19T03:40:05.640722+00:00,101916.95,101916.95,1
2026-06-19T03:40:35.925552+00:00,101916.95,101916.95,1
2026-06-19T03:41:06.215787+00:00,101916.95,101916.95,1
2026-06-19T03:41:36.478599+00:00,101916.95,101916.95,1
2026-06-19T03:42:06.778827+00:00,101916.95,101916.95,1
2026-06-19T03:42:37.083214+00:00,101916.95,101916.95,1
2026-06-19T03:43:07.362322+00:00,101916.95,101916.95,1
2026-06-19T03:43:37.642331+00:00,101916.95,101916.95,1
2026-06-19T03:44:07.906005+00:00,101916.95,101916.95,1
2026-06-19T03:44:38.186664+00:00,101916.95,101916.95,1
2026-06-19T03:45:08.933130+00:00,101916.95,101916.95,1
2026-06-19T03:45:39.220753+00:00,101916.95,101916.95,1
2026-06-19T03:46:09.525346+00:00,101916.95,101916.95,1
2026-06-19T03:46:39.821701+00:00,101916.95,101916.95,1
2026-06-19T03:47:10.115839+00:00,101916.95,101916.95,1
2026-06-19T03:47:40.394849+00:00,101916.95,101916.95,1
2026-06-19T03:48:10.707095+00:00,101916.95,101916.95,1
2026-06-19T03:48:41.015505+00:00,101916.95,101916.95,1
2026-06-19T03:49:11.320018+00:00,101916.95,101916.95,1
2026-06-19T03:49:41.705641+00:00,101916.95,101916.95,1
2026-06-19T03:50:11.965896+00:00,101916.95,101916.95,1
2026-06-19T03:50:42.256874+00:00,101916.95,101916.95,1
2026-06-19T03:51:12.597735+00:00,101916.95,101916.95,1
2026-06-19T03:51:42.945876+00:00,101916.95,101916.95,1
2026-06-19T03:52:13.235151+00:00,101916.95,101916.95,1
2026-06-19T03:52:43.530300+00:00,101916.95,101916.95,1
2026-06-19T03:53:13.797908+00:00,101916.95,101916.95,1
2026-06-19T03:53:44.062359+00:00,101916.95,101916.95,1
2026-06-19T03:54:14.344661+00:00,101916.95,101916.95,1
2026-06-19T03:54:44.637796+00:00,101916.95,101916.95,1
2026-06-19T03:55:14.929508+00:00,101916.95,101916.95,1
2026-06-19T03:55:45.225596+00:00,101916.95,101916.95,1
2026-06-19T03:56:15.518661+00:00,101916.95,101916.95,1
2026-06-19T03:56:45.791117+00:00,101916.95,101916.95,1
2026-06-19T03:57:16.072491+00:00,101916.95,101916.95,1
2026-06-19T03:57:46.371306+00:00,101916.95,101916.95,1
2026-06-19T03:58:16.657061+00:00,101916.95,101916.95,1
2026-06-19T03:58:46.940379+00:00,101916.95,101916.95,1
2026-06-19T03:59:17.234501+00:00,101916.95,101916.95,1
2026-06-19T03:59:47.748724+00:00,101916.95,101916.95,1
2026-06-19T04:00:18.043085+00:00,101916.95,101916.95,1
2026-06-19T04:00:48.324162+00:00,101916.95,101916.95,1
2026-06-19T04:01:18.615883+00:00,101916.95,101916.95,1
2026-06-19T04:01:48.980928+00:00,101916.95,101916.95,1
2026-06-19T04:02:19.256118+00:00,101916.95,101916.95,1
2026-06-19T04:02:49.568531+00:00,101916.95,101916.95,1
2026-06-19T04:03:19.872051+00:00,101916.95,101916.95,1
2026-06-19T04:03:50.154754+00:00,101916.95,101916.95,1
