ts_utc,equity,buying_power,contracts
2026-06-19T02:48:44.697822+00:00,101916.95,101916.95,1
2026-06-19T02:49:14.964253+00:00,101916.95,101916.95,1
2026-06-19T02:49:45.241850+00:00,101916.95,101916.95,1
2026-06-19T02:50:15.516854+00:00,101916.95,101916.95,1
2026-06-19T02:50:45.791184+00:00,101916.95,101916.95,1
2026-06-19T02:51:16.050436+00:00,101916.95,101916.95,1
2026-06-19T02:51:46.344100+00:00,101916.95,101916.95,1
2026-06-19T02:52:16.599166+00:00,101916.95,101916.95,1
2026-06-19T02:52:46.867601+00:00,101916.95,101916.95,1
2026-06-19T02:53:17.134795+00:00,101916.95,101916.95,1
2026-06-19T02:53:47.397382+00:00,101916.95,101916.95,1
2026-06-19T02:54:17.685651+00:00,101916.95,101916.95,1
2026-06-19T02:54:47.952760+00:00,101916.95,101916.95,1
2026-06-19T02:55:18.226582+00:00,101916.95,101916.95,1
2026-06-19T02:55:48.493428+00:00,101916.95,101916.95,1
2026-06-19T02:56:18.766433+00:00,101916.95,101916.95,1
2026-06-19T02:56:49.022258+00:00,101916.95,101916.95,1
2026-06-19T02:57:19.305901+00:00,101916.95,101916.95,1
2026-06-19T02:57:49.576985+00:00,101916.95,101916.95,1
2026-06-19T02:58:19.849709+00:00,101916.95,101916.95,1
2026-06-19T02:58:50.124513+00:00,101916.95,101916.95,1
2026-06-19T02:59:20.386594+00:00,101916.95,101916.95,1
2026-06-19T02:59:50.650845+00:00,101916.95,101916.95,1
2026-06-19T03:00:20.915120+00:00,101916.95,101916.95,1
2026-06-19T03:00:51.176372+00:00,101916.95,101916.95,1
2026-06-19T03:01:21.444112+00:00,101916.95,101916.95,1
2026-06-19T03:01:51.717868+00:00,101916.95,101916.95,1
2026-06-19T03:02:21.982871+00:00,101916.95,101916.95,1
2026-06-19T03:02:52.255506+00:00,101916.95,101916.95,1
2026-06-19T03:03:22.515459+00:00,101916.95,101916.95,1
2026-06-19T03:03:52.783576+00:00,101916.95,101916.95,1
2026-06-19T03:04:23.046042+00:00,101916.95,101916.95,1
2026-06-19T03:04:53.321167+00:00,101916.95,101916.95,1
2026-06-19T03:05:23.583717+00:00,101916.95,101916.95,1
2026-06-19T03:05:53.831098+00:00,101916.95,101916.95,1
2026-06-19T03:06:24.090772+00:00,101916.95,101916.95,1
2026-06-19T03:06:54.348074+00:00,101916.95,101916.95,1
2026-06-19T03:07:24.635940+00:00,101916.95,101916.95,1
2026-06-19T03:07:54.897271+00:00,101916.95,101916.95,1
2026-06-19T03:08:25.175588+00:00,101916.95,101916.95,1
2026-06-19T03:08:55.429691+00:00,101916.95,101916.95,1
2026-06-20T14:28:07.141614+00:00,101916.95,101916.95,1
2026-06-20T14:28:37.904703+00:00,101916.95,101916.95,1
2026-06-20T14:29:08.180913+00:00,101916.95,101916.95,1
2026-06-20T14:29:38.433343+00:00,101916.95,101916.95,1
2026-06-20T14:30:08.710493+00:00,101916.95,101916.95,1
2026-06-20T14:30:38.961164+00:00,101916.95,101916.95,1
2026-06-20T14:31:09.217395+00:00,101916.95,101916.95,1
2026-06-20T14:31:39.471345+00:00,101916.95,101916.95,1
2026-06-20T14:32:09.734506+00:00,101916.95,101916.95,1
2026-06-20T14:32:39.987193+00:00,101916.95,101916.95,1
2026-06-20T14:33:10.263394+00:00,101916.95,101916.95,1
2026-06-20T14:33:40.517053+00:00,101916.95,101916.95,1
2026-06-20T14:34:10.787781+00:00,101916.95,101916.95,1
2026-06-20T14:34:41.042433+00:00,101916.95,101916.95,1
2026-06-20T14:35:11.312614+00:00,101916.95,101916.95,1
2026-06-20T14:35:41.567643+00:00,101916.95,101916.95,1
2026-06-20T14:36:11.821366+00:00,101916.95,101916.95,1
2026-06-20T14:36:42.075634+00:00,101916.95,101916.95,1
2026-06-20T14:37:12.323562+00:00,101916.95,101916.95,1
2026-06-20T14:37:42.572104+00:00,101916.95,101916.95,1
2026-06-20T14:38:12.836014+00:00,101916.95,101916.95,1
2026-06-20T14:38:43.085627+00:00,101916.95,101916.95,1
2026-06-20T14:39:13.330777+00:00,101916.95,101916.95,1
2026-06-20T14:39:43.577285+00:00,101916.95,101916.95,1
2026-06-20T14:40:13.824439+00:00,101916.95,101916.95,1
2026-06-20T14:40:44.069112+00:00,101916.95,101916.95,1
2026-06-22T23:35:16.794172+00:00,101906.55,101906.55,1
2026-06-22T23:35:47.058544+00:00,101906.55,101906.55,1
2026-06-22T23:36:17.329573+00:00,101906.55,101906.55,1
2026-06-22T23:36:47.591898+00:00,101906.55,101906.55,1
2026-06-22T23:37:17.871812+00:00,101906.55,101906.55,1
2026-06-22T23:37:48.131062+00:00,101906.55,101906.55,1
2026-06-22T23:38:18.394452+00:00,101906.55,101906.55,1
2026-06-22T23:38:48.657828+00:00,101906.55,101906.55,1
2026-06-22T23:39:18.929311+00:00,101906.55,101906.55,1
2026-06-22T23:39:49.194729+00:00,101906.55,101906.55,1
2026-06-22T23:40:19.455312+00:00,101906.55,101906.55,1
2026-06-22T23:40:49.719159+00:00,101906.55,101906.55,1
2026-06-22T23:41:19.978761+00:00,101906.55,101906.55,1
2026-06-22T23:41:50.247192+00:00,101906.55,101906.55,1
2026-06-22T23:42:20.532821+00:00,101906.55,101906.55,1
2026-06-22T23:42:50.811343+00:00,101906.55,101906.55,1
2026-06-22T23:43:21.068518+00:00,101906.55,101906.55,1
2026-06-22T23:43:51.342504+00:00,101906.55,101906.55,1
2026-06-22T23:44:21.603432+00:00,101906.55,101906.55,1
2026-06-22T23:44:51.857500+00:00,101906.55,101906.55,1
2026-06-22T23:45:22.122854+00:00,101906.55,101906.55,1
2026-06-22T23:45:52.394291+00:00,101906.55,101906.55,1
2026-06-22T23:46:22.643025+00:00,101906.55,101906.55,1
2026-06-22T23:46:52.912511+00:00,101906.55,101906.55,1
2026-06-22T23:47:23.186814+00:00,101906.55,101906.55,1
2026-06-22T23:47:53.440941+00:00,101906.55,101906.55,1
