timestamp,open,high,low,close,volume,amount
2025-01-27 15:15:00-05:00,21133.25,21197.75,21127.5,21158.5,44929,950439298.25
2025-01-27 15:30:00-05:00,21157.75,21208.5,21147.25,21178.0,38480,814732230.0
2025-01-27 15:45:00-05:00,21178.25,21234.5,21172.75,21233.0,36761,779503219.625
2025-01-27 16:00:00-05:00,21232.0,21265.0,21186.75,21258.5,52220,1108921073.75
2025-01-28 09:45:00-05:00,21302.5,21319.75,21172.5,21184.25,133718,2840805480.5
2025-01-28 10:00:00-05:00,21184.5,21291.5,21160.75,21284.5,103281,2192687905.3125
2025-01-28 10:15:00-05:00,21284.5,21381.25,21280.0,21374.5,100251,2138360095.6875
2025-01-28 10:30:00-05:00,21374.5,21481.25,21359.0,21467.25,81060,1736345730.0
2025-01-28 10:45:00-05:00,21466.75,21472.25,21411.0,21429.75,80619,1728869416.3125
2025-01-28 11:00:00-05:00,21429.0,21458.75,21395.25,21456.5,63321,1357277719.875
2025-01-28 11:15:00-05:00,21456.5,21478.75,21419.5,21450.0,58934,1264204284.125
2025-01-28 11:30:00-05:00,21450.25,21469.5,21387.25,21406.0,59477,1274488025.25
2025-01-28 11:45:00-05:00,21406.25,21448.0,21388.25,21420.75,59455,1273277132.1875
2025-01-28 12:00:00-05:00,21421.0,21474.75,21400.0,21472.75,49115,1053129969.375
2025-01-28 12:15:00-05:00,21473.25,21539.75,21470.5,21535.0,54073,1162819587.625
2025-01-28 12:30:00-05:00,21535.0,21563.25,21530.25,21549.5,40725,877399762.5
2025-01-28 12:45:00-05:00,21550.0,21560.0,21529.5,21537.75,29106,627068759.625
2025-01-28 13:00:00-05:00,21538.0,21556.5,21523.75,21544.5,29022,625153832.625
2025-01-28 13:15:00-05:00,21545.0,21574.25,21540.5,21570.75,29366,633061215.75
2025-01-28 13:30:00-05:00,21570.75,21584.0,21546.5,21553.25,31310,675157098.75
2025-01-28 13:45:00-05:00,21553.5,21562.5,21521.5,21534.25,28376,611302394.5
2025-01-28 14:00:00-05:00,21535.0,21554.5,21522.25,21540.25,26007,560138766.0
2025-01-28 14:15:00-05:00,21540.5,21548.5,21513.25,21526.75,25979,559386322.75
2025-01-28 14:30:00-05:00,21525.75,21563.0,21523.75,21558.5,26214,564721648.5
2025-01-28 14:45:00-05:00,21558.75,21609.25,21558.5,21602.0,28461,614248859.625
2025-01-28 15:00:00-05:00,21601.25,21626.0,21601.25,21615.25,27792,600611175.0
2025-01-28 15:15:00-05:00,21614.75,21616.5,21585.5,21604.5,27811,600865345.9375
2025-01-28 15:30:00-05:00,21604.5,21623.0,21600.75,21616.75,21824,471643920.0
2025-01-28 15:45:00-05:00,21616.25,21622.25,21595.0,21606.5,23146,500185060.0
2025-01-28 16:00:00-05:00,21606.5,21607.25,21558.25,21575.75,49640,1071575577.5
2025-01-29 09:45:00-05:00,21600.25,21606.25,21498.5,21508.5,105658,2277286495.75
2025-01-29 10:00:00-05:00,21508.75,21550.0,21494.0,21518.5,74969,1613168885.3125
2025-01-29 10:15:00-05:00,21519.25,21565.0,21502.75,21536.0,74233,1598292164.75
2025-01-29 10:30:00-05:00,21536.5,21556.25,21480.5,21502.75,65386,1407041334.0
2025-01-29 10:45:00-05:00,21502.75,21527.0,21456.75,21474.0,55681,1196591650.125
2025-01-29 11:00:00-05:00,21474.0,21529.75,21460.0,21506.5,56287,1209751865.4375
2025-01-29 11:15:00-05:00,21507.0,21525.0,21479.25,21498.25,46441,998591797.375
2025-01-29 11:30:00-05:00,21498.75,21513.75,21477.25,21488.75,38039,817634040.375
2025-01-29 11:45:00-05:00,21489.25,21515.0,21466.25,21499.5,38709,831953182.5
2025-01-29 12:00:00-05:00,21499.75,21511.25,21468.25,21484.25,34316,737480866.5
2025-01-29 12:15:00-05:00,21484.25,21533.25,21480.0,21515.25,34761,747472300.6875
2025-01-29 12:30:00-05:00,21515.5,21546.0,21510.75,21528.75,25611,551283177.75
2025-01-29 12:45:00-05:00,21529.0,21538.25,21518.75,21524.25,16729,360134593.0625
2025-01-29 13:00:00-05:00,21524.5,21524.5,21477.75,21485.25,26784,575936352.0
2025-01-29 13:15:00-05:00,21485.75,21495.75,21368.0,21457.25,102380,2196223766.25
2025-01-29 13:30:00-05:00,21457.75,21496.5,21427.5,21493.5,39124,839945820.25
2025-01-29 13:45:00-05:00,21493.25,21515.75,21450.0,21465.25,38867,834904456.1875
2025-01-29 14:00:00-05:00,21465.25,21494.25,21455.0,21467.75,19087,409808626.4375
2025-01-29 14:15:00-05:00,21464.25,21486.25,21403.75,21423.75,65750,1409975875.0
2025-01-29 14:30:00-05:00,21423.25,21436.25,21386.25,21400.25,38961,834213451.5
2025-01-29 14:45:00-05:00,21400.0,21567.25,21386.5,21550.25,92921,1995571396.0
2025-01-29 15:00:00-05:00,21550.75,21579.0,21508.0,21538.0,65964,1421124293.25
2025-01-29 15:15:00-05:00,21538.25,21556.5,21479.25,21512.0,62110,1336700365.0
2025-01-29 15:30:00-05:00,21511.25,21597.0,21463.0,21584.0,57051,1228810791.9375
2025-01-29 15:45:00-05:00,21585.25,21601.0,21516.0,21528.75,55247,1191001014.25
2025-01-29 16:00:00-05:00,21528.75,21553.0,21471.25,21530.0,48605,1046016053.75
2025-01-30 09:45:00-05:00,21650.0,21668.75,21597.25,21647.75,111740,2418158356.25
2025-01-30 10:00:00-05:00,21648.0,21748.75,21639.5,21674.75,112751,2444187990.25
2025-01-30 10:15:00-05:00,21675.0,21677.0,21563.75,21596.5,121460,2626944471.25
2025-01-30 10:30:00-05:00,21596.75,21604.75,21522.0,21532.5,74662,1610011368.0
2025-01-30 10:45:00-05:00,21532.75,21592.5,21502.0,21552.25,78621,1693879617.375
2025-01-30 11:00:00-05:00,21552.5,21584.75,21461.0,21462.5,74713,1607464203.6875
2025-01-30 11:15:00-05:00,21462.75,21489.25,21419.0,21426.0,73943,1586021892.75
2025-01-30 11:30:00-05:00,21426.0,21552.75,21426.0,21549.75,62642,1346090447.25
2025-01-30 11:45:00-05:00,21550.25,21570.0,21514.0,21551.0,45603,982576488.9375
2025-01-30 12:00:00-05:00,21551.75,21625.25,21542.25,21610.25,45035,971962258.125
2025-01-30 12:15:00-05:00,21609.75,21610.0,21547.5,21552.5,41619,898135418.8125
2025-01-30 12:30:00-05:00,21552.5,21560.75,21505.5,21521.75,43914,945693479.25
2025-01-30 12:45:00-05:00,21522.5,21552.25,21503.25,21519.0,35707,768566394.75
2025-01-30 13:00:00-05:00,21519.0,21554.5,21514.75,21552.5,23165,498862618.4375
2025-01-30 13:15:00-05:00,21552.75,21570.75,21526.75,21553.25,30974,667516802.25
2025-01-30 13:30:00-05:00,21553.25,21573.75,21537.0,21551.0,23817,513345663.75
2025-01-30 13:45:00-05:00,21551.25,21604.0,21546.25,21589.25,26747,577004672.5625
2025-01-30 14:00:00-05:00,21589.25,21612.25,21585.0,21606.5,20391,440409915.75
2025-01-30 14:15:00-05:00,21606.75,21624.5,21587.25,21616.5,21571,466122346.25
2025-01-30 14:30:00-05:00,21616.25,21622.5,21602.75,21610.5,18844,407275372.0
2025-01-30 14:45:00-05:00,21610.25,21620.75,21597.5,21615.75,18606,402095428.875
2025-01-30 15:00:00-05:00,21616.0,21662.0,21612.75,21659.5,24756,535659497.25
2025-01-30 15:15:00-05:00,21659.5,21685.25,21655.5,21677.75,26689,578337285.5
2025-01-30 15:30:00-05:00,21677.75,21700.0,21673.5,21690.0,20478,444071829.375
2025-01-30 15:45:00-05:00,21690.25,21690.25,21531.0,21543.25,93778,2026888386.375
2025-01-30 16:00:00-05:00,21542.75,21657.0,21523.0,21624.25,79266,1711095325.5
2025-01-31 09:45:00-05:00,21774.25,21838.25,21764.0,21819.5,94139,2052136061.0
2025-01-31 10:00:00-05:00,21819.5,21870.5,21799.0,21866.75,75601,1651045513.9375
2025-01-31 10:15:00-05:00,21867.25,21921.5,21865.5,21898.25,77341,1692849475.625
2025-01-31 10:30:00-05:00,21898.25,21908.5,21872.75,21896.5,44459,973385346.0
2025-01-31 10:45:00-05:00,21896.75,21938.5,21895.75,21909.0,56174,1230772340.0
2025-01-31 11:00:00-05:00,21909.0,21957.5,21893.25,21937.5,50700,1111562643.75
2025-01-31 11:15:00-05:00,21937.5,21965.75,21934.0,21952.5,37725,827967079.6875
2025-01-31 11:30:00-05:00,21953.0,21958.5,21911.25,21917.5,34392,754390669.5
2025-01-31 11:45:00-05:00,21917.75,21932.0,21877.25,21895.25,45039,986604629.4375
2025-01-31 12:00:00-05:00,21895.25,21914.75,21888.25,21903.75,32895,720416947.5
2025-01-31 12:15:00-05:00,21903.75,21914.75,21864.5,21912.0,48726,1067038492.5
2025-01-31 12:30:00-05:00,21912.25,21936.25,21890.25,21935.25,29383,644031285.5
2025-01-31 12:45:00-05:00,21934.75,21939.0,21909.0,21914.0,22801,499893399.1875
2025-01-31 13:00:00-05:00,21914.0,21933.5,21904.5,21915.25,23086,505971533.375
2025-01-31 13:15:00-05:00,21915.5,21926.75,21905.0,21906.0,18193,398668894.3125
2025-01-31 13:30:00-05:00,21906.5,21913.5,21810.0,21815.0,75804,1657170195.0
2025-01-31 13:45:00-05:00,21814.75,21827.25,21730.25,21772.25,106711,2324819184.875
2025-01-31 14:00:00-05:00,21772.25,21795.25,21720.0,21752.0,60371,1313665413.625
2025-01-31 14:15:00-05:00,21752.25,21781.0,21672.25,21742.75,82022,1782917340.375
2025-01-31 14:30:00-05:00,21742.75,21763.0,21684.5,21716.5,53468,1161682527.25
2025-01-31 14:45:00-05:00,21716.5,21739.25,21617.25,21626.0,60062,1301828834.5
2025-01-31 15:00:00-05:00,21626.0,21684.75,21584.75,21661.75,71199,1540697410.6875
2025-01-31 15:15:00-05:00,21661.75,21661.75,21556.0,21568.5,63194,1365748728.0
2025-01-31 15:30:00-05:00,21568.75,21595.25,21542.25,21559.25,49871,1075536687.625
2025-01-31 15:45:00-05:00,21559.75,21587.0,21536.25,21551.25,49575,1068765735.9375
2025-01-31 16:00:00-05:00,21551.0,21641.75,21550.0,21580.25,60287,1301038675.25
2025-02-03 09:45:00-05:00,21216.0,21314.75,21177.75,21261.0,132705,2818969374.375
2025-02-03 10:00:00-05:00,21260.25,21268.5,21172.5,21215.25,86479,1835873500.875
2025-02-03 10:15:00-05:00,21215.25,21218.0,21121.5,21129.0,99985,2116776185.9375
2025-02-03 10:30:00-05:00,21129.0,21363.5,21113.25,21353.5,146383,3109147473.1875
2025-02-03 10:45:00-05:00,21352.75,21452.5,21321.25,21438.75,145318,3108542749.875
2025-02-03 11:00:00-05:00,21438.25,21443.25,21383.0,21419.25,85786,1837616544.375
2025-02-03 11:15:00-05:00,21418.75,21456.25,21340.5,21430.25,91743,1964349510.5625
2025-02-03 11:30:00-05:00,21430.25,21470.0,21391.5,21404.5,54513,1167889919.0625
2025-02-03 11:45:00-05:00,21405.5,21444.0,21378.75,21432.75,51624,1105540866.0
2025-02-03 12:00:00-05:00,21432.75,21461.0,21367.0,21382.75,52310,1120002871.25
2025-02-03 12:15:00-05:00,21382.75,21406.25,21364.0,21395.75,45169,966037872.1875
2025-02-03 12:30:00-05:00,21395.5,21455.5,21381.75,21392.25,35904,768570000.0
2025-02-03 12:45:00-05:00,21392.5,21401.75,21346.5,21358.0,41573,888609883.4375
2025-02-03 13:00:00-05:00,21358.0,21426.5,21341.5,21400.5,62621,1338938739.125
2025-02-03 13:15:00-05:00,21400.5,21423.5,21350.75,21408.0,44896,960580786.0
2025-02-03 13:30:00-05:00,21408.5,21433.5,21393.0,21415.0,36756,787037850.0
2025-02-03 13:45:00-05:00,21414.75,21449.0,21398.75,21416.5,32432,694685332.0
2025-02-03 14:00:00-05:00,21416.25,21473.0,21416.25,21467.25,26429,566722002.4375
2025-02-03 14:15:00-05:00,21466.5,21504.75,21447.75,21501.0,32082,689121360.0
2025-02-03 14:30:00-05:00,21501.0,21520.0,21487.75,21489.25,26071,560513464.5
