timestamp_entry,timestamp_exit,direction,entry_price,exit_price,pnl_usd,exit_reason
2025-01-10 09:39:00-05:00,2025-01-10 10:07:00-05:00,BEARISH,21119.125,20925.125,1936.0,TP
2025-01-10 10:52:00-05:00,2025-01-10 13:50:00-05:00,BEARISH,21087.0,21141.0,-544.0,SL
2025-01-17 09:47:00-05:00,2025-01-17 10:00:00-05:00,BULLISH,21527.625,21490.125,-379.0,SL
2025-01-30 10:31:00-05:00,2025-01-30 10:41:00-05:00,BEARISH,21547.875,21588.375,-409.0,SL
2025-01-31 10:01:00-05:00,2025-01-31 13:21:00-05:00,BULLISH,21857.25,21824.25,-334.0,SL
2025-02-05 10:01:00-05:00,2025-02-05 10:04:00-05:00,BULLISH,21565.375,21537.875,-279.0,SL
2025-02-07 10:31:00-05:00,2025-02-07 10:38:00-05:00,BEARISH,21762.875,21793.375,-309.0,SL
2025-02-19 10:57:00-05:00,2025-02-19 11:04:00-05:00,BEARISH,22175.875,22197.375,-219.0,SL
2025-02-20 10:01:00-05:00,2025-02-20 10:06:00-05:00,BEARISH,22020.375,22047.875,-279.0,SL
2025-02-28 09:37:00-05:00,2025-02-28 14:17:00-05:00,BULLISH,20514.5,20571.75,568.5,TIME_STOP
2025-03-17 09:50:00-04:00,2025-03-17 10:53:00-04:00,BEARISH,19995.125,19928.75,659.75,TIME_STOP
2025-03-20 10:02:00-04:00,2025-03-20 12:29:00-04:00,BULLISH,19953.125,19905.625,-479.0,SL
2025-03-26 10:21:00-04:00,2025-03-26 11:10:00-04:00,BEARISH,20288.75,20313.75,-254.0,SL
2025-04-11 10:13:00-04:00,2025-04-11 11:14:00-04:00,BEARISH,18542.0,18369.25,1723.5,TIME_STOP
2025-04-21 09:50:00-04:00,2025-04-21 09:56:00-04:00,BULLISH,18084.5,18040.5,-444.0,SL
2025-04-23 09:39:00-04:00,2025-04-23 10:40:00-04:00,BULLISH,18974.0,19132.0,1576.0,TIME_STOP
2025-05-08 10:55:00-04:00,2025-05-08 11:21:00-04:00,BEARISH,20057.5,20119.5,-624.0,SL
2025-05-21 09:32:00-04:00,2025-05-21 13:26:00-04:00,BULLISH,21288.25,21254.25,-344.0,SL
2025-05-30 09:52:00-04:00,2025-05-30 10:02:00-04:00,BEARISH,21276.75,21314.75,-384.0,SL
2025-06-18 09:34:00-04:00,2025-06-18 09:48:00-04:00,BEARISH,21957.75,21988.75,-314.0,SL
2025-06-27 09:30:00-04:00,2025-06-27 09:38:00-04:00,BEARISH,22714.375,22730.875,-169.0,SL
2025-06-27 10:57:00-04:00,2025-06-27 11:13:00-04:00,BEARISH,22766.0,22785.0,-194.0,SL
2025-06-30 09:34:00-04:00,2025-06-30 10:39:00-04:00,BEARISH,22841.0,22818.5,221.0,TIME_STOP
2025-07-07 09:35:00-04:00,2025-07-07 09:52:00-04:00,BEARISH,22935.125,22963.625,-289.0,SL
2025-07-09 10:02:00-04:00,2025-07-09 10:21:00-04:00,BULLISH,23093.875,23074.375,-199.0,SL
2025-07-10 10:22:00-04:00,2025-07-10 10:42:00-04:00,BEARISH,22951.875,22978.375,-269.0,SL
