ts_utc,symbol,bid,ask,bid_size,ask_size,last,spread
2026-06-26T13:25:14Z,PLN26,1610.1,1611.1,3,1,1610.2,1.0
2026-06-26T13:25:14Z,PLV26,1625.7,1626.5,3,1,1625.7,0.7999999999999545
2026-06-26T13:25:19Z,PLN26,1608.9,1610,1,2,1610.2,1.099999999999909
2026-06-26T13:25:19Z,PLV26,1624.4,1625.4,1,1,1624.5,1.0
2026-06-26T13:25:24Z,PLN26,1609.4,1610.5,1,1,1610.2,1.099999999999909
2026-06-26T13:25:24Z,PLV26,1624.9,1625.9,1,1,1624.5,1.0
2026-06-26T13:25:30Z,PLN26,1609.4,1610.5,1,1,1610.2,1.099999999999909
2026-06-26T13:25:30Z,PLV26,1624.9,1625.9,1,2,1625,1.0
2026-06-26T13:25:35Z,PLN26,1609.6,1610.7,1,2,1610.2,1.1000000000001364
2026-06-26T13:25:35Z,PLV26,1625.1,1626,1,2,1625,0.900000000000091
2026-06-26T13:25:40Z,PLN26,1609.7,1611,2,1,1610.2,1.2999999999999545
2026-06-26T13:25:40Z,PLV26,1625.2,1626.3,2,1,1625.9,1.099999999999909
2026-06-26T13:25:46Z,PLN26,1609.9,1611.1,1,2,1610.2,1.199999999999818
2026-06-26T13:25:46Z,PLV26,1625.4,1626.4,1,1,1625.4,1.0
2026-06-26T13:25:51Z,PLN26,1610.6,1611.7,1,4,1610.2,1.1000000000001364
2026-06-26T13:25:51Z,PLV26,1626.1,1627,1,2,1626.3,0.900000000000091
2026-06-26T13:25:56Z,PLN26,1610.9,1612.2,1,5,1610.2,1.2999999999999545
2026-06-26T13:25:56Z,PLV26,1626.4,1627.5,1,2,1627,1.099999999999909
2026-06-26T13:26:01Z,PLN26,1610.4,1611.6,2,4,1610.2,1.199999999999818
2026-06-26T13:26:01Z,PLV26,1625.9,1626.9,2,2,1626.4,1.0
2026-06-26T13:26:07Z,PLN26,1610.1,1611.2,1,1,1610.8,1.1000000000001364
2026-06-26T13:26:07Z,PLV26,1625.6,1626.6,1,2,1626.1,1.0
2026-06-26T13:26:12Z,PLN26,1610.2,1611.4,1,5,1610.8,1.2000000000000455
2026-06-26T13:26:12Z,PLV26,1625.7,1626.7,1,2,1626.1,1.0
2026-06-26T13:26:17Z,PLN26,1610.5,1611.7,1,1,1610.8,1.2000000000000455
2026-06-26T13:26:17Z,PLV26,1625.9,1627,1,1,1625.7,1.099999999999909
2026-06-26T13:26:23Z,PLN26,1610.5,1611.7,1,3,1610.8,1.2000000000000455
2026-06-26T13:26:23Z,PLV26,1626,1627.1,1,1,1625.7,1.099999999999909
2026-06-26T13:26:28Z,PLN26,1610.4,1611.5,2,3,1610.8,1.099999999999909
2026-06-26T13:26:28Z,PLV26,1625.9,1626.8,5,1,1626,0.8999999999998636
2026-06-26T13:26:33Z,PLN26,1610.4,1611.3,2,3,1610.8,0.8999999999998636
2026-06-26T13:26:33Z,PLV26,1625.9,1626.6,5,1,1626.2,0.6999999999998181
2026-06-26T13:26:39Z,PLN26,1609.2,1610.4,2,1,1610.8,1.2000000000000455
2026-06-26T13:26:39Z,PLV26,1624.7,1625.7,2,1,1625.5,1.0
2026-06-26T13:26:44Z,PLN26,1608.4,1609.6,1,1,1610.8,1.199999999999818
2026-06-26T13:26:44Z,PLV26,1623.9,1624.9,1,1,1624.7,1.0
2026-06-26T13:26:49Z,PLN26,1608.5,1609.7,2,4,1610.8,1.2000000000000455
2026-06-26T13:26:49Z,PLV26,1624,1625,2,2,1624.7,1.0
2026-06-26T13:26:55Z,PLN26,1608.7,1610.1,1,4,1610.8,1.3999999999998636
2026-06-26T13:26:55Z,PLV26,1624.2,1625.4,1,1,1624.7,1.2000000000000455
