ts_utc,thursday,mbt_sym,met_sym,mark_btc,mark_eth,n_mbt,n_met,lr_slope20_bpd,lr_slope40_bpd,action,detail,chain
2026-07-02T00:04:51.051699+00:00,2026-07-02,MBTN26,METN26,60045.0,1605.0,1,37,-60.296,-67.825,ENTERED,,704ba6c73f9f897f
2026-07-09T00:00:34.081554+00:00,2026-07-09,MBTN26,METN26,62420.0,1747.5,1,36,-0.646,-25.594,ENTERED,,60ae71490d0a150f
2026-07-16T00:04:49.620544+00:00,2026-07-16,MBTN26,METN26,64930.0,1924.5,1,34,42.934,-0.805,ENTERED,,1ffec77b0a893a27
2026-07-23T00:03:21.889906+00:00,2026-07-23,MBTN26,METN26,66125.0,1934.0,1,34,22.653,5.518,ENTERED,,b980e4d38bed2b02
2026-09-10T00:04:44.428618+00:00,2026-09-10,MBTU26,METU26,78460.0,2473.5,1,32,8.056,71.712,ENTERED,,9cf11d02c0809f28
2026-08-27T00:03:41.229000+00:00,2026-08-27,MBTU26,METU26,79315.0,2516.0,1,32,,,ENTERED,,32d111bb644117fc
2026-09-03T00:02:01.528000+00:00,2026-09-03,MBTU26,METU26,77575.0,2399.0,1,32,117.717,62.325,ENTERED,,cf35ec6519e6e4ab
