day,contract,arm,arm_hash,delay,direction,entry_event_timestamp,entry_signal_timestamp,entry_fill_timestamp,exit_event_timestamp,exit_fill_timestamp,exit_fill_time_basis,entry_signal_price,exit_signal_price,entry_fill,exit_fill,quantity,gross,costs,net,exit_reason,entry_slope,entry_r2,entry_efficiency,entry_displacement,eligible,exclusion
2021-02-24,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-02-24T14:02:00-05:00,2021-02-24T14:00:00-05:00,2021-02-24T14:01:00-05:00,2021-02-24T16:00:00-05:00,2021-02-24T16:00:00-05:00,session_close_proxy,13252.25,13294.5,13248.25,13294.5,1,92.5,2.24,90.26,EOD_CLOSE_PROXY,-0.16484983314794216,0.0564785665543462,0.0756578947368421,11.5,True,
2021-02-25,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-02-25T11:02:00-05:00,2021-02-25T11:00:00-05:00,2021-02-25T11:01:00-05:00,2021-02-25T16:00:00-05:00,2021-02-25T16:00:00-05:00,session_close_proxy,13131.5,12826.25,13121.75,12826.25,1,591.0,2.24,588.76,EOD_CLOSE_PROXY,-1.0567853170189099,0.17471563628662426,0.043568464730290454,-10.5,True,
2021-02-26,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-02-26T10:32:00-05:00,2021-02-26T10:30:00-05:00,2021-02-26T10:31:00-05:00,2021-02-26T11:37:00-05:00,,intrabar_unknown_within_event_minute,12760.75,13010.75,12774.75,13010.75,1,-472.0,2.24,-474.24,CAT_STOP,-1.4374304783092324,0.16663127821697035,0.15582592419279365,-83.25,True,
2021-02-26,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-02-26T12:02:00-05:00,2021-02-26T12:00:00-05:00,2021-02-26T12:01:00-05:00,2021-02-26T16:00:00-05:00,2021-02-26T16:00:00-05:00,session_close_proxy,13014.25,12893.75,13011.25,12893.75,1,-235.0,2.24,-237.24,EOD_CLOSE_PROXY,0.48648498331479423,0.06986632395594589,0.2926315789473684,69.5,True,
2021-03-01,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-03-01T11:02:00-05:00,2021-03-01T11:00:00-05:00,2021-03-01T11:01:00-05:00,2021-03-01T16:00:00-05:00,2021-03-01T16:00:00-05:00,session_close_proxy,13179.5,13274.5,13187.25,13274.5,1,174.5,2.24,172.26,EOD_CLOSE_PROXY,1.8205228031145717,0.8939505076248214,0.29838709677419356,37.0,True,
2021-03-02,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-03-02T10:02:00-05:00,2021-03-02T10:00:00-05:00,2021-03-02T10:01:00-05:00,2021-03-02T16:00:00-05:00,2021-03-02T16:00:00-05:00,session_close_proxy,13219.25,13058.0,13230.25,13058.0,1,344.5,2.24,342.26,EOD_CLOSE_PROXY,-2.299777530589544,0.5849913317181273,0.282,-70.5,True,
2021-03-03,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-03-03T10:02:00-05:00,2021-03-03T10:00:00-05:00,2021-03-03T10:01:00-05:00,2021-03-03T16:00:00-05:00,2021-03-03T16:00:00-05:00,session_close_proxy,12904.75,12680.25,12905.75,12680.25,1,451.0,2.24,448.76,EOD_CLOSE_PROXY,-3.4991657397107896,0.6399483637828032,0.3765867418899859,-133.5,True,
2021-03-04,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-03-04T10:02:00-05:00,2021-03-04T10:00:00-05:00,2021-03-04T10:01:00-05:00,2021-03-04T16:00:00-05:00,2021-03-04T16:00:00-05:00,session_close_proxy,12590.0,12471.5,12595.75,12471.5,1,248.5,2.24,246.26,EOD_CLOSE_PROXY,-6.1402669632925475,0.7447653155099828,0.2832369942196532,-98.0,True,
2021-03-05,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-03-05T10:02:00-05:00,2021-03-05T10:00:00-05:00,2021-03-05T10:01:00-05:00,2021-03-05T15:00:00-05:00,,intrabar_unknown_within_event_minute,12423.5,12673.5,12397.5,12673.5,1,-552.0,2.24,-554.24,CAT_STOP,-5.285761957730812,0.7990472875702593,0.2675222112537019,-135.5,True,
2021-03-08,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-03-08T10:02:00-05:00,2021-03-08T10:00:00-05:00,2021-03-08T10:01:00-05:00,2021-03-08T16:00:00-05:00,2021-03-08T16:00:00-05:00,session_close_proxy,12578.0,12300.25,12589.25,12300.25,1,578.0,2.24,575.76,EOD_CLOSE_PROXY,0.7838153503893215,0.024647330926590806,0.08641975308641975,-42.0,True,
