trade_id,day,contract,direction,entry_event_timestamp,entry_fill_timestamp,exit_event_timestamp,exit_fill_timestamp,exit_fill_time_basis,entry_fill,exit_fill,quantity,gross,costs,net,exit_reason
A-delay2-0023,2021-03-08,MNQH21,-1,2021-03-08T10:02:00-05:00,2021-03-08T10:01:00-05:00,2021-03-08T16:00:00-05:00,2021-03-08T16:00:00-05:00,session_close_proxy,12589.25,12300.25,1,578.0,2.24,575.76,EOD_CLOSE_PROXY
A-delay2-0024,2021-03-09,MNQH21,1,2021-03-09T10:02:00-05:00,2021-03-09T10:01:00-05:00,2021-03-09T16:00:00-05:00,2021-03-09T16:00:00-05:00,session_close_proxy,12704.25,12786.75,1,165.0,2.24,162.76,EOD_CLOSE_PROXY
A-delay2-0025,2021-03-11,MNQH21,1,2021-03-11T11:32:00-05:00,2021-03-11T11:31:00-05:00,2021-03-11T16:00:00-05:00,2021-03-11T16:00:00-05:00,session_close_proxy,13052.5,13046.25,1,-12.5,2.24,-14.74,EOD_CLOSE_PROXY
A-delay2-0026,2021-03-16,MNQH21,1,2021-03-16T10:02:00-04:00,2021-03-16T10:01:00-04:00,2021-03-16T16:00:00-04:00,2021-03-16T16:00:00-04:00,session_close_proxy,13232.75,13149.25,1,-167.0,2.24,-169.24,EOD_CLOSE_PROXY
A-delay2-0027,2021-03-22,MNQM21,1,2021-03-22T10:02:00-04:00,2021-03-22T10:01:00-04:00,2021-03-22T16:00:00-04:00,2021-03-22T16:00:00-04:00,session_close_proxy,13023.75,13070.75,1,94.0,2.24,91.76,EOD_CLOSE_PROXY
A-delay2-0028,2021-03-26,MNQM21,1,2021-03-26T13:32:00-04:00,2021-03-26T13:31:00-04:00,2021-03-26T16:00:00-04:00,2021-03-26T16:00:00-04:00,session_close_proxy,12866.25,12962.75,1,193.0,2.24,190.76,EOD_CLOSE_PROXY
A-delay2-0029,2021-03-29,MNQM21,-1,2021-03-29T10:02:00-04:00,2021-03-29T10:01:00-04:00,2021-03-29T16:00:00-04:00,2021-03-29T16:00:00-04:00,session_close_proxy,12842.75,12956.0,1,-226.5,2.24,-228.74,EOD_CLOSE_PROXY
A-delay2-0030,2021-03-31,MNQM21,1,2021-03-31T10:02:00-04:00,2021-03-31T10:01:00-04:00,2021-03-31T16:00:00-04:00,2021-03-31T16:00:00-04:00,session_close_proxy,13069.5,13084.75,1,30.5,2.24,28.26,EOD_CLOSE_PROXY
A-delay2-0031,2021-04-06,MNQM21,1,2021-04-06T12:02:00-04:00,2021-04-06T12:01:00-04:00,2021-04-06T16:00:00-04:00,2021-04-06T16:00:00-04:00,session_close_proxy,13649.0,13572.0,1,-154.0,2.24,-156.24,EOD_CLOSE_PROXY
A-delay2-0032,2021-04-13,MNQM21,1,2021-04-13T10:02:00-04:00,2021-04-13T10:01:00-04:00,2021-04-13T16:00:00-04:00,2021-04-13T16:00:00-04:00,session_close_proxy,13938.0,13975.25,1,74.5,2.24,72.26,EOD_CLOSE_PROXY
A-delay2-0033,2021-04-14,MNQM21,-1,2021-04-14T11:02:00-04:00,2021-04-14T11:01:00-04:00,2021-04-14T16:00:00-04:00,2021-04-14T16:00:00-04:00,session_close_proxy,13925.25,13808.5,1,233.5,2.24,231.26,EOD_CLOSE_PROXY
A-delay2-0034,2021-04-15,MNQM21,1,2021-04-15T10:32:00-04:00,2021-04-15T10:31:00-04:00,2021-04-15T16:00:00-04:00,2021-04-15T16:00:00-04:00,session_close_proxy,13991.0,14016.0,1,50.0,2.24,47.76,EOD_CLOSE_PROXY
A-delay2-0035,2021-04-16,MNQM21,-1,2021-04-16T10:02:00-04:00,2021-04-16T10:01:00-04:00,2021-04-16T16:00:00-04:00,2021-04-16T16:00:00-04:00,session_close_proxy,13959.25,14031.0,1,-143.5,2.24,-145.74,EOD_CLOSE_PROXY
A-delay2-0036,2021-04-19,MNQM21,-1,2021-04-19T12:02:00-04:00,2021-04-19T12:01:00-04:00,2021-04-19T16:00:00-04:00,2021-04-19T16:00:00-04:00,session_close_proxy,13880.5,13903.75,1,-46.5,2.24,-48.74,EOD_CLOSE_PROXY
A-delay2-0037,2021-04-20,MNQM21,-1,2021-04-20T11:02:00-04:00,2021-04-20T11:01:00-04:00,2021-04-20T16:00:00-04:00,2021-04-20T16:00:00-04:00,session_close_proxy,13807.75,13799.25,1,17.0,2.24,14.76,EOD_CLOSE_PROXY
A-delay2-0038,2021-04-21,MNQM21,1,2021-04-21T12:02:00-04:00,2021-04-21T12:01:00-04:00,2021-04-21T16:00:00-04:00,2021-04-21T16:00:00-04:00,session_close_proxy,13870.75,13918.5,1,95.5,2.24,93.26,EOD_CLOSE_PROXY
A-delay2-0039,2021-04-22,MNQM21,-1,2021-04-22T14:02:00-04:00,2021-04-22T14:01:00-04:00,2021-04-22T16:00:00-04:00,2021-04-22T16:00:00-04:00,session_close_proxy,13717.0,13750.25,1,-66.5,2.24,-68.74,EOD_CLOSE_PROXY
A-delay2-0040,2021-04-23,MNQM21,1,2021-04-23T10:02:00-04:00,2021-04-23T10:01:00-04:00,2021-04-23T16:00:00-04:00,2021-04-23T16:00:00-04:00,session_close_proxy,13825.25,13924.5,1,198.5,2.24,196.26,EOD_CLOSE_PROXY
A-delay2-0041,2021-04-26,MNQM21,1,2021-04-26T15:02:00-04:00,2021-04-26T15:01:00-04:00,2021-04-26T16:00:00-04:00,2021-04-26T16:00:00-04:00,session_close_proxy,14020.75,14013.5,1,-14.5,2.24,-16.740000000000002,EOD_CLOSE_PROXY
A-delay2-0042,2021-04-27,MNQM21,-1,2021-04-27T10:02:00-04:00,2021-04-27T10:01:00-04:00,2021-04-27T16:00:00-04:00,2021-04-27T16:00:00-04:00,session_close_proxy,13934.0,13951.0,1,-34.0,2.24,-36.24,EOD_CLOSE_PROXY
A-delay2-0043,2021-05-03,MNQM21,-1,2021-05-03T11:32:00-04:00,2021-05-03T11:31:00-04:00,2021-05-03T16:00:00-04:00,2021-05-03T16:00:00-04:00,session_close_proxy,13781.25,13790.75,1,-19.0,2.24,-21.24,EOD_CLOSE_PROXY
A-delay2-0044,2021-05-04,MNQM21,-1,2021-05-04T10:02:00-04:00,2021-05-04T10:01:00-04:00,2021-05-04T16:00:00-04:00,2021-05-04T16:00:00-04:00,session_close_proxy,13535.25,13543.25,1,-16.0,2.24,-18.24,EOD_CLOSE_PROXY
A-delay2-0045,2021-05-06,MNQM21,-1,2021-05-06T10:02:00-04:00,2021-05-06T10:01:00-04:00,2021-05-06T12:32:00-04:00,2021-05-06T12:31:00-04:00,bar_open,13434.5,13583.25,1,-297.5,2.24,-299.74,REVERSAL
A-delay2-0046,2021-05-06,MNQM21,1,2021-05-06T12:32:00-04:00,2021-05-06T12:31:00-04:00,2021-05-06T16:00:00-04:00,2021-05-06T16:00:00-04:00,session_close_proxy,13583.25,13596.5,1,26.5,2.24,24.26,EOD_CLOSE_PROXY
A-delay2-0047,2021-05-07,MNQM21,1,2021-05-07T10:32:00-04:00,2021-05-07T10:31:00-04:00,2021-05-07T16:00:00-04:00,2021-05-07T16:00:00-04:00,session_close_proxy,13779.0,13706.5,1,-145.0,2.24,-147.24,EOD_CLOSE_PROXY
