strategy,venue,day_et,configuration_era,entry_order_id,exit_order_id,entry_fill_id,exit_fill_id,direction,size,entry_timestamp_utc,exit_timestamp_utc,entry_price,exit_price,broker_gross,complete_costs,costs,broker_net,modeled_gross,signed_difference,join_method,strategy_side_size_validated,causal_decomposition_available,record_only_error,attribution_status
GAP,TradeStation_SIM,2026-07-13,pre_ledger_hardening,d284aeca6dc62d7b93b5,711a4c2dca9e137aa38b,,,1,1,,,29705.0,29516.5,-377.0,False,,,-353.0,-24.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-07-14,pre_ledger_hardening,3121b83d28e94d38f343,5c68772e7a40d83d2e10,,,-1,1,,,29807.25,29823.5,-32.5,False,,,-30.5,-2.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-07-16,pre_ledger_hardening,8e466d013bf396a36cbc,0620abc8d65f0659bb79,,,1,1,,,29466.75,29337.5,-258.5,False,,,-234.5,-24.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-07-20,pre_ledger_hardening,2ebbb68055c7df71f6e3,4f2b24c3eff4818c3f70,,,-1,1,,,29025.25,28983.5,83.5,False,,,118.0,-34.5,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-07-21,pre_ledger_hardening,fbf04a89973749cc52c7,b17f323a33e9bbcdc07e,,,-1,1,,,29210.5,29336.25,-251.5,False,,,-257.5,6.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-07-22,pre_ledger_hardening,5178b4af7b342cae79b8,a3ae1ffddbb60f66bff1,,,1,1,,,29086.25,29335.5,498.5,False,,,499.5,-1.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-07-23,pre_ledger_hardening,3d5979d0a4a0f829f7a9,f4e087710a13219dc016,,,1,1,,,28709.75,28644.5,-130.5,False,,,-195.5,65.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-07-27,pre_ledger_hardening,cd82e4f19aa92f0d02a1,3f7973cae9dc75eed8b0,,,-1,1,,,28593.25,28268.75,649.0,False,,,657.0,-8.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-07-28,pre_ledger_hardening,68b33ed02861b511407f,841d0900d2487c08ea9a,,,1,1,,,27948.0,28056.25,216.5,False,,,217.5,-1.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-07-30,pre_ledger_hardening,3e0ee12228c95677f11b,1c41c7fd55fef6649d1f,,,-1,1,,,27866.0,28126.5,-521.0,False,,,-528.0,7.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-08-04,pre_ledger_hardening,75af29d05b8f45ccbc4d,89d19bf40893dfb91235,,,-1,1,,,29226.5,29738.0,-1023.0,False,,,-1032.0,9.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-08-12,pre_ledger_hardening,97ed3c26eda7b7b47312,9ef2d6ac1b16c7512455,,,-1,1,,,29982.5,29904.5,156.0,False,,,155.5,0.5,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-08-06,pre_ledger_hardening,77d3948cd0e17e869d2f,bbfbfa10a0537fa576c0,,,1,1,,,29368.0,29667.75,599.5,False,,,646.0,-46.5,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-08-18,pre_ledger_hardening,10d83a4f570cfc704d33,b4d72a0fed9cab8e4ab4,,,1,1,,,29695.5,29655.75,-79.5,False,,,-81.0,1.5,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-08-20,pre_ledger_hardening,101adf6cca0a2558e373,56385fc78c3399d7e8d1,,,1,1,,,29357.75,29376.0,36.5,False,,,39.0,-2.5,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-08-24,ledger_hardened,f6d2a9f1fe4dbf007be6,c7167f4647774ca77f21,,,1,1,,,29231.75,29174.0,-115.5,False,,,-121.0,5.5,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-08-25,ledger_hardened,19ee3171e00c8e71b48a,b9de2a67480d737017c9,,,-1,1,,,29303.5,29267.0,73.0,False,,,82.0,-9.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-08-27,ledger_hardened,5fd7e7abb9e52cf279be,40974989dd7c68f97c6f,,,-1,1,,,29531.75,29650.0,-236.5,False,,,-235.0,-1.5,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-09-01,ledger_hardened,9f2734b77229af38d349,cb53b6106e62680bc934,,,1,1,,,29117.75,29195.25,155.0,False,,,147.0,8.0,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
GAP,TradeStation_SIM,2026-09-10,ledger_hardened,7c60d77d1234bfe96c70,3ac26f8cf0ceec46aad0,,,1,1,,,29083.75,29228.5,289.5,False,,,318.0,-28.5,exact_order_id,True,False,False,exact_fill_log_ids_gross_only
