date,daily_pnl,cumulative_pnl,drawdown
2025-05-26,-25.0,-25.0,0.0
2025-06-04,120.0,95.0,0.0
2025-06-05,105.0,200.0,0.0
2025-06-11,-16.25,183.75,16.25
2025-06-16,-75.0,108.75,91.25
2025-06-25,-42.5,66.25,133.75
2025-06-27,-3.75,62.5,137.5
2025-06-30,-42.5,20.0,180.0
2025-07-02,-25.0,-5.0,205.0
2025-07-07,65.0,60.0,140.0
2025-07-10,7.5,67.5,132.5
2025-07-14,-18.75,48.75,151.25
2025-07-16,-45.0,3.75,196.25
2025-07-23,53.75,57.5,142.5
2025-07-28,-22.5,35.0,165.0
2025-08-11,-45.0,-10.0,210.0
2025-08-13,-22.5,-32.5,232.5
2025-08-15,143.75,111.25,88.75
2025-08-20,37.5,148.75,51.25
2025-08-25,-7.5,141.25,58.75
2025-08-28,-3.75,137.5,62.5
2025-09-01,-1.25,136.25,63.75
2025-09-03,-35.0,101.25,98.75
2025-09-05,-98.75,2.5,197.5
2025-09-08,21.25,23.75,176.25
2025-09-10,-38.75,-15.0,215.0
2025-09-11,-28.75,-43.75,243.75
2025-09-19,36.25,-7.5,207.5
2025-09-24,-22.5,-30.0,230.0
2025-10-01,-30.0,-60.0,260.0
2025-10-02,-45.0,-105.0,305.0
2025-10-03,6.25,-98.75,298.75
2025-10-06,-22.5,-121.25,321.25
2025-10-15,65.0,-56.25,256.25
2025-10-22,180.0,123.75,76.25
2025-11-06,102.5,226.25,0.0
2025-11-12,-90.0,136.25,90.0
2025-11-17,210.0,346.25,0.0
2025-11-28,-42.5,303.75,42.5
2025-12-03,-25.0,278.75,67.5
2025-12-04,-65.0,213.75,132.5
2025-12-05,62.5,276.25,70.0
2025-12-08,186.25,462.5,0.0
2025-12-10,-187.5,275.0,187.5
2025-12-12,18.75,293.75,168.75
2025-12-15,102.5,396.25,66.25
2025-12-17,271.25,667.5,0.0
2025-12-19,-47.5,620.0,47.5
2025-12-26,5.0,625.0,42.5
2026-01-07,-18.75,606.25,61.25
2026-01-15,72.5,678.75,0.0
2026-01-16,-22.5,656.25,22.5
2026-01-22,-42.5,613.75,65.0
2026-01-28,232.5,846.25,0.0
2026-02-04,-40.0,806.25,40.0
2026-02-09,-47.5,758.75,87.5
2026-02-11,-35.0,723.75,122.5
2026-02-12,130.0,853.75,0.0
2026-02-16,-38.75,815.0,38.75
2026-02-20,-52.5,762.5,91.25
2026-02-26,237.5,1000.0,0.0
