timestamp,date,year_month,label,pnl,p_prod,p_frozen,p_daily,thr_daily
2025-07-03 07:20:00,2025-07-03,2025-07,0,-24.3,0.4552051748893395,0.4971055610126567,0.4971055610126567,0.5
2025-07-03 08:02:00,2025-07-03,2025-07,1,13.2,0.42499718676603954,0.43167085233602814,0.43167085233602814,0.5
2025-07-03 13:46:00,2025-07-03,2025-07,1,10.7,0.35668357039798276,0.415902911932652,0.415902911932652,0.5
2025-07-03 14:20:00,2025-07-03,2025-07,0,-21.8,0.3730873861452497,0.48070752504129516,0.48070752504129516,0.5
2025-07-03 14:36:00,2025-07-03,2025-07,1,18.2,0.4085198413815117,0.4895303936971953,0.4895303936971953,0.5
2025-07-04 07:06:00,2025-07-04,2025-07,0,-24.3,0.5001513733959136,0.49788543091886267,0.4941470442166093,0.5
2025-07-04 07:11:00,2025-07-04,2025-07,0,-9.3,0.47163574452477347,0.5083346029393012,0.5036516577118737,0.5
2025-07-04 07:31:00,2025-07-04,2025-07,1,8.2,0.5235047757125743,0.5153162897365533,0.5100864972894933,0.5
2025-07-07 13:33:00,2025-07-07,2025-07,0,-11.8,0.749212613595036,0.5701173586535738,0.5691760419911097,0.5
2025-07-07 13:36:00,2025-07-07,2025-07,1,27.45,0.5480795121666016,0.5425869100532978,0.5442696640905981,0.5
2025-07-07 18:25:00,2025-07-07,2025-07,1,60.7,0.539106378657509,0.4817051277221451,0.48719626262735,0.5
2025-07-07 19:04:00,2025-07-07,2025-07,0,-91.8,0.5261969804243891,0.4845205786625747,0.4773723129918092,0.5
2025-07-08 18:25:00,2025-07-08,2025-07,1,48.2,0.4745458892873553,0.4863636944264429,0.4857410512785127,0.55
2025-07-08 18:47:00,2025-07-08,2025-07,1,28.2,0.4385069257136107,0.49612323344127895,0.4909728451559414,0.55
2025-07-09 07:01:00,2025-07-09,2025-07,0,-29.3,0.5163333950975817,0.49561583190224395,0.49517758157741176,0.5
2025-07-09 07:31:00,2025-07-09,2025-07,1,5.7,0.5701112843792607,0.4977155887957984,0.47611273794235287,0.5
2025-07-09 07:58:00,2025-07-09,2025-07,1,45.7,0.5561387308942323,0.5017381376009247,0.49317109814963245,0.5
2025-07-09 14:07:00,2025-07-09,2025-07,1,18.2,0.4345552403483757,0.45413030408057753,0.4596816778100687,0.5
2025-07-09 14:47:00,2025-07-09,2025-07,1,50.7,0.41647800652240985,0.4958929320302465,0.5065579422781279,0.5
2025-07-09 14:54:00,2025-07-09,2025-07,1,25.7,0.42204965161165175,0.4857490455197177,0.49330917151303283,0.5
2025-07-09 18:20:00,2025-07-09,2025-07,0,-34.3,0.4429906101287531,0.4206093384980713,0.43459040702928736,0.5
2025-07-10 18:10:00,2025-07-10,2025-07,0,-21.8,0.490609548730418,0.48368958740862494,0.4773672298619222,0.5
2025-07-11 18:13:00,2025-07-11,2025-07,1,8.2,0.3069207355208247,0.4123505255293243,0.4378011448776461,0.5
2025-07-11 18:19:00,2025-07-11,2025-07,1,8.2,0.38549504812745156,0.5096719371793358,0.5166908933302523,0.5
2025-07-14 13:37:00,2025-07-14,2025-07,1,53.2,0.5068416040595715,0.4726514889576185,0.4842299962713144,0.5
2025-07-14 13:49:00,2025-07-14,2025-07,0,-222.8,0.5432370335121041,0.5208281695991696,0.5299099950181868,0.5
2025-07-14 18:10:00,2025-07-14,2025-07,1,15.7,0.436988751589455,0.41996003554972344,0.43339819029566423,0.5
2025-07-14 19:01:00,2025-07-14,2025-07,1,30.7,0.40981813947582724,0.42485440221963716,0.45793176049739287,0.5
2025-07-15 13:31:00,2025-07-15,2025-07,1,23.2,0.4650611867478807,0.4578934410987642,0.480389853319064,0.45
2025-07-15 14:26:00,2025-07-15,2025-07,1,18.2,0.43837122245552196,0.4917291934048643,0.5143190005357063,0.45
2025-07-15 14:34:00,2025-07-15,2025-07,1,20.7,0.48953868748194,0.5065244417608118,0.525298908542544,0.45
2025-07-15 14:46:00,2025-07-15,2025-07,1,45.7,0.48604736640761803,0.4819168295071367,0.5032829611806519,0.45
2025-07-16 07:14:00,2025-07-16,2025-07,0,-39.3,0.5164618811984159,0.43998750176232426,0.43147386262181603,0.45
2025-07-16 07:48:00,2025-07-16,2025-07,1,10.7,0.44904012493470746,0.4841270292078171,0.4781381125751909,0.45
2025-07-16 18:21:00,2025-07-16,2025-07,0,-16.8,0.5261006733026117,0.4752115497653217,0.4607279752847788,0.45
