date,daily_pnl,cumulative_pnl,drawdown
2025-05-21,-96.0,-96.0,0.0
2025-05-22,-134.0,-230.0,134.0
2025-05-28,232.0,2.0,0.0
2025-05-29,112.0,114.0,0.0
2025-06-04,-75.0,39.0,75.0
2025-06-05,-92.0,-53.0,167.0
2025-06-06,167.0,114.0,0.0
2025-06-11,-70.0,44.0,70.0
2025-07-16,108.0,152.0,0.0
2025-07-21,-13.0,139.0,13.0
2025-07-23,-56.0,83.0,69.0
2025-07-30,144.0,227.0,0.0
2025-08-14,64.0,291.0,0.0
2025-08-15,-34.0,257.0,34.0
2025-08-17,-46.0,211.0,80.0
2025-08-18,30.0,241.0,50.0
2025-08-20,19.0,260.0,31.0
2025-08-21,-96.0,164.0,127.0
2025-08-22,0.0,164.0,127.0
2025-08-25,-67.0,97.0,194.0
2025-08-27,-88.0,9.0,282.0
2025-08-28,-75.0,-66.0,357.0
2025-09-12,191.0,125.0,166.0
2025-09-14,-35.0,90.0,201.0
2025-09-17,49.0,139.0,152.0
2025-09-19,-76.0,63.0,228.0
2025-09-24,34.0,97.0,194.0
2025-09-26,-65.0,32.0,259.0
2025-10-02,-278.0,-246.0,537.0
2025-10-08,399.0,153.0,138.0
2025-10-16,-82.0,71.0,220.0
2025-10-24,-60.0,11.0,280.0
2025-10-29,292.0,303.0,0.0
2025-10-30,19.0,322.0,0.0
2025-10-31,14.0,336.0,0.0
2025-11-07,18.0,354.0,0.0
2025-11-19,311.0,665.0,0.0
2025-11-26,-115.0,550.0,115.0
2025-11-27,-47.0,503.0,162.0
2025-12-01,2.0,505.0,160.0
2025-12-10,10.0,515.0,150.0
2025-12-15,7.0,522.0,143.0
2025-12-18,-72.0,450.0,215.0
2025-12-28,171.0,621.0,44.0
2026-01-14,-175.0,446.0,219.0
2026-01-16,-32.0,414.0,251.0
2026-01-26,-124.0,290.0,375.0
2026-02-05,-372.0,-82.0,747.0
2026-02-16,-29.0,-111.0,776.0
2026-02-25,-40.0,-151.0,816.0
2026-02-27,-23.0,-174.0,839.0
