date,daily_pnl,cumulative_pnl,drawdown
2025-05-22,-91.0,-91.0,0.0
2025-05-26,-40.0,-131.0,40.0
2025-05-28,-162.0,-293.0,202.0
2025-06-05,751.5,458.5,0.0
2025-06-09,627.0,1085.5,0.0
2025-06-11,-310.5,775.0,310.5
2025-06-16,-56.0,719.0,366.5
2025-06-18,146.0,865.0,220.5
2025-06-20,-82.0,783.0,302.5
2025-06-25,48.0,831.0,254.5
2025-06-27,-173.0,658.0,427.5
2025-06-30,31.0,689.0,396.5
2025-07-07,-57.0,632.0,453.5
2025-07-10,-23.0,609.0,476.5
2025-07-16,-37.0,572.0,513.5
2025-07-24,-58.0,514.0,571.5
2025-07-30,-147.0,367.0,718.5
2025-08-07,48.5,415.5,670.0
2025-09-04,-82.0,333.5,752.0
2025-09-19,38.0,371.5,714.0
2025-10-02,45.0,416.5,669.0
2025-10-03,59.5,476.0,609.5
2025-10-16,-230.0,246.0,839.5
2025-11-06,249.0,495.0,590.5
2025-11-12,65.5,560.5,525.0
2025-11-17,286.0,846.5,239.0
2025-11-27,30.0,876.5,209.0
2025-12-08,250.0,1126.5,0.0
2025-12-10,-627.0,499.5,627.0
2025-12-12,35.0,534.5,592.0
2025-12-15,-146.0,388.5,738.0
2025-12-17,452.5,841.0,285.5
2025-12-19,-69.0,772.0,354.5
2025-12-24,-31.0,741.0,385.5
2026-01-02,163.0,904.0,222.5
2026-01-07,67.5,971.5,155.0
2026-01-08,-15.5,956.0,170.5
2026-01-09,-324.0,632.0,494.5
2026-01-14,452.0,1084.0,42.5
2026-01-15,161.0,1245.0,0.0
2026-01-16,291.5,1536.5,0.0
2026-01-19,62.0,1598.5,0.0
2026-01-21,-104.0,1494.5,104.0
2026-01-22,-4.0,1490.5,108.0
2026-01-23,-89.5,1401.0,197.5
2026-01-25,-236.0,1165.0,433.5
2026-01-28,36.0,1201.0,397.5
2026-01-29,315.5,1516.5,82.0
2026-02-04,124.0,1640.5,0.0
2026-02-09,-65.0,1575.5,65.0
2026-02-11,-378.0,1197.5,443.0
2026-02-13,-299.0,898.5,742.0
2026-02-18,70.0,968.5,672.0
2026-02-19,117.5,1086.0,554.5
2026-02-20,-23.0,1063.0,577.5
2026-02-26,28.5,1091.5,549.0
2026-02-27,-65.0,1026.5,614.0
