entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,split
2025-02-16 02:15:00+00:00,2025-02-16 07:15:00+00:00,long,97592.0,97427.26198290852,-26.22476480829382,19,train
2025-02-19 17:15:00+00:00,2025-02-19 18:45:00+00:00,long,96217.0,95682.86832112735,-63.00816130332181,5,train
2025-02-19 18:45:00+00:00,2025-02-20 06:00:00+00:00,long,95912.0,96851.76788034491,84.33859964047365,44,train
2025-02-20 06:00:00+00:00,2025-02-20 14:45:00+00:00,long,96936.0,97370.6632666194,33.750993498609574,34,train
2025-02-20 14:45:00+00:00,2025-02-20 15:00:00+00:00,long,97767.0,97264.37483107016,-60.01408563453721,0,train
2025-02-20 15:00:00+00:00,2025-02-21 07:45:00+00:00,long,96990.0,98257.22189308157,116.95982821350317,66,train
2025-02-21 09:00:00+00:00,2025-02-21 14:30:00+00:00,long,98260.0,98794.09861226128,43.557156295515064,21,train
2025-02-21 14:30:00+00:00,2025-02-21 15:15:00+00:00,long,99104.0,98471.32295765403,-73.14647038247945,2,train
2025-02-21 15:15:00+00:00,2025-02-21 15:30:00+00:00,long,99242.0,98262.46327050841,-107.82889611268465,0,train
2025-02-21 15:30:00+00:00,2025-02-21 18:00:00+00:00,long,98249.0,96881.54837469611,-146.50168994912372,9,train
2025-02-26 00:15:00+00:00,2025-02-26 03:00:00+00:00,short,88421.0,88960.5657596318,-62.825654251162106,10,train
2025-02-26 13:15:00+00:00,2025-02-26 14:45:00+00:00,short,87665.0,87226.05745259472,35.149701867898685,5,train
2025-02-26 14:45:00+00:00,2025-02-26 15:00:00+00:00,short,86625.0,88248.98312558209,-171.1420117144881,0,train
2025-02-26 15:00:00+00:00,2025-02-27 05:00:00+00:00,short,87533.0,85436.30244621729,201.02129025596008,55,train
2025-02-27 05:00:00+00:00,2025-02-27 06:30:00+00:00,short,85086.0,86132.36737395568,-113.19765576426613,5,train
2025-02-27 17:00:00+00:00,2025-02-27 21:45:00+00:00,short,84425.0,84173.90091479034,16.679963475226323,18,train
2025-02-27 21:45:00+00:00,2025-02-28 09:15:00+00:00,short,84103.0,80218.3078236136,380.25315224745873,45,train
2025-02-28 09:15:00+00:00,2025-02-28 13:00:00+00:00,short,79076.0,80861.71120973644,-186.56800653413126,14,train
2025-02-28 13:00:00+00:00,2025-02-28 14:30:00+00:00,short,80734.0,81986.7413027167,-133.4101673368064,5,train
2025-03-04 04:45:00+00:00,2025-03-04 14:30:00+00:00,short,83760.0,83732.38261637451,-5.612880768269797,38,train
2025-03-04 14:30:00+00:00,2025-03-04 17:15:00+00:00,short,82728.0,84350.97913888934,-170.65186284587801,10,train
2025-03-04 17:15:00+00:00,2025-03-04 18:45:00+00:00,short,83833.0,86170.46022163144,-242.2461951742254,5,train
2025-03-05 06:15:00+00:00,2025-03-05 09:00:00+00:00,short,87008.0,87843.67859200924,-92.31044313052416,10,train
