entry,exit,days,pnl
2025-09-24 00:00:00+00:00,2025-10-14 00:00:00+00:00,20,0.0075792200814267865
2025-10-24 00:00:00+00:00,2025-10-29 00:00:00+00:00,5,0.011672872679701067
2025-05-27 00:00:00+00:00,2025-06-21 00:00:00+00:00,25,-0.06153772823198313
2025-06-26 00:00:00+00:00,2025-08-15 00:00:00+00:00,50,0.12062741232249112
