timestamp,regime,model_used,direction,entry_price,exit_price,pnl_pct,outcome
2024-01-02 01:09:00,1,Generic,short,17015.75,16849.0,0.9799744354495101,win
2024-01-02 08:50:00,2,Regime 2,short,17001.75,16869.75,0.7763906656667696,win
2024-01-02 10:55:00,2,Regime 2,short,16959.75,16820.5,0.8210616312150828,win
2024-01-02 11:08:00,2,Regime 2,short,16939.75,16803.5,0.804321197184138,win
2024-01-02 11:15:00,1,Generic,short,16910.25,16793.25,0.6918880560606733,win
2024-01-02 11:25:00,1,Generic,short,16877.5,16778.0,0.5895422900311065,win
2024-01-02 11:31:00,1,Generic,short,16856.5,16767.0,0.5309524515765431,win
2024-01-02 12:39:00,1,Generic,short,16836.75,16735.5,0.6013630896699185,win
2024-01-02 13:32:00,1,Generic,long,16849.0,16778.75,-0.41693869072348505,loss
2024-01-02 14:33:00,2,Regime 2,short,16848.0,16719.0,0.7656695156695157,win
2024-01-02 14:37:00,2,Regime 2,short,16820.5,16698.25,0.7267917124936834,win
2024-01-02 14:39:00,2,Regime 2,short,16803.5,16700.0,0.6159431070907846,win
2024-01-02 14:42:00,1,Generic,short,16769.25,16717.5,0.3086005635314638,win
2024-01-02 14:48:00,1,Generic,short,16747.5,16715.5,0.1910732945215704,win
2024-01-02 14:58:00,2,Regime 2,long,16747.75,16766.75,0.11344807511456763,win
2024-01-02 15:00:00,1,Generic,long,16779.75,16765.25,-0.08641368315976103,loss
2024-01-02 15:15:00,2,Regime 2,short,16740.75,16760.25,-0.11648223645894001,loss
2024-01-02 15:25:00,2,Regime 2,short,16727.75,16784.0,-0.3362675793217857,loss
2024-01-02 15:47:00,2,Regime 2,short,16690.25,16722.5,-0.19322658438309792,loss
2024-01-02 15:59:00,2,Regime 2,long,16715.5,16735.5,0.11964942717836739,win
2024-01-02 16:10:00,0,Regime 0,long,16752.75,16705.5,-0.2820432466311501,loss
2024-01-02 16:26:00,0,Regime 0,long,16766.75,16678.0,-0.5293214248438128,loss
2024-01-02 17:15:00,0,Regime 0,short,16760.25,16663.25,0.5787503169702123,win
2024-01-02 17:42:00,0,Regime 0,short,16765.75,16643.75,0.7276739781996033,win
2024-01-02 19:11:00,2,Regime 2,long,16696.5,16704.75,0.04941155331955799,win
2024-01-02 20:00:00,2,Regime 2,short,16646.0,16647.5,-0.009011173855580921,loss
2024-01-02 20:04:00,2,Regime 2,short,16628.5,16652.25,-0.14282707399945876,loss
2024-01-02 20:47:00,0,Regime 0,long,16691.5,16614.0,-0.46430818081059216,loss
2024-01-02 20:57:00,1,Generic,long,16723.75,16634.0,-0.5366619328798864,loss
2024-01-03 08:34:00,2,Regime 2,short,16687.0,16611.25,0.45394618565350275,win
2024-01-03 09:38:00,2,Regime 2,short,16647.5,16615.5,0.1922210542123442,win
2024-01-03 13:15:00,2,Regime 2,long,16634.0,16621.25,-0.0766502344595407,loss
2024-01-03 13:52:00,2,Regime 2,short,16619.75,16569.75,0.30084688397839915,win
2024-01-03 14:33:00,2,Regime 2,short,16593.25,16580.0,0.07985174694529401,win
2024-01-03 14:36:00,0,Regime 0,long,16630.0,16555.0,-0.4509921828021648,loss
2024-01-03 14:55:00,2,Regime 2,short,16607.0,16612.75,-0.0346239537544409,loss
2024-01-03 15:00:00,0,Regime 0,long,16634.0,16596.0,-0.22844775760490563,loss
2024-01-03 15:02:00,2,Regime 2,short,16603.25,16594.75,0.05119479619953924,win
2024-01-03 15:03:00,0,Regime 0,long,16640.0,16601.25,-0.23287259615384615,loss
2024-01-03 15:07:00,0,Regime 0,short,16621.25,16594.5,0.16093855756937656,win
2024-01-03 15:12:00,2,Regime 2,short,16573.25,16594.0,-0.12520175584149157,loss
2024-01-03 15:36:00,2,Regime 2,short,16555.0,16563.25,-0.04983388704318936,loss
2024-01-03 15:56:00,0,Regime 0,long,16590.75,16602.5,0.07082259692901165,win
2024-01-03 16:00:00,0,Regime 0,long,16611.5,16603.5,-0.048159407639286035,loss
2024-01-03 16:37:00,2,Regime 2,short,16572.5,16572.25,0.001508523155830442,win
2024-01-03 19:06:00,2,Regime 2,short,16536.25,16550.5,-0.0861743140071056,loss
2024-01-03 19:07:00,2,Regime 2,long,16560.25,16531.0,-0.1766277683005993,loss
2024-01-03 19:13:00,2,Regime 2,short,16558.0,16540.5,0.10568909288561419,win
2024-01-03 19:26:00,1,Generic,long,16609.5,16556.5,-0.3190944941148138,loss
2024-01-03 19:33:00,0,Regime 0,short,16602.75,16543.0,0.359880140338197,win
2024-01-03 19:42:00,0,Regime 0,long,16623.0,16574.0,-0.2947723034349997,loss
2024-01-03 20:04:00,2,Regime 2,short,16567.0,16569.5,-0.015090239633005372,loss
2024-01-03 20:41:00,2,Regime 2,short,16546.0,16523.0,0.13900640638220718,win
2024-01-03 20:50:00,2,Regime 2,short,16531.0,16507.75,0.14064484907144154,win
2024-01-03 20:55:00,2,Regime 2,long,16546.25,16498.0,-0.29160685956032334,loss
2024-01-04 06:17:00,0,Regime 0,long,16567.25,16466.5,-0.6081274804207095,loss
2024-01-04 09:05:00,0,Regime 0,long,16569.0,16477.75,-0.5507272617538778,loss
2024-01-04 11:13:00,2,Regime 2,short,16542.75,16460.25,0.49870789318583675,win
2024-01-04 12:00:00,2,Regime 2,short,16514.0,16485.75,0.1710669734770498,win
2024-01-04 13:28:00,2,Regime 2,short,16474.5,16505.0,-0.1851346019606058,loss
2024-01-04 13:39:00,2,Regime 2,short,16458.0,16521.5,-0.38583059910074124,loss
2024-01-04 14:52:00,0,Regime 0,long,16485.75,16579.25,0.5671564836298015,win
2024-01-04 14:56:00,2,Regime 2,short,16466.5,16578.0,-0.6771323596392675,loss
2024-01-04 15:02:00,0,Regime 0,long,16491.25,16562.0,0.4290153869476237,win
2024-01-04 15:07:00,0,Regime 0,long,16506.75,16548.25,0.2514123010283672,win
2024-01-04 16:31:00,0,Regime 0,short,16548.0,16482.75,0.39430746918056564,win
2024-01-04 16:52:00,2,Regime 2,short,16518.25,16469.25,0.2966415933891302,win
2024-01-04 19:47:00,2,Regime 2,long,16490.5,16416.0,-0.45177526454625394,loss
2024-01-04 20:05:00,0,Regime 0,long,16505.25,16384.5,-0.7315854046439769,loss
2024-01-04 20:15:00,2,Regime 2,short,16478.5,16382.0,0.5856115544497376,win
2024-01-04 21:16:00,2,Regime 2,long,16462.5,16355.5,-0.6499620349278663,loss
2024-01-05 08:06:00,2,Regime 2,long,16433.0,16420.0,-0.07910910971824986,loss
2024-01-05 08:27:00,2,Regime 2,short,16415.25,16428.25,-0.0791946513150881,loss
2024-01-05 08:51:00,2,Regime 2,short,16393.5,16434.0,-0.24704913532802636,loss
2024-01-05 09:07:00,2,Regime 2,long,16416.0,16456.25,0.24518762183235865,win
2024-01-05 09:24:00,2,Regime 2,short,16398.25,16462.5,-0.39181010168768005,loss
2024-01-05 13:06:00,0,Regime 0,long,16409.75,16489.75,0.4875150444095736,win
2024-01-05 13:27:00,2,Regime 2,short,16363.25,16469.75,-0.6508487005943195,loss
2024-01-05 13:32:00,2,Regime 2,short,16337.0,16499.75,-0.9962049335863378,loss
2024-01-05 13:33:00,2,Regime 2,long,16368.75,16513.0,0.8812523864070255,win
2024-01-05 13:52:00,0,Regime 0,long,16398.5,16547.5,0.9086196908253803,win
2024-01-05 13:57:00,0,Regime 0,long,16413.5,16521.75,0.6595180796295732,win
2024-01-05 14:27:00,1,Generic,long,16456.25,16549.5,0.5666540068363084,win
2024-01-05 14:34:00,1,Generic,long,16486.0,16563.0,0.467062962513648,win
2024-01-05 14:40:00,0,Regime 0,short,16463.75,16553.75,-0.5466555310910334,loss
