entry_time,exit_time,dir,reason,pnl_pts,proba
2025-01-01 16:45:00+00:00,2025-01-01 19:45:00+00:00,0,SL,-549.3000000000029,0.6684998046064936
2025-01-05 15:15:00+00:00,2025-01-05 20:15:00+00:00,1,TP,695.0,0.691947927236108
2025-01-08 18:15:00+00:00,2025-01-09 08:00:00+00:00,1,SL,-1310.5,0.8376717763381274
2025-01-10 16:00:00+00:00,2025-01-11 07:00:00+00:00,1,TIME_STOP,588.0,0.8750624825088488
2025-01-11 15:00:00+00:00,2025-01-11 15:45:00+00:00,1,SL,-230.39999999999418,0.809950252061951
2025-01-13 13:30:00+00:00,2025-01-13 14:30:00+00:00,1,SL,-998.5,0.8204642208812395
2025-01-15 21:00:00+00:00,2025-01-15 23:45:00+00:00,0,SL,-765.6000000000058,0.6356252451617096
2025-01-17 18:00:00+00:00,2025-01-17 19:00:00+00:00,0,SL,-1043.8999999999942,0.9305973365890166
2025-01-17 21:00:00+00:00,2025-01-18 04:15:00+00:00,0,TP,2033.0,0.64368116323865
2025-01-18 15:00:00+00:00,2025-01-18 15:30:00+00:00,0,SL,-736.8000000000029,0.9419902411019528
2025-01-18 16:30:00+00:00,2025-01-19 02:00:00+00:00,0,SL,-803.5,0.6573545710079439
2025-01-21 15:00:00+00:00,2025-01-21 16:00:00+00:00,0,SL,-1134.0,0.8821958298229464
2025-01-22 17:30:00+00:00,2025-01-23 00:15:00+00:00,1,SL,-1222.300000000003,0.8354128535586512
2025-01-23 15:30:00+00:00,2025-01-23 16:00:00+00:00,0,SL,-1593.699999999997,0.9783583539121783
2025-01-23 17:15:00+00:00,2025-01-24 08:15:00+00:00,0,TIME_STOP,-792.0,0.9425184701652616
2025-01-24 10:00:00+00:00,2025-01-24 13:00:00+00:00,0,SL,-635.1999999999971,0.7144881332047591
2025-01-24 15:00:00+00:00,2025-01-24 20:30:00+00:00,1,SL,-734.5,0.8861640944757191
2025-01-28 08:00:00+00:00,2025-01-28 15:30:00+00:00,0,SL,-648.3000000000029,0.7768218576819832
2025-01-29 20:00:00+00:00,2025-01-30 11:00:00+00:00,1,TIME_STOP,1577.0,0.7923567422248761
2025-01-30 15:00:00+00:00,2025-01-30 17:00:00+00:00,1,SL,-573.8999999999942,0.7649144840848471
2025-02-03 15:00:00+00:00,2025-02-03 15:30:00+00:00,1,TP,2408.399999999994,0.885382909276135
2025-02-04 15:30:00+00:00,2025-02-04 19:15:00+00:00,0,SL,-1055.3999999999942,0.6424146755005432
2025-02-07 15:30:00+00:00,2025-02-07 20:00:00+00:00,0,TP,2042.3999999999942,0.7335976569467513
2025-02-22 09:30:00+00:00,2025-02-22 12:45:00+00:00,1,TP,480.1999999999971,0.8499244684197773
2025-02-26 15:15:00+00:00,2025-02-26 16:00:00+00:00,1,SL,-1064.6000000000058,0.9008755992970362
2025-02-28 09:45:00+00:00,2025-02-28 15:00:00+00:00,1,TP,2908.800000000003,0.9040942959772714
2025-03-01 23:30:00+00:00,2025-03-02 00:00:00+00:00,0,SL,-508.0,0.647373413869282
2025-03-02 15:45:00+00:00,2025-03-02 16:30:00+00:00,1,TP,1839.6000000000058,0.8215043839586609
2025-03-03 15:00:00+00:00,2025-03-03 15:15:00+00:00,0,SL,-1338.0,0.840443655586054
2025-03-04 15:30:00+00:00,2025-03-04 17:00:00+00:00,0,SL,-1584.199999999997,0.8886988625402295
2025-03-04 21:15:00+00:00,2025-03-05 10:15:00+00:00,0,SL,-1722.3999999999942,0.6367707372670226
2025-03-07 15:45:00+00:00,2025-03-07 21:00:00+00:00,0,TP,2960.0,0.8836387470079401
2025-03-10 09:30:00+00:00,2025-03-10 09:45:00+00:00,1,SL,-918.1999999999971,0.8642927974600264
2025-03-17 07:15:00+00:00,2025-03-17 13:00:00+00:00,1,SL,-480.6999999999971,0.8735809554967388
2025-03-22 09:30:00+00:00,2025-03-22 13:15:00+00:00,1,SL,-181.1999999999971,0.8129958011725484
2025-03-30 04:00:00+00:00,2025-03-30 09:30:00+00:00,0,SL,-372.6999999999971,0.7457608036214304
2025-03-31 10:45:00+00:00,2025-03-31 12:45:00+00:00,1,TP,981.8000000000029,0.6981700208086393
2025-04-03 14:00:00+00:00,2025-04-03 14:45:00+00:00,1,SL,-641.3000000000029,0.6304716561522479
2025-04-10 14:45:00+00:00,2025-04-10 15:00:00+00:00,1,SL,-852.8000000000029,0.919570376758395
2025-04-11 01:45:00+00:00,2025-04-11 02:15:00+00:00,1,TP,996.1999999999971,0.6845878433427061
2025-04-11 14:30:00+00:00,2025-04-11 14:45:00+00:00,0,SL,-900.5,0.7158839336828164
2025-04-16 08:45:00+00:00,2025-04-16 15:15:00+00:00,1,TP,976.6000000000058,0.8055413632528732
2025-04-16 18:00:00+00:00,2025-04-16 18:15:00+00:00,0,SL,-908.6000000000058,0.8077321596447575
2025-04-23 16:15:00+00:00,2025-04-24 07:15:00+00:00,1,TIME_STOP,-770.0,0.7927633506853973
2025-04-27 22:30:00+00:00,2025-04-28 01:00:00+00:00,0,TP,637.3999999999942,0.7301531730027072
2025-05-02 00:15:00+00:00,2025-05-02 14:30:00+00:00,1,TP,945.8000000000029,0.6507035637945716
2025-05-04 02:15:00+00:00,2025-05-04 02:30:00+00:00,1,SL,-367.3999999999942,0.8152858063091297
2025-05-04 22:30:00+00:00,2025-05-04 23:00:00+00:00,0,TP,548.3999999999942,0.6712759388729911
2025-05-05 20:00:00+00:00,2025-05-05 22:00:00+00:00,0,SL,-487.8000000000029,0.9243498264810711
2025-05-08 11:30:00+00:00,2025-05-08 15:15:00+00:00,0,SL,-359.1000000000058,0.7354303407769761
2025-05-16 16:45:00+00:00,2025-05-17 01:45:00+00:00,0,TP,1304.199999999997,0.6936390043039106
2025-05-17 14:30:00+00:00,2025-05-18 05:30:00+00:00,1,TIME_STOP,466.0,0.6804735057088618
2025-05-24 05:30:00+00:00,2025-05-24 10:30:00+00:00,0,SL,-497.8999999999942,0.7728821969633679
2025-05-25 01:45:00+00:00,2025-05-25 08:45:00+00:00,1,SL,-738.8999999999942,0.7621809173587683
2025-05-28 11:00:00+00:00,2025-05-28 13:45:00+00:00,1,SL,-507.3000000000029,0.7313913750391065
2025-05-29 15:15:00+00:00,2025-05-29 16:00:00+00:00,1,SL,-716.3000000000029,0.8099553575748273
2025-06-08 11:00:00+00:00,2025-06-08 13:30:00+00:00,1,TP,489.0,0.8985201277741354
2025-06-13 09:00:00+00:00,2025-06-13 15:00:00+00:00,0,SL,-703.1000000000058,0.9178424435747364
2025-06-13 15:15:00+00:00,2025-06-13 18:30:00+00:00,1,SL,-753.1000000000058,0.8846280361709137
2025-06-14 01:30:00+00:00,2025-06-14 16:30:00+00:00,0,TP,966.1999999999971,0.7391523392712994
