date,daily_pnl,cumulative_pnl,drawdown
2025-05-23,-42.5,-42.5,0.0
2025-06-04,13.75,-28.75,0.0
2025-06-05,10.0,-18.75,0.0
2025-06-06,151.25,132.5,0.0
2025-06-09,-5.0,127.5,5.0
2025-06-11,115.0,242.5,0.0
2025-06-12,-2.5,240.0,2.5
2025-06-13,-35.0,205.0,37.5
2025-06-18,21.25,226.25,16.25
2025-06-19,-27.5,198.75,43.75
2025-06-25,-66.25,132.5,110.0
2025-06-26,-32.5,100.0,142.5
2025-06-27,25.0,125.0,117.5
2025-07-17,-22.5,102.5,140.0
2025-07-18,58.75,161.25,81.25
2025-07-20,0.0,161.25,81.25
2025-07-21,141.25,302.5,0.0
2025-07-27,12.5,315.0,0.0
2025-07-30,67.5,382.5,0.0
2025-08-04,23.75,406.25,0.0
2025-08-06,-17.5,388.75,17.5
2025-08-07,7.5,396.25,10.0
2025-08-08,-20.0,376.25,30.0
2025-08-18,1.25,377.5,28.75
2025-08-21,18.75,396.25,10.0
2025-08-22,-18.75,377.5,28.75
2025-08-24,-17.5,360.0,46.25
2025-09-01,-62.5,297.5,108.75
2025-09-04,-31.25,266.25,140.0
2025-09-21,-6.25,260.0,146.25
2025-09-22,-18.75,241.25,165.0
2025-09-24,17.5,258.75,147.5
2025-10-01,-65.0,193.75,212.5
2025-10-02,-40.0,153.75,252.5
2025-10-08,38.75,192.5,213.75
2025-10-13,165.0,357.5,48.75
2025-10-15,17.5,375.0,31.25
2025-10-16,6.25,381.25,25.0
2025-10-19,-55.0,326.25,80.0
2025-10-24,-42.5,283.75,122.5
2025-10-27,2.5,286.25,120.0
2025-11-03,8.75,295.0,111.25
2025-11-12,18.75,313.75,92.5
2025-11-13,-20.0,293.75,112.5
2025-11-19,72.5,366.25,40.0
2025-11-20,-25.0,341.25,65.0
2025-12-17,37.5,378.75,27.5
2025-12-18,96.25,475.0,0.0
2025-12-22,63.75,538.75,0.0
2026-01-02,26.25,565.0,0.0
2026-01-07,-6.25,558.75,6.25
2026-01-08,-55.0,503.75,61.25
2026-01-14,45.0,548.75,16.25
2026-01-19,-17.5,531.25,33.75
2026-01-21,1.25,532.5,32.5
2026-02-04,123.75,656.25,0.0
2026-02-09,-50.0,606.25,50.0
2026-02-11,-56.25,550.0,106.25
2026-02-12,73.75,623.75,32.5
2026-02-16,35.0,658.75,0.0
2026-02-19,-26.25,632.5,26.25
2026-02-23,45.0,677.5,0.0
2026-02-25,-47.5,630.0,47.5
