day,dir,reason,pnl_pts,entry_t,exit_t
2025-01-24,-1,EOD,-40.5,14:01,16:00
2025-01-28,1,EOD,109.0,10:31,16:00
2025-01-29,-1,EOD,-130.0,14:31,16:00
2025-01-31,1,CAT_STOP,-250.0,10:01,14:45
2025-02-04,1,EOD,109.5,10:01,16:00
2025-02-07,-1,EOD,156.25,10:31,16:00
2025-02-13,1,EOD,71.0,11:01,16:00
2025-02-20,-1,EOD,-134.25,10:01,16:00
2025-02-21,-1,EOD,323.0,10:31,16:00
2025-02-24,-1,EOD,147.0,10:01,16:00
2025-02-25,-1,EOD,111.75,10:01,16:00
2025-02-26,1,CAT_STOP,-250.0,11:31,13:56
2025-02-27,-1,EOD,398.75,10:01,16:00
2025-02-28,1,CAT_STOP,-250.0,10:31,13:17
2025-03-06,-1,EOD,61.5,12:32,16:00
2025-03-13,-1,EOD,117.0,10:01,16:00
2025-03-14,1,EOD,27.25,12:03,16:00
2025-03-17,1,EOD,-88.75,14:31,16:00
2025-03-18,-1,EOD,-33.0,10:01,16:00
2025-03-19,1,EOD,47.5,12:31,16:00
2025-03-26,-1,EOD,204.0,10:01,16:00
2025-03-28,-1,EOD,177.75,10:31,16:00
2025-04-01,1,EOD,10.0,12:01,16:00
2025-04-02,1,EOD,-22.5,12:31,16:00
2025-04-03,-1,EOD,80.0,11:01,16:00
2025-04-04,-1,EOD,380.0,10:31,16:00
2025-04-07,1,CAT_STOP,-250.0,14:01,14:56
2025-04-08,1,CAT_STOP,-250.0,10:01,11:19
2025-04-08,-1,EOD,32.0,15:31,16:00
2025-04-09,1,EOD,1824.5,10:01,16:00
2025-04-10,-1,EOD,176.5,10:01,16:00
2025-04-21,-1,EOD,72.5,10:01,16:00
2025-04-22,1,EOD,39.0,11:01,16:00
2025-04-24,1,EOD,266.75,10:01,16:00
2025-04-28,-1,CAT_STOP,-250.0,11:31,15:53
2025-04-30,-1,CAT_STOP,-250.0,10:01,11:01
2025-05-08,1,EOD,-178.5,13:01,16:00
2025-05-13,1,EOD,145.25,10:01,16:00
2025-05-21,-1,EOD,-51.25,15:31,16:00
2025-05-22,1,EOD,-102.75,10:01,16:00
2025-05-27,1,EOD,96.25,10:31,16:00
2025-05-30,-1,EOD,-110.75,10:01,16:00
2025-06-16,1,EOD,24.5,10:01,16:00
2025-06-17,-1,EOD,-20.0,14:31,16:00
2025-06-20,-1,EOD,-24.75,11:01,16:00
2025-06-23,1,EOD,88.25,10:31,16:00
2025-06-24,1,EOD,-20.5,15:01,16:00
2025-07-01,-1,EOD,-5.0,11:01,16:00
2025-07-02,1,EOD,53.75,10:31,16:00
2025-07-09,1,EOD,-34.25,10:01,16:00
2025-07-10,-1,EOD,-54.0,10:01,16:00
2025-07-14,1,EOD,-16.25,13:31,16:00
2025-07-16,-1,EOD,-106.25,10:01,16:00
2025-07-17,1,EOD,103.5,10:31,16:00
2025-07-18,-1,EOD,-32.5,10:31,16:00
2025-07-21,1,EOD,-32.0,10:01,16:00
2025-07-22,-1,EOD,-80.25,10:01,16:00
2025-07-25,1,EOD,-41.0,12:31,16:00
2025-07-31,-1,EOD,34.5,14:01,16:00
2025-08-01,-1,EOD,-10.5,10:01,16:00
2025-08-04,1,EOD,50.25,10:01,16:00
2025-08-05,-1,EOD,47.0,11:01,16:00
2025-08-06,1,EOD,142.5,11:01,16:00
2025-08-08,1,EOD,70.0,10:01,16:00
2025-08-12,1,EOD,100.5,11:31,16:00
2025-08-15,-1,EOD,-2.25,10:01,16:00
2025-08-19,-1,EOD,206.5,10:01,16:00
2025-08-20,-1,EOD,-151.0,10:01,16:00
2025-08-22,1,EOD,10.75,10:31,16:00
2025-08-28,1,EOD,11.75,12:31,16:00
2025-09-15,1,EOD,50.5,10:01,16:00
2025-09-17,-1,EOD,-62.75,11:31,16:00
2025-09-18,1,EOD,-87.75,10:31,16:00
2025-09-22,1,EOD,26.25,12:31,16:00
2025-09-23,-1,EOD,110.0,10:01,16:00
2025-09-24,-1,EOD,-60.0,12:01,16:00
2025-09-25,-1,EOD,-179.25,10:01,16:00
2025-09-26,1,EOD,19.5,10:01,16:00
2025-09-29,1,EOD,-104.75,10:01,16:00
2025-10-01,1,EOD,27.5,13:31,16:00
2025-10-03,-1,EOD,-22.5,14:01,16:00
2025-10-07,-1,EOD,30.0,11:31,16:00
2025-10-08,1,EOD,155.25,10:01,16:00
2025-10-09,-1,EOD,-43.0,10:31,16:00
2025-10-10,-1,EOD,791.5,11:01,16:00
2025-10-13,1,EOD,34.0,10:01,16:00
2025-10-14,-1,CAT_STOP,-250.0,10:01,11:54
2025-10-15,1,CAT_STOP,-250.0,10:31,13:01
2025-10-16,-1,EOD,-133.75,14:31,16:00
2025-10-17,1,EOD,79.25,10:31,16:00
2025-10-20,1,EOD,78.25,10:01,16:00
2025-10-21,-1,EOD,-56.25,10:01,16:00
2025-10-22,-1,EOD,85.5,10:31,16:00
2025-10-23,1,EOD,91.75,10:01,16:00
2025-10-30,-1,EOD,148.0,10:31,16:00
2025-11-05,1,EOD,54.5,10:01,16:00
2025-11-06,-1,EOD,254.75,10:01,16:00
2025-11-07,-1,EOD,-158.0,10:01,16:00
2025-11-10,1,EOD,76.0,10:01,16:00
2025-11-13,-1,EOD,282.0,10:01,16:00
2025-11-14,1,EOD,-135.75,11:31,16:00
2025-11-17,-1,EOD,-131.0,15:01,16:00
2025-11-18,-1,CAT_STOP,-250.0,10:01,12:59
2025-11-19,1,CAT_STOP,-250.0,10:01,12:05
2025-11-20,-1,EOD,311.5,12:31,16:00
2025-11-21,1,EOD,-164.0,14:01,16:00
2025-11-24,1,EOD,252.0,10:01,16:00
2025-12-05,1,CAT_STOP,-250.0,10:37,11:45
2025-12-08,-1,EOD,-73.5,14:43,16:00
2025-12-11,-1,CAT_STOP,-250.0,10:01,13:41
2025-12-12,-1,EOD,110.25,10:31,16:00
2025-12-17,-1,EOD,166.0,11:01,16:00
2025-12-19,1,EOD,21.75,10:01,16:00
2025-12-31,-1,EOD,23.0,15:31,16:00
2026-02-02,1,EOD,-5.5,10:31,16:00
2026-02-03,-1,EOD,170.0,10:01,16:00
2026-02-04,-1,EOD,190.75,10:01,16:00
2026-02-05,-1,CAT_STOP,-250.0,10:31,11:55
2026-02-06,1,EOD,325.0,10:01,16:00
2026-02-09,1,EOD,26.75,11:01,16:00
2026-02-12,-1,EOD,253.5,11:01,16:00
2026-02-17,-1,CAT_STOP,-250.0,10:01,11:11
2026-02-18,1,EOD,5.75,10:01,16:00
2026-02-20,1,EOD,-48.5,11:01,16:00
2026-02-23,-1,EOD,-14.0,11:01,16:00
2026-02-24,1,EOD,12.5,10:31,16:00
2026-02-25,1,EOD,41.75,10:01,16:00
2026-02-26,-1,EOD,109.0,10:01,16:00
2026-03-05,1,CAT_STOP,-250.0,10:01,10:32
2026-03-09,1,EOD,39.0,15:31,16:00
2026-03-10,1,CAT_STOP,-250.0,13:31,15:37
2026-03-12,-1,EOD,94.5,10:01,16:00
2026-03-18,-1,EOD,91.5,15:01,16:00
2026-03-20,-1,EOD,171.25,10:01,16:00
2026-03-23,1,CAT_STOP,-250.0,10:01,12:26
2026-03-26,-1,EOD,221.25,12:31,16:00
2026-03-27,-1,EOD,175.0,10:01,16:00
2026-03-30,-1,EOD,19.25,14:31,16:00
2026-03-31,1,EOD,332.75,10:01,16:00
2026-04-01,1,EOD,-60.75,11:01,16:00
2026-04-06,1,EOD,-54.25,10:01,16:00
2026-04-07,-1,CAT_STOP,-250.0,10:01,16:00
2026-04-14,1,EOD,197.5,10:31,16:00
2026-04-15,1,EOD,172.25,11:31,16:00
2026-04-17,1,EOD,-15.25,11:31,16:00
2026-04-20,-1,EOD,-107.25,11:01,16:00
2026-04-22,1,EOD,91.0,10:31,16:00
2026-04-23,-1,EOD,-47.0,14:01,16:00
2026-04-24,1,EOD,108.0,11:31,16:00
2026-04-28,-1,EOD,-123.0,11:31,16:00
2026-04-29,1,EOD,33.5,11:01,16:00
2026-04-30,-1,CAT_STOP,-250.0,10:01,13:31
2026-05-01,1,EOD,-46.25,10:01,16:00
2026-05-04,-1,EOD,-74.75,13:01,16:00
2026-05-05,1,EOD,47.75,10:01,16:00
2026-05-06,1,EOD,241.25,10:01,16:00
2026-05-07,1,CAT_STOP,-250.0,10:31,13:20
2026-05-08,1,EOD,228.75,10:01,16:00
2026-05-12,-1,EOD,-44.0,10:01,16:00
2026-05-13,1,EOD,39.75,12:31,16:00
2026-05-14,1,EOD,65.0,10:31,16:00
2026-05-15,-1,CAT_STOP,-250.0,10:01,13:24
2026-05-18,-1,EOD,-16.75,11:01,16:00
2026-05-19,-1,CAT_STOP,-250.0,10:31,12:39
