date,daily_pnl,cumulative_pnl
2025-05-22,-352.75,-352.75
2025-05-28,-126.75,-479.5
2025-05-30,-954.0,-1433.5
2025-06-18,-46.75,-1480.25
2025-06-25,281.75,-1198.5
2025-06-26,-928.25,-2126.75
2025-06-27,-908.0,-3034.75
2025-06-30,163.25,-2871.5
2025-07-02,-172.75,-3044.25
2025-07-07,159.75,-2884.5
2025-07-14,-646.5,-3531.0
2025-07-16,-104.0,-3635.0
2025-07-23,106.75,-3528.25
2025-07-24,-294.0,-3822.25
2025-07-30,-1258.5,-5080.75
2025-08-07,546.0,-4534.75
2025-08-14,673.25,-3861.5
2025-08-22,-1129.0,-4990.5
2025-08-27,-342.75,-5333.25
2025-09-15,346.0,-4987.25
2025-09-17,-29.0,-5016.25
2025-09-19,134.75,-4881.5
2025-09-25,-755.75,-5637.25
2025-10-02,283.5,-5353.75
2025-10-03,247.25,-5106.5
2025-10-10,695.75,-4410.75
2025-10-15,-940.5,-5351.25
2025-10-16,224.5,-5126.75
2025-10-17,407.25,-4719.5
2025-10-24,403.5,-4316.0
2025-10-31,-652.75,-4968.75
2025-11-03,-367.75,-5336.5
2025-11-06,2482.0,-2854.5
2025-11-10,191.0,-2663.5
2025-11-17,1136.0,-1527.5
2025-11-26,-666.5,-2194.0
2025-12-17,1181.0,-1013.0
2025-12-18,-605.25,-1618.25
2025-12-19,-866.5,-2484.75
2025-12-24,-391.5,-2876.25
2025-12-26,30.75,-2845.5
2026-01-05,-646.5,-3492.0
2026-01-07,321.0,-3171.0
2026-01-08,849.5,-2321.5
2026-01-09,-941.5,-3263.0
2026-01-12,-539.0,-3802.0
2026-01-15,-48.0,-3850.0
2026-01-16,593.25,-3256.75
2026-01-19,-876.5,-4133.25
2026-01-21,-1304.0,-5437.25
2026-01-22,133.25,-5304.0
2026-01-23,-1074.25,-6378.25
2026-01-26,-979.0,-7357.25
2026-01-28,925.75,-6431.5
2026-01-30,-504.25,-6935.75
2026-02-02,-359.0,-7294.75
2026-02-04,1796.0,-5498.75
2026-02-09,-501.5,-6000.25
2026-02-11,1091.0,-4909.25
2026-02-12,-141.75,-5051.0
2026-02-13,1466.0,-3585.0
2026-02-18,-929.0,-4514.0
2026-02-19,36.75,-4477.25
2026-02-20,1438.5,-3038.75
2026-02-23,1301.0,-1737.75
2026-02-25,-804.0,-2541.75
2026-02-26,-251.5,-2793.25
2026-03-06,-1454.0,-4247.25
2026-03-11,-1379.25,-5626.5
2026-03-18,1867.0,-3759.5
2026-03-25,377.25,-3382.25
2026-04-01,816.0,-2566.25
2026-04-05,-499.0,-3065.25
2026-04-06,755.75,-2309.5
2026-04-09,-766.5,-3076.0
2026-04-16,1076.0,-2000.0
2026-04-22,-1179.0,-3179.0
2026-04-23,-1141.5,-4320.5
2026-04-27,-766.5,-5087.0
2026-04-29,-1446.75,-6533.75
2026-05-01,477.0,-6056.75
2026-05-04,163.5,-5893.25
2026-05-07,1125.5,-4767.75
2026-05-11,-755.25,-5523.0
2026-05-14,202.25,-5320.75
