entry_time,direction,entry,stop,target,pnl,exit_reason,quality_score,killzone_window,fvg_size,date
2025-01-01 23:41:00+00:00,bearish,21259.75,21314.875,21149.5,2205.0,target,77.15741740550644,,360.0,2025-01-01
2025-01-01 23:43:00+00:00,bearish,21264.0,21312.75,21166.5,1950.0,target,69.40741740550644,,170.0,2025-01-01
2025-01-10 06:01:00+00:00,bearish,21298.875,21300.5625,21295.5,67.5,target,60.24487845178827,,75.0,2025-01-10
2025-01-14 13:34:00+00:00,bullish,21121.0,20977.0,21409.0,-2880.0,stop,80.31412060778734,,720.0,2025-01-14
2025-01-14 13:36:00+00:00,bullish,21101.375,20986.8125,21330.5,-2291.25,stop,76.31412060778734,,1035.0,2025-01-14
2025-01-14 13:37:00+00:00,bullish,21094.5,20990.25,21303.0,-2085.0,stop,74.31412060778734,,1270.0,2025-01-14
2025-01-14 13:38:00+00:00,bullish,21083.0,20996.0,21257.0,-1740.0,stop,72.31412060778734,,950.0,2025-01-14
2025-01-17 14:34:00+00:00,bearish,21577.75,21588.625,21556.0,435.0,target,81.91853168117375,,560.0,2025-01-17
2025-01-17 14:37:00+00:00,bearish,21567.625,21593.6875,21515.5,1042.5,target,75.91853168117375,,775.0,2025-01-17
2025-01-20 08:33:00+00:00,bearish,21603.625,21623.6875,21563.5,-401.25,stop,82.44273613890095,London AM,275.0,2025-01-20
2025-01-20 08:31:00+00:00,bearish,21601.625,21624.6875,21555.5,-461.25,stop,77.06773613890095,London AM,125.0,2025-01-20
2025-02-27 13:33:00+00:00,bearish,21335.125,21373.1875,21259.0,-761.25,stop,84.39375,,805.0,2025-02-27
2025-02-27 13:31:00+00:00,bearish,21346.25,21367.625,21303.5,855.0,target,83.39375,,160.0,2025-02-27
2025-02-27 13:38:00+00:00,bearish,21327.25,21377.125,21227.5,-997.5,stop,74.39375,,540.0,2025-02-27
2025-03-03 06:56:00+00:00,bullish,21241.875,21200.8125,21324.0,-821.25,stop,83.78845116028063,,245.0,2025-03-03
2025-03-03 06:57:00+00:00,bullish,21238.75,21202.375,21311.5,-727.5,stop,81.78845116028063,,360.0,2025-03-03
2025-03-03 16:26:00+00:00,bullish,21184.875,21164.0625,21226.5,-416.25,stop,76.62149999999987,,985.0,2025-03-03
2025-03-03 16:27:00+00:00,bullish,21184.75,21164.125,21226.0,-412.5,stop,74.62149999999987,,1210.0,2025-03-03
2025-03-03 06:58:00+00:00,bullish,21235.875,21203.8125,21300.0,-641.25,stop,72.91345116028063,,145.0,2025-03-03
2025-03-04 01:03:00+00:00,bullish,20779.625,20755.0625,20828.75,-491.25,stop,84.15370018975332,,465.0,2025-03-04
2025-03-04 20:36:00+00:00,bearish,20793.625,20910.4375,20560.0,4672.5,target,77.11431576051075,,745.0,2025-03-04
2025-03-04 01:01:00+00:00,bullish,20775.5,20757.125,20812.25,-367.5,stop,75.65370018975332,,100.0,2025-03-04
2025-03-04 20:37:00+00:00,bearish,20786.75,20913.875,20532.5,5085.0,target,75.11431576051075,,670.0,2025-03-04
2025-03-04 13:38:00+00:00,bullish,20547.125,20524.8125,20591.75,892.5,target,60.38814233576629,,95.0,2025-03-04
2025-03-05 08:34:00+00:00,bullish,20811.5,20761.25,20912.0,-1005.0,stop,83.51332346410067,London AM,200.0,2025-03-05
2025-03-05 08:35:00+00:00,bullish,20808.375,20762.8125,20899.5,-911.25,stop,81.51332346410067,London AM,325.0,2025-03-05
2025-03-05 13:07:00+00:00,bullish,20725.625,20721.6875,20733.5,-78.75,stop,80.31564285714299,,575.0,2025-03-05
2025-03-05 08:33:00+00:00,bullish,20817.625,20758.1875,20936.5,-1188.75,stop,79.88832346410067,London AM,155.0,2025-03-05
