entry_time,direction,entry,stop,target,pnl,exit_reason,quality_score,killzone_window,fvg_size,date
2025-04-01 10:25:00,bullish,19414.125,19041.1875,20160.0,2197.5,timeout,83.8319340688706,NY AM,885.0,2025-04-01
2025-04-01 10:30:00,bullish,19389.0,19053.75,20059.5,2655.0,timeout,81.8319340688706,NY AM,1860.0,2025-04-01
2025-04-01 10:35:00,bullish,19386.125,19055.1875,20048.0,3022.5,timeout,79.8319340688706,NY AM,1495.0,2025-04-01
2025-04-24 11:00:00,bearish,18799.375,19059.0625,18280.0,-5193.75,stop,80.85726780638429,,1075.0,2025-04-24
2025-09-24 20:10:00,bullish,24749.25,24740.25,24767.25,-180.0,stop,78.18468601337032,,190.0,2025-09-24
2025-09-24 20:25:00,bullish,24748.375,24740.6875,24763.75,-153.75,stop,73.43468601337032,,255.0,2025-09-24
2025-09-24 20:30:00,bullish,24747.5,24741.125,24760.25,-127.5,stop,65.18468601337032,,150.0,2025-09-24
2025-11-10 09:25:00,bullish,25550.625,24792.9375,27066.0,3987.5,timeout,73.22428165311885,,615.0,2025-11-10
2025-11-10 09:30:00,bullish,25550.375,24793.0625,27065.0,3992.5,timeout,71.22428165311885,,765.0,2025-11-10
2025-11-10 09:35:00,bullish,25539.75,24798.375,27022.5,3640.0,timeout,69.22428165311885,,420.0,2025-11-10
2025-11-14 15:05:00,bullish,24933.375,24708.5625,25383.0,5672.5,timeout,74.95836371977623,,1485.0,2025-11-14
2025-11-14 15:10:00,bullish,24917.0,24716.75,25317.5,8010.0,target,72.95836371977623,,2110.0,2025-11-14
2025-11-25 14:55:00,bearish,24720.875,24904.0625,24354.5,-3663.75,stop,82.48770796399512,NY PM,3315.0,2025-11-25
2025-11-25 15:00:00,bearish,24713.875,24907.5625,24326.5,-3873.75,stop,72.98770796399512,,4475.0,2025-11-25
