date,daily_pnl,cumulative_pnl
2025-01-02,866.0,866.0
2025-01-03,198.5,1064.5
2025-01-08,391.0,1455.5
2025-01-09,-404.0,1051.5
2025-01-10,2855.5,3907.0
2025-01-15,-424.0,3483.0
2025-01-17,-707.75,2775.25
2025-01-20,-885.5,1889.75
2025-01-23,108.5,1998.25
2025-01-30,1211.0,3209.25
2025-02-06,-330.5,2878.75
2025-02-07,593.5,3472.25
2025-02-10,-96.5,3375.75
2025-02-12,-877.75,2498.0
2025-02-13,-1291.5,1206.5
2025-02-19,-1083.0,123.5
2025-02-20,-1071.75,-948.25
2025-02-21,761.0,-187.25
2025-02-26,1001.0,813.75
2025-03-17,622.25,1436.0
2025-03-19,-866.5,569.5
2025-03-21,458.5,1028.0
2025-03-26,-413.0,615.0
2025-03-27,-1391.5,-776.5
2025-04-28,68.5,-708.0
2025-04-30,359.5,-348.5
2025-05-01,-65.25,-413.75
2025-05-05,-262.75,-676.5
2025-05-07,-489.5,-1166.0
2025-05-09,293.5,-872.5
2025-05-14,360.75,-511.75
2025-05-15,-706.75,-1218.5
2025-05-16,1061.75,-156.75
2025-05-22,-352.75,-509.5
2025-05-26,338.5,-171.0
2025-05-28,-126.75,-297.75
2025-05-30,-954.0,-1251.75
2025-06-16,544.5,-707.25
2025-06-18,-46.75,-754.0
2025-06-25,281.75,-472.25
2025-06-26,-928.25,-1400.5
2025-06-27,-1324.5,-2725.0
2025-06-30,163.25,-2561.75
2025-07-02,-689.25,-3251.0
2025-07-07,159.75,-3091.25
2025-07-10,102.25,-2989.0
2025-07-14,-646.5,-3635.5
2025-07-16,-104.0,-3739.5
2025-07-23,106.75,-3632.75
2025-07-24,-294.0,-3926.75
2025-07-30,-1131.0,-5057.75
2025-08-14,673.25,-4384.5
2025-08-15,671.0,-3713.5
2025-08-22,-1129.0,-4842.5
2025-08-25,-581.5,-5424.0
2025-08-27,-342.75,-5766.75
2025-08-28,-554.0,-6320.75
2025-09-15,346.0,-5974.75
2025-09-17,23.0,-5951.75
2025-09-19,134.75,-5817.0
2025-09-29,-731.75,-6548.75
2025-10-01,-1189.25,-7738.0
2025-10-02,283.5,-7454.5
2025-10-03,247.25,-7207.25
2025-10-06,116.0,-7091.25
2025-10-10,695.75,-6395.5
2025-10-15,-940.5,-7336.0
2025-10-16,-754.0,-8090.0
2025-10-17,407.25,-7682.75
2025-10-22,1691.0,-5991.75
2025-10-23,-431.5,-6423.25
2025-10-24,403.5,-6019.75
2025-10-31,3.0,-6016.75
2025-11-03,-367.75,-6384.5
2025-11-06,2482.0,-3902.5
2025-11-12,-490.5,-4393.0
2025-11-13,2482.0,-1911.0
2025-11-17,1136.0,-775.0
2025-11-26,-666.5,-1441.5
2025-11-27,134.75,-1306.75
2025-12-15,-816.5,-2123.25
2025-12-17,1181.0,-942.25
2025-12-18,-605.25,-1547.5
2025-12-24,-391.5,-1939.0
2025-12-26,30.75,-1908.25
2025-12-29,-224.0,-2132.25
