date,daily_pnl,cumulative_pnl,drawdown
2025-05-22,-170.0,-170.0,0.0
2025-05-26,-130.0,-300.0,130.0
2025-05-29,495.0,195.0,0.0
2025-06-16,30.0,225.0,0.0
2025-06-18,-330.0,-105.0,330.0
2025-06-19,-515.0,-620.0,845.0
2025-06-23,-300.0,-920.0,1145.0
2025-06-25,-585.0,-1505.0,1730.0
2025-06-27,-580.0,-2085.0,2310.0
2025-06-30,-280.0,-2365.0,2590.0
2025-07-14,-555.0,-2920.0,3145.0
2025-07-23,100.0,-2820.0,3045.0
2025-07-28,-260.0,-3080.0,3305.0
2025-08-06,520.0,-2560.0,2785.0
2025-08-08,-220.0,-2780.0,3005.0
2025-08-13,250.0,-2530.0,2755.0
2025-08-21,560.0,-1970.0,2195.0
2025-08-22,700.0,-1270.0,1495.0
2025-08-25,40.0,-1230.0,1455.0
2025-08-27,210.0,-1020.0,1245.0
2025-08-28,600.0,-420.0,645.0
2025-09-10,-295.0,-715.0,940.0
2025-09-14,-260.0,-975.0,1200.0
2025-09-15,-70.0,-1045.0,1270.0
2025-09-19,-550.0,-1595.0,1820.0
2025-09-22,-180.0,-1775.0,2000.0
2025-09-24,165.0,-1610.0,1835.0
2025-10-19,-520.0,-2130.0,2355.0
2025-10-23,55.0,-2075.0,2300.0
2025-10-29,495.0,-1580.0,1805.0
2025-10-31,165.0,-1415.0,1640.0
2025-11-05,250.0,-1165.0,1390.0
2025-11-07,705.0,-460.0,685.0
2025-11-10,100.0,-360.0,585.0
2025-11-12,-310.0,-670.0,895.0
2025-11-19,250.0,-420.0,645.0
2025-11-20,350.0,-70.0,295.0
2025-11-24,-300.0,-370.0,595.0
2025-11-26,0.0,-370.0,595.0
2025-12-03,20.0,-350.0,575.0
2025-12-04,-315.0,-665.0,890.0
2025-12-05,-1055.0,-1720.0,1945.0
2025-12-08,920.0,-800.0,1025.0
2025-12-10,115.0,-685.0,910.0
2025-12-11,-300.0,-985.0,1210.0
2025-12-18,-660.0,-1645.0,1870.0
2025-12-22,-500.0,-2145.0,2370.0
2026-01-15,1010.0,-1135.0,1360.0
2026-01-19,-400.0,-1535.0,1760.0
2026-01-29,4320.0,2785.0,0.0
2026-02-09,-895.0,1890.0,895.0
2026-02-11,1035.0,2925.0,0.0
2026-02-12,985.0,3910.0,0.0
2026-02-16,1610.0,5520.0,0.0
2026-02-18,-510.0,5010.0,510.0
2026-02-19,-165.0,4845.0,675.0
2026-02-26,1420.0,6265.0,0.0
