timestamp,prediction,regime,model_used,direction,entry_price,pnl_pct,exit_reason,hold_minutes,outcome
100,0.4656403660774231,0,Regime_0,short,16771.5,0.30000000000000243,take_profit,30,win
152,0.54376620054245,0,Regime_0,long,16717.0,-0.2000000000000066,stop_loss,15,loss
197,0.4546838104724884,0,Regime_0,long,16634.0,-0.20000000000000018,stop_loss,30,loss
240,0.42833641171455383,2,Regime_2,short,16562.0,-0.07396449704142012,time_stop,30,loss
303,0.495049387216568,0,Regime_0,long,16556.5,0.10569866819678073,time_stop,30,win
339,0.43647104501724243,0,Regime_0,long,16488.0,-0.10917030567685589,time_stop,30,loss
407,0.5837815403938293,0,Regime_0,long,16520.0,-0.20000000000000528,stop_loss,30,loss
506,0.4214187264442444,0,Regime_0,short,16533.5,-0.19999999999999454,stop_loss,30,loss
555,0.661283552646637,0,Regime_0,long,16471.5,0.13659958109461798,time_stop,30,win
586,0.4013284742832184,0,Regime_0,long,16471.0,-0.08651569425050087,time_stop,30,loss
659,0.4176809787750244,0,Regime_0,short,16651.25,-0.0015013887846257788,time_stop,30,loss
694,0.4476120173931122,0,Regime_0,long,16779.0,0.03128911138923655,time_stop,30,win
750,0.697236955165863,0,Regime_0,long,16699.75,-0.02544948277668827,time_stop,30,loss
787,0.5518489480018616,0,Regime_0,long,16757.25,0.13128645810022527,time_stop,30,win
817,0.6888383626937866,0,Regime_0,long,16850.75,-0.19999999999999532,stop_loss,10,loss
855,0.5257065296173096,0,Regime_0,long,16834.5,-0.016335501499896047,time_stop,30,loss
893,0.8646118640899658,0,Regime_0,long,16861.75,-0.04003143208741679,time_stop,30,loss
939,0.6489526033401489,0,Regime_0,long,16880.5,0.0696069429223068,time_stop,30,win
972,0.5273295640945435,0,Regime_0,short,16951.0,-0.07521680136865082,time_stop,30,loss
1016,0.5864502787590027,0,Regime_0,short,17018.0,-0.049947114819602775,time_stop,30,loss
1100,0.4252963364124298,2,Regime_2,short,16808.0,0.07734412184673964,time_stop,30,win
1137,0.43048468232154846,0,Regime_0,long,16879.25,0.12293200231052921,time_stop,30,win
1168,0.49506738781929016,0,Regime_0,long,16957.75,0.04422756556736595,time_stop,30,win
1209,0.49564704298973083,0,Regime_0,long,16921.0,0.2349151941374623,time_stop,30,win
1299,0.6401264071464539,0,Regime_0,long,16957.25,0.04717746096802253,time_stop,30,win
1330,0.6119698286056519,0,Regime_0,long,16977.25,-0.19999999999999896,stop_loss,20,loss
1367,0.4101896584033966,0,Regime_0,long,16967.5,-0.05451598644467365,time_stop,30,loss
1425,0.5851750373840332,0,Regime_0,long,16932.0,-0.05167729742499409,time_stop,30,loss
1512,0.40495291352272034,2,Regime_2,short,16903.5,-0.13015056053480048,time_stop,30,loss
1681,0.6059197783470154,0,Regime_0,long,16804.25,-0.1487718880640314,time_stop,30,loss
1712,0.6142080426216125,0,Regime_0,short,16814.0,-0.1680147496134174,time_stop,30,loss
1742,0.49193981289863586,0,Regime_0,long,16900.75,0.14052630800408264,time_stop,30,win
1773,0.6490858197212219,0,Regime_0,long,17020.0,0.06316098707403055,time_stop,30,win
1803,0.455018550157547,0,Regime_0,long,17034.5,-0.1999999999999971,stop_loss,10,loss
1866,0.4338563084602356,2,Regime_2,short,16975.75,0.10308822879696038,time_stop,30,win
1897,0.42266881465911865,0,Regime_0,long,17104.5,0.02484726241632319,time_stop,30,win
1928,0.4802562892436981,0,Regime_0,short,17158.75,-0.0670211990966708,time_stop,30,loss
1977,0.4114862382411957,0,Regime_0,long,17210.25,-0.06827326738426229,time_stop,30,loss
2007,0.5872747898101807,0,Regime_0,long,17233.75,0.16827446144919128,time_stop,30,win
2039,0.561426043510437,0,Regime_0,long,17305.5,0.1386842333362226,time_stop,30,win
2074,0.5231014490127563,0,Regime_0,long,17423.75,0.11048138316952436,time_stop,30,win
2126,0.5195966362953186,0,Regime_0,long,17539.25,0.1354105791296663,time_stop,30,win
2162,0.41972875595092773,0,Regime_0,long,17540.5,-0.19999999999999038,stop_loss,15,loss
2198,0.6014004945755005,0,Regime_0,short,17468.75,-0.15742397137745975,time_stop,30,loss
2238,0.40464702248573303,0,Regime_0,long,17469.75,-0.11591465247069936,time_stop,30,loss
2270,0.5835139155387878,0,Regime_0,long,17474.5,0.04291968296660849,time_stop,30,win
2341,0.48783910274505615,0,Regime_0,long,17456.5,-0.04869246412511099,time_stop,30,loss
2372,0.4376753866672516,0,Regime_0,long,17472.5,0.042924595793389614,time_stop,30,win
2402,0.4155421257019043,0,Regime_0,short,17502.75,-0.19999999999999601,stop_loss,10,loss
2440,0.6181829571723938,0,Regime_0,long,17677.25,-0.060812626398336844,time_stop,30,loss
2473,0.4721607565879822,0,Regime_0,long,17680.5,0.11170498571872968,time_stop,30,win
2510,0.5219331383705139,0,Regime_0,long,17725.25,0.1988688452913217,time_stop,30,win
2551,0.40156009793281555,2,Regime_2,short,17678.5,0.20505133354074156,time_stop,30,win
2599,0.5424495339393616,0,Regime_0,long,17611.0,-0.008517403895292715,time_stop,30,loss
2662,0.48108571767807007,0,Regime_0,long,17706.5,0.12707197921667185,time_stop,30,win
2696,0.45820173621177673,0,Regime_0,long,17734.25,-0.1522477691472715,time_stop,30,loss
2738,0.4297870695590973,2,Regime_2,short,17576.75,0.041247670928926,time_stop,30,win
2812,0.44471248984336853,0,Regime_0,long,17559.0,0.0427131385614215,time_stop,30,win
2860,0.6098152995109558,0,Regime_0,long,17552.75,0.24355158023671505,time_stop,30,win
2891,0.4672708511352539,0,Regime_0,long,17608.5,0.08376636283613027,time_stop,30,win
2925,0.4361477792263031,0,Regime_0,long,17538.5,0.005701741882144996,time_stop,30,win
2957,0.5615753531455994,0,Regime_0,long,17513.75,0.09421169081436015,time_stop,30,win
2991,0.4683910310268402,0,Regime_0,long,17570.5,-0.056913576733729834,time_stop,30,loss
3037,0.5692734122276306,0,Regime_0,long,17565.0,0.09109023626530031,time_stop,30,win
3067,0.6935227513313293,0,Regime_0,short,17596.75,-0.18469319618679586,time_stop,30,loss
3097,0.45389512181282043,0,Regime_0,long,17698.5,0.11159137780037856,time_stop,30,win
3139,0.42874252796173096,0,Regime_0,long,17679.25,-0.06221983398617023,time_stop,30,loss
3178,0.4148728847503662,0,Regime_0,long,17648.0,-0.06516319129646418,time_stop,30,loss
3208,0.4805755615234375,0,Regime_0,long,17593.25,-0.12788995779631393,time_stop,30,loss
3259,0.644923985004425,2,Regime_2,long,17444.25,-0.20000000000000534,stop_loss,25,loss
3289,0.4538785219192505,0,Regime_0,short,17421.0,0.17651110728431205,time_stop,30,win
3326,0.40156009793281555,2,Regime_2,short,17309.0,0.10543647813276329,time_stop,30,win
3357,0.44024425745010376,0,Regime_0,long,17355.25,0.08642917849065845,time_stop,30,win
3387,0.4582790732383728,0,Regime_0,long,17361.5,-0.20000000000001023,stop_loss,10,loss
3424,0.7808321118354797,2,Regime_2,short,17267.75,0.08397156549058216,time_stop,30,win
3456,0.40284010767936707,0,Regime_0,long,17339.0,0.012976526904665782,time_stop,30,win
3507,0.48483043909072876,0,Regime_0,short,17323.0,-0.2000000000000037,stop_loss,15,loss
3560,0.5525157451629639,0,Regime_0,long,17383.5,-0.199999999999999,stop_loss,10,loss
3606,0.4527410864830017,0,Regime_0,long,17462.0,0.299999999999992,take_profit,10,win
3637,0.4816703498363495,0,Regime_0,short,17623.0,0.0014186006922771379,time_stop,30,win
3686,0.5475130677223206,0,Regime_0,long,17608.0,-0.200000000000002,stop_loss,15,loss
3739,0.4652908742427826,0,Regime_0,long,17710.5,0.22303153496513367,time_stop,30,win
3770,0.4691377878189087,0,Regime_0,long,17725.0,0.16925246826516221,time_stop,30,win
3818,0.44661349058151245,0,Regime_0,long,17699.75,0.02824898656760689,time_stop,30,win
3913,0.4561397433280945,0,Regime_0,long,17699.0,-0.01695011017571614,time_stop,30,loss
3950,0.6440024375915527,0,Regime_0,long,17712.25,-0.05363519598018321,time_stop,30,loss
3989,0.7019340991973877,0,Regime_0,long,17728.75,0.10294013960375098,time_stop,30,win
4050,0.6736810207366943,0,Regime_0,long,17645.0,-0.005667327854916407,time_stop,30,loss
4082,0.5159765481948853,0,Regime_0,long,17597.25,0.026992853997073404,time_stop,30,win
4117,0.5378885865211487,0,Regime_0,short,17638.5,0.07086770416985572,time_stop,30,win
4148,0.4119759500026703,0,Regime_0,long,17668.5,0.06650253275603475,time_stop,30,win
4183,0.4784201383590698,0,Regime_0,long,17757.25,-0.20000000000000637,stop_loss,25,loss
4213,0.44952329993247986,0,Regime_0,short,17855.25,0.22122344968566668,time_stop,30,win
4243,0.5613276958465576,0,Regime_0,long,17849.75,-0.19999999999999332,stop_loss,20,loss
4279,0.47170180082321167,0,Regime_0,short,17845.5,-0.05323470903028774,time_stop,30,loss
4309,0.6787401437759399,0,Regime_0,short,17850.5,0.19467241813954791,time_stop,30,win
4339,0.5109150409698486,0,Regime_0,long,17845.0,-0.004202857943401513,time_stop,30,loss
4369,0.4412634074687958,0,Regime_0,short,17881.25,-0.004194337644180357,time_stop,30,loss
4399,0.42415475845336914,0,Regime_0,short,17877.5,0.07831072577261922,time_stop,30,win
4429,0.6165596842765808,0,Regime_0,long,17863.75,0.0,time_stop,30,loss
4486,0.4318600296974182,0,Regime_0,long,17943.75,0.12260536398467432,time_stop,30,win
4516,0.5207943916320801,0,Regime_0,long,17993.5,-0.031955984105371385,time_stop,30,loss
4552,0.6324688792228699,0,Regime_0,short,18049.0,0.04432378525126046,time_stop,30,win
4601,0.41289281845092773,0,Regime_0,long,18040.5,-0.12887669410493058,time_stop,30,loss
4649,0.6059197783470154,0,Regime_0,long,18093.0,-0.1077764881445863,time_stop,30,loss
4714,0.6255328059196472,0,Regime_0,long,17951.5,-0.19999999999999124,stop_loss,30,loss
4763,0.43638962507247925,2,Regime_2,short,17620.75,-0.15322843806307904,time_stop,30,loss
4799,0.5851797461509705,0,Regime_0,long,17742.25,0.2043145598782567,time_stop,30,win
4829,0.48824751377105713,0,Regime_0,long,17757.0,-0.19999999999999557,stop_loss,30,loss
4867,0.4009484648704529,2,Regime_2,short,17646.0,0.2999999999999903,take_profit,25,win
4914,0.4327183663845062,0,Regime_0,short,17677.75,-0.20000000000000842,stop_loss,30,loss
4945,0.6463768482208252,0,Regime_0,short,17794.75,-0.0379325362817685,time_stop,30,loss
4976,0.41754502058029175,0,Regime_0,long,17800.75,0.23734954987851636,time_stop,30,win
5011,0.5739961862564087,0,Regime_0,long,17756.25,-0.17317845828933473,time_stop,30,loss
5065,0.5118090510368347,0,Regime_0,long,17789.5,0.026701143933219037,time_stop,30,win
5097,0.6649158000946045,0,Regime_0,long,17873.5,0.24477578538059136,time_stop,30,win
5173,0.5069336891174316,0,Regime_0,long,17846.5,-0.11907096629591236,time_stop,30,loss
5203,0.5761632919311523,0,Regime_0,long,17851.0,0.1358467312755588,time_stop,30,win
5234,0.6895205974578857,0,Regime_0,long,17921.25,-0.1999999999999935,stop_loss,10,loss
5264,0.5725332498550415,0,Regime_0,long,17937.75,0.0041811263954509344,time_stop,30,win
5385,0.459835410118103,0,Regime_0,long,17882.75,-0.055919810991038855,time_stop,30,loss
5425,0.4406321048736572,0,Regime_0,short,17873.5,0.30000000000000504,take_profit,10,win
5473,0.5646518468856812,0,Regime_0,short,17772.5,0.05626670417780279,time_stop,30,win
5526,0.5942546725273132,0,Regime_0,long,17701.0,-0.19999999999999,stop_loss,5,loss
5557,0.4041280448436737,0,Regime_0,long,17684.0,-0.19999999999999193,stop_loss,10,loss
5616,0.40638071298599243,2,Regime_2,short,17533.5,0.05133031054837882,time_stop,30,win
5650,0.5314691662788391,0,Regime_0,long,17528.0,-0.20000000000000281,stop_loss,10,loss
5694,0.4501509964466095,0,Regime_0,long,17587.5,-0.009950248756218905,time_stop,30,loss
5794,0.692172110080719,0,Regime_0,long,17495.75,-0.024291613677607418,time_stop,30,loss
5824,0.5457375049591064,0,Regime_0,long,17470.25,-0.2000000000000035,stop_loss,15,loss
5920,0.4252343475818634,0,Regime_0,long,17850.0,0.2058823529411765,time_stop,30,win
5978,0.46286270022392273,0,Regime_0,long,17932.25,-0.005576545051513335,time_stop,30,loss
6021,0.6406248211860657,0,Regime_0,long,17968.5,0.12243648607284971,time_stop,30,win
6051,0.6597256064414978,0,Regime_0,long,18085.0,-0.13685374619850707,time_stop,30,loss
6090,0.5005049705505371,0,Regime_0,long,18046.75,-0.04017343843074238,time_stop,30,loss
6128,0.43178123235702515,0,Regime_0,short,18133.25,0.07444887154812292,time_stop,30,win
6212,0.5166882872581482,0,Regime_0,long,18027.0,0.0762744771731292,time_stop,30,win
6284,0.4888465106487274,0,Regime_0,long,17960.0,0.16007795100222716,time_stop,30,win
6360,0.45698267221450806,0,Regime_0,long,18025.5,0.1345316357382597,time_stop,30,win
6397,0.6384662985801697,0,Regime_0,long,18014.5,0.10824613505787005,time_stop,30,win
6438,0.6325427293777466,0,Regime_0,long,17964.0,0.18370073480293922,time_stop,30,win
6483,0.4979725778102875,0,Regime_0,long,17987.75,0.07366124167836445,time_stop,30,win
6527,0.524444043636322,0,Regime_0,long,17997.25,-0.048618538943449696,time_stop,30,loss
6557,0.7007741332054138,0,Regime_0,short,17948.75,-0.1448568841841354,time_stop,30,loss
