timestamp_entry,timestamp_exit,direction,entry_price,exit_price,tp_price,sl_price,gap_size,pnl_usd,exit_reason,h1_sweep_bars_ago,m15_confirmed,kill_zone_active,vol_regime_pct,contracts
2025-05-22T08:00:00-04:00,2025-05-22T09:40:00-04:00,BEARISH,21120.875,21155.75,20984.375,21234.625,22.75,-352.75,TIME_STOP,0,False,False,0.587,5
2025-05-28T14:53:00-04:00,2025-05-28T15:57:00-04:00,BEARISH,21462.875,21379.75,21317.375,21584.125,24.25,827.25,TIME_STOP,0,False,False,0.1739,5
2025-05-28T16:02:00-04:00,2025-05-28T16:23:00-04:00,BEARISH,21359.75,21454.75,21245.75,21454.75,19.0,-954.0,SL,0,False,False,0.5435,5
2025-05-30T09:52:00-04:00,2025-05-30T10:13:00-04:00,BEARISH,21276.75,21371.75,21162.75,21371.75,19.0,-954.0,SL,0,False,True,0.1087,5
2025-06-18T08:39:00-04:00,2025-06-18T09:51:00-04:00,BEARISH,21996.0,22009.5,21903.0,22073.5,15.5,-139.0,TIME_STOP,0,False,False,0.0435,5
2025-06-18T15:29:00-04:00,2025-06-18T16:35:00-04:00,BEARISH,21962.625,21953.0,21841.125,22063.875,20.25,92.25,TIME_STOP,0,False,False,0.6522,5
2025-06-25T09:52:00-04:00,2025-06-25T10:53:00-04:00,BEARISH,22507.75,22489.75,22432.75,22570.25,12.5,176.0,TIME_STOP,2,False,True,0.0,5
2025-06-25T11:34:00-04:00,2025-06-25T12:35:00-04:00,BEARISH,22447.75,22430.75,22399.75,22487.75,8.0,166.0,TIME_STOP,4,False,False,0.0652,5
2025-06-25T13:42:00-04:00,2025-06-25T14:42:00-04:00,BEARISH,22416.875,22422.5,22313.375,22503.125,17.25,-60.25,TIME_STOP,0,False,False,0.1522,5
2025-06-26T08:35:00-04:00,2025-06-26T09:35:00-04:00,BEARISH,22545.625,22534.75,22463.125,22614.375,13.75,104.75,TIME_STOP,4,False,False,0.1087,5
2025-06-26T09:38:00-04:00,2025-06-26T10:31:00-04:00,BEARISH,22526.5,22579.0,22463.5,22579.0,10.5,-529.0,SL,5,False,True,0.1522,5
2025-06-26T11:31:00-04:00,2025-06-26T12:02:00-04:00,BEARISH,22570.5,22620.5,22510.5,22620.5,10.0,-504.0,SL,1,False,False,0.2609,5
2025-06-27T10:53:00-04:00,2025-06-27T11:53:00-04:00,BEARISH,22778.5,22808.25,22688.5,22853.5,15.0,-301.5,TIME_STOP,1,False,True,0.1739,5
2025-06-27T13:46:00-04:00,2025-06-29T19:02:00-04:00,BEARISH,22761.75,22822.0,22641.75,22861.75,20.0,-606.5,TIME_STOP,4,False,False,0.4565,5
2025-06-30T09:34:00-04:00,2025-06-30T10:38:00-04:00,BEARISH,22841.0,22815.75,22763.0,22906.0,13.0,248.5,TIME_STOP,1,False,True,0.4783,5
2025-06-30T16:01:00-04:00,2025-06-30T21:59:00-04:00,BEARISH,22904.875,22913.0,22819.375,22976.125,14.25,-85.25,TIME_STOP,0,False,False,0.5217,5
2025-07-02T10:46:00-04:00,2025-07-02T11:46:00-04:00,BEARISH,22797.625,22814.5,22691.125,22886.375,17.75,-172.75,TIME_STOP,0,False,True,0.3043,5
