sl,tp,threshold,n_oos,wr,pf,pnl,ir,maxdd
2.0,4.0,0.0,318,0.3805031446540881,0.9610353099932526,-207.90000000000032,-0.013188502504182267,-863.1000000000015
2.0,4.0,0.45,256,0.38671875,0.9341434328480955,-320.30000000000086,-0.023705521570580347,-936.1000000000015
2.0,4.0,0.5,146,0.3287671232876712,0.9039817848614426,-345.8000000000006,-0.0367691840794615,-818.8000000000004
2.0,4.0,0.55,50,0.32,0.7660122942692842,-472.0000000000001,-0.10925728048769749,-722.8000000000001
2.0,4.0,0.6,10,0.2,0.47410231966952654,-331.0,-0.3389961356050068,-361.0
2.0,5.0,0.0,309,0.34951456310679613,1.1235872750104643,649.5499999999995,0.03628621729811349,-554.0999999999985
2.0,5.0,0.45,246,0.34552845528455284,1.0665674854393514,315.44999999999936,0.02092632974376631,-649.4999999999991
2.0,5.0,0.5,141,0.3191489361702128,1.1211130529106903,401.9499999999994,0.03803369021890154,-644.9999999999999
2.0,5.0,0.55,41,0.2682926829268293,0.7645272385723233,-376.05,-0.10008819505268737,-580.0
2.0,5.0,0.6,10,0.3,1.8724256292906174,304.9999999999999,0.2351142447527082,-281.9999999999999
2.0,6.0,0.0,308,0.31493506493506496,1.122922237479222,680.3499999999997,0.03491083984379131,-630.5999999999974
2.0,6.0,0.45,256,0.32421875,1.1527478764629893,780.4499999999991,0.04444713273125862,-610.3999999999982
2.0,6.0,0.5,149,0.26174496644295303,0.9575544527157421,-153.95000000000033,-0.013737968075814934,-735.3500000000005
2.0,6.0,0.55,27,0.3333333333333333,1.0613188780584843,61.649999999999935,0.0223001914462445,-488.0000000000001
2.0,6.0,0.6,1,0.0,0.0,-40.8,0.0,0.0
2.0,8.0,0.0,296,0.27702702702702703,1.0894311139933703,496.4499999999995,0.025032128593612382,-592.8
2.0,8.0,0.45,228,0.2675438596491228,1.0756979985852781,363.8499999999993,0.021724607724823347,-645.8000000000005
2.0,8.0,0.5,129,0.2558139534883721,1.0665277285089272,225.04999999999973,0.020391199782848056,-776.7999999999987
2.0,8.0,0.55,36,0.2777777777777778,1.1287487444396616,179.44999999999993,0.04286932451772365,-441.0
2.0,8.0,0.6,6,0.0,0.0,-334.8,-1.4378769209639042,-300.0
3.0,4.0,0.0,302,0.48344370860927155,1.1890637715789651,1091.8999999999996,0.05755504869988008,-772.0999999999997
3.0,4.0,0.45,226,0.47345132743362833,1.1549029612411885,819.6999999999994,0.05121025057629938,-723.7000000000003
3.0,4.0,0.5,130,0.46153846153846156,1.1396092362344576,589.4999999999995,0.05045176873313904,-924.7000000000002
3.0,4.0,0.55,52,0.4807692307692308,1.2836076417260025,728.8999999999999,0.10884535158066616,-750.6000000000001
3.0,4.0,0.6,19,0.47368421052631576,1.2639753940792002,343.2999999999998,0.11263871455603965,-591.6000000000001
3.0,5.0,0.0,288,0.4513888888888889,1.385246479493822,2185.8499999999995,0.10391595577119749,-698.1499999999963
3.0,5.0,0.45,212,0.4528301886792453,1.3486102082225242,1769.6499999999999,0.10134406956445535,-647.2999999999993
3.0,5.0,0.5,136,0.4117647058823529,1.315519713261649,1320.4500000000003,0.09780978741754902,-1161.3
3.0,5.0,0.55,46,0.41304347826086957,1.2548905046308314,588.95,0.09042829857782048,-882.2
3.0,5.0,0.6,15,0.5333333333333333,2.250143826947417,1086.5000000000002,0.38374683667089676,-270.9
3.0,6.0,0.0,286,0.4160839160839161,1.413942098753051,2476.45,0.10705797300270271,-653.1999999999953
3.0,6.0,0.45,228,0.42543859649122806,1.3900844582134688,2115.3499999999995,0.10588546969162717,-707.3999999999967
3.0,6.0,0.5,141,0.41843971631205673,1.4762843888764852,1919.9499999999994,0.13065091538358975,-681.5999999999997
3.0,6.0,0.55,31,0.3225806451612903,1.02679374213271,44.69999999999983,0.010096115025490232,-439.50000000000017
3.0,6.0,0.6,4,0.25,0.7135678391959798,-119.70000000000005,-0.15790034998612537,-270.6
3.0,8.0,0.0,268,0.3694029850746269,1.4311204847510968,2575.599999999999,0.10505509691155668,-566.3999999999995
3.0,8.0,0.45,199,0.35678391959798994,1.4308304504811051,2279.0499999999997,0.11012226054216036,-660.1000000000001
3.0,8.0,0.5,113,0.36283185840707965,1.5310750279955205,1991.8500000000001,0.13783117338315998,-731.9000000000001
3.0,8.0,0.55,40,0.425,1.8909502015909339,1635.2499999999998,0.22668207697194387,-434.1000000000001
3.0,8.0,0.6,10,0.4,1.7205720572057204,458.49999999999994,0.21244594394401356,-270.59999999999997
4.0,4.0,0.0,290,0.5448275862068965,1.2731451785332475,1660.749999999999,0.08121767129323966,-915.3999999999988
4.0,4.0,0.45,213,0.5305164319248826,1.268052396979896,1473.3499999999995,0.08535006009645714,-784.6000000000003
4.0,4.0,0.5,120,0.5333333333333333,1.2698748641084356,1166.7499999999995,0.09467705117793442,-884.4000000000001
4.0,4.0,0.55,42,0.5952380952380952,1.6000169269180307,1417.8999999999999,0.21792284522054348,-897.45
4.0,4.0,0.6,23,0.6086956521739131,1.6313846351407748,983.3500000000001,0.24089986153196674,-604.45
4.0,5.0,0.0,275,0.5236363636363637,1.5231168302731293,3085.499999999999,0.13769477228547503,-682.6499999999978
4.0,5.0,0.45,220,0.5136363636363637,1.462739633024245,2589.999999999999,0.13171434784595948,-677.0499999999984
4.0,5.0,0.5,127,0.5196850393700787,1.597008642250451,2410.8999999999987,0.17124036178128157,-902.2
4.0,5.0,0.55,37,0.5675675675675675,1.671673537984821,1278.8999999999999,0.21942483315386582,-757.4999999999999
4.0,5.0,0.6,6,0.16666666666666666,0.257757644394111,-491.55000000000007,-0.6334279346393578,-382.50000000000006
4.0,6.0,0.0,272,0.4889705882352941,1.5703251967110234,3544.4,0.14387183823249303,-599.1499999999965
4.0,6.0,0.45,244,0.48360655737704916,1.541127918393158,3251.799999999999,0.14187926177520907,-589.9499999999966
4.0,6.0,0.5,125,0.488,1.8903789073989892,3329.749999999999,0.22136048296864613,-564.6499999999983
4.0,6.0,0.55,22,0.5,1.4019145524851457,426.1499999999999,0.136925218885143,-353.75
4.0,6.0,0.6,0,0.0,0.0,0.0,0.0,
4.0,8.0,0.0,253,0.43873517786561267,1.5966093065069178,3749.599999999999,0.14178311281743244,-412.7999999999998
4.0,8.0,0.45,205,0.4292682926829268,1.6426746426920833,3684.999999999999,0.15639061202260554,-412.79999999999995
4.0,8.0,0.5,100,0.43,1.7174608476688464,2792.249999999999,0.1846578387798897,-766.9500000000002
4.0,8.0,0.55,31,0.5161290322580645,2.4179176755447944,1903.2,0.32888073677406426,-405.6000000000001
4.0,8.0,0.6,4,0.25,1.0044973161178008,1.5500000000000114,0.001889617757655407,-235.59999999999997
5.0,4.0,0.0,277,0.5884476534296029,1.3194752325935932,1938.3999999999994,0.09465747086936464,-760.9500000000005
5.0,4.0,0.45,209,0.5741626794258373,1.313247952970817,1715.7999999999997,0.09882343039919764,-634.0500000000008
5.0,4.0,0.5,119,0.5882352941176471,1.4484075165715276,1802.8,0.14537498230315543,-732.8000000000002
5.0,4.0,0.55,33,0.6060606060606061,1.8476210438063296,1617.5999999999997,0.2915773761933438,-922.25
5.0,4.0,0.6,15,0.7333333333333333,3.4613003095975228,1510.5000000000002,0.6355213035401804,-229.29999999999995
5.0,5.0,0.0,261,0.5747126436781609,1.6134247789918372,3528.449999999999,0.15889599956152917,-533.3499999999984
5.0,5.0,0.45,206,0.5679611650485437,1.6369269729206046,3319.949999999999,0.17247578050787626,-410.94999999999686
5.0,5.0,0.5,120,0.5666666666666667,1.7998830997594022,2942.2499999999995,0.21511914936821674,-865.5999999999998
5.0,5.0,0.55,29,0.6206896551724138,2.9380488233227955,2207.0499999999993,0.46648483094407905,-282.65
5.0,5.0,0.6,6,0.6666666666666666,2.6017437564651984,541.9499999999999,0.4800092849441938,-229.3
5.0,6.0,0.0,256,0.53515625,1.5723569779576863,3619.6999999999985,0.14751392510979613,-485.6499999999994
5.0,6.0,0.45,225,0.52,1.5026699570000752,3045.249999999999,0.1354367114170692,-656.0999999999967
5.0,6.0,0.5,114,0.5,1.748588248670364,2962.7999999999993,0.2008834302313533,-662.9499999999989
5.0,6.0,0.55,17,0.5294117647058824,1.965833483186477,805.6499999999999,0.2771671184482009,-294.25000000000006
5.0,6.0,0.6,5,0.8,4.61317051897078,828.5,0.8292341972907913,-229.29999999999995
5.0,8.0,0.0,239,0.49372384937238495,1.6815691916117976,4311.299999999997,0.1624958254036672,-440.95000000000346
5.0,8.0,0.45,179,0.49162011173184356,1.7850453009275908,4367.049999999999,0.19291965225494578,-357.1999999999998
5.0,8.0,0.5,93,0.4838709677419355,1.9836246599692962,3652.099999999999,0.24138825068013484,-664.2999999999993
5.0,8.0,0.55,32,0.59375,3.5715938256877418,3556.8999999999996,0.5092728223110548,-503.4999999999997
5.0,8.0,0.6,8,0.625,3.3906816702315625,1285.35,0.6002669299948213,-229.29999999999995
