entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,ml_prediction,killzone_window,bars_held,stop_loss,target_price
2025-11-05 15:15:00+00:00,2025-11-05 15:16:00+00:00,25663.375,25654.5,bullish,-47.3,stop_loss,0.0,NY AM,1,25640.625,25716.75
2025-11-07 08:25:00+00:00,2025-11-07 08:30:00+00:00,25320.25,25301.25,bullish,-32.8,stop_loss,0.0,London AM,5,25304.75,25354.75
2025-11-19 08:16:00+00:00,2025-11-19 08:22:00+00:00,24584.75,24614.5,bullish,61.2,target,0.0,London AM,6,24569.25,24616.25
2025-11-25 08:02:00+00:00,2025-11-25 08:09:00+00:00,24914.0,24906.25,bullish,-9.8,stop_loss,0.0,London AM,7,24910.0,24926.0
2025-11-25 16:03:00+00:00,2025-11-25 16:07:00+00:00,24790.375,24803.5,bullish,-28.3,stop_loss,0.0,NY AM,4,24777.125,24840.0
2025-11-28 15:46:00+00:00,2025-11-28 15:48:00+00:00,25379.25,25389.25,bullish,24.2,target,0.0,NY AM,2,25373.75,25392.25
2025-12-03 15:23:00+00:00,2025-12-03 15:34:00+00:00,25760.25,25813.0,bullish,101.2,target,0.0,NY AM,11,25741.25,25811.75
2025-12-09 15:06:00+00:00,2025-12-09 15:09:00+00:00,25886.75,25874.5,bullish,-34.8,stop_loss,0.0,NY AM,3,25870.25,25922.75
2025-12-09 19:06:00+00:00,2025-12-09 19:08:00+00:00,25966.875,25956.0,bullish,-14.3,stop_loss,0.0,NY PM,2,25960.625,25988.0
2025-12-10 15:14:00+00:00,2025-12-10 15:15:00+00:00,25888.125,25877.0,bullish,-9.3,stop_loss,0.0,NY AM,1,25884.375,25898.0
2025-12-10 19:16:00+00:00,2025-12-10 19:24:00+00:00,25952.25,25934.75,bullish,-40.8,stop_loss,0.0,NY PM,8,25932.75,25994.75
2025-12-11 19:53:00+00:00,2025-12-11 19:55:00+00:00,25964.875,25956.0,bullish,-16.3,stop_loss,0.0,NY PM,2,25957.625,25979.75
2025-12-15 08:18:00+00:00,2025-12-15 08:20:00+00:00,25491.25,25507.0,bullish,20.7,target,0.0,London AM,2,25486.75,25502.5
2025-12-15 19:16:00+00:00,2025-12-15 19:17:00+00:00,25398.0,25385.75,bullish,-31.8,stop_loss,0.0,NY PM,1,25383.0,25430.5
2025-12-19 08:19:00+00:00,2025-12-19 08:20:00+00:00,25371.625,25372.25,bullish,7.95,target,0.0,London AM,1,25369.375,25376.5
2025-12-19 19:32:00+00:00,2025-12-19 19:34:00+00:00,25572.875,25580.5,bullish,17.45,target,0.0,NY PM,2,25569.125,25582.5
2025-12-23 08:29:00+00:00,2025-12-23 08:42:00+00:00,25695.375,25694.0,bullish,-5.3,stop_loss,0.0,London AM,13,25693.625,25708.25
2025-12-23 19:19:00+00:00,2025-12-23 19:20:00+00:00,25785.0,25789.25,bullish,6.7,target,0.0,NY PM,1,25783.0,25789.25
2025-12-26 20:01:00+00:00,2025-12-26 20:04:00+00:00,25886.25,25884.25,bullish,-7.8,stop_loss,0.0,NY PM,3,25883.25,25897.25
2026-01-02 15:05:00+00:00,2026-01-02 15:06:00+00:00,25740.0,25733.25,bullish,-28.8,stop_loss,0.0,NY AM,1,25726.5,25775.75
2026-01-06 19:07:00+00:00,2026-01-06 19:08:00+00:00,25799.875,25801.0,bullish,-6.3,stop_loss,0.0,NY PM,1,25797.625,25806.0
2026-01-07 08:18:00+00:00,2026-01-07 08:20:00+00:00,25774.25,25777.25,bullish,7.2,target,0.0,London AM,2,25772.25,25778.75
2026-01-09 20:00:00+00:00,2026-01-09 20:01:00+00:00,25956.75,25953.5,bullish,-14.8,stop_loss,0.0,NY PM,1,25950.25,25971.0
2026-01-13 08:38:00+00:00,2026-01-13 09:03:00+00:00,25899.625,25923.0,bullish,42.45,target,0.0,London AM,25,25890.875,25921.75
2026-01-16 19:17:00+00:00,2026-01-16 19:19:00+00:00,25701.375,25676.5,bullish,-39.3,stop_loss,0.0,NY PM,2,25682.625,25748.25
2026-01-19 08:31:00+00:00,2026-01-19 08:38:00+00:00,25379.625,25405.5,bullish,43.45,target,0.0,London AM,7,25373.875,25402.25
2026-01-26 15:42:00+00:00,2026-01-26 15:45:00+00:00,25847.5,25839.75,bullish,-29.8,stop_loss,0.0,NY AM,3,25833.5,25886.75
2026-01-27 15:52:00+00:00,2026-01-27 15:53:00+00:00,26073.5,26066.0,bullish,-11.8,stop_loss,0.0,NY AM,1,26068.5,26098.5
