entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,gap_size,bars_held
2024-01-02 07:15:00+00:00,2024-01-02 08:55:00+00:00,17013.125,17026.5,bearish,-6.6875,time_exit,365.0,20
2024-01-02 07:20:00+00:00,2024-01-02 09:00:00+00:00,17014.875,17020.0,bearish,-2.5625,time_exit,295.0,20
2024-01-02 07:25:00+00:00,2024-01-02 07:40:00+00:00,17019.75,17014.75,bearish,1.625,gap_fill,130.0,3
2024-01-02 07:30:00+00:00,2024-01-02 08:00:00+00:00,17019.75,17028.25,bullish,1.25,gap_fill,100.0,6
2024-01-02 07:40:00+00:00,2024-01-02 08:00:00+00:00,17017.25,17028.25,bullish,1.75,gap_fill,140.0,4
2024-01-02 07:45:00+00:00,2024-01-02 08:00:00+00:00,17016.25,17028.25,bullish,2.125,gap_fill,170.0,3
2024-01-02 07:50:00+00:00,2024-01-02 07:55:00+00:00,17016.25,17018.0,bearish,1.25,gap_fill,100.0,1
2024-01-02 07:55:00+00:00,2024-01-02 08:00:00+00:00,17015.875,17028.25,bullish,1.1875,gap_fill,95.0,1
2024-01-02 08:00:00+00:00,2024-01-02 09:05:00+00:00,17021.625,17009.75,bearish,3.4375,gap_fill,275.0,13
2024-01-02 08:05:00+00:00,2024-01-02 09:05:00+00:00,17022.625,17009.75,bearish,4.5625,gap_fill,365.0,12
2024-01-02 08:10:00+00:00,2024-01-02 08:15:00+00:00,17025.625,17028.5,bullish,1.4375,gap_fill,115.0,1
2024-01-02 08:15:00+00:00,2024-01-02 09:00:00+00:00,17025.875,17020.0,bearish,1.5625,gap_fill,125.0,9
2024-01-02 08:20:00+00:00,2024-01-02 09:00:00+00:00,17027.125,17020.0,bearish,2.1875,gap_fill,175.0,8
2024-01-02 08:25:00+00:00,2024-01-02 09:00:00+00:00,17028.5,17020.0,bearish,3.0,gap_fill,240.0,7
2024-01-02 08:30:00+00:00,2024-01-02 09:00:00+00:00,17030.625,17020.0,bearish,3.0625,gap_fill,245.0,6
2024-01-02 08:35:00+00:00,2024-01-02 08:45:00+00:00,17032.875,17029.25,bearish,1.6875,gap_fill,135.0,2
2024-01-02 08:45:00+00:00,2024-01-02 09:05:00+00:00,17032.125,17009.75,bullish,-8.25,stop_loss,165.0,4
2024-01-02 08:50:00+00:00,2024-01-02 09:05:00+00:00,17031.0,17009.75,bullish,-7.5,stop_loss,150.0,3
2024-01-02 08:55:00+00:00,2024-01-02 09:05:00+00:00,17029.5,17009.75,bullish,-8.5,stop_loss,170.0,2
2024-01-02 09:00:00+00:00,2024-01-02 09:10:00+00:00,17025.125,17002.75,bullish,-10.25,stop_loss,205.0,2
2024-01-02 09:05:00+00:00,2024-01-02 10:45:00+00:00,17019.375,16990.0,bullish,-14.6875,time_exit,445.0,20
2024-01-02 09:10:00+00:00,2024-01-02 10:50:00+00:00,17014.875,16979.25,bullish,-17.8125,time_exit,545.0,20
2024-01-02 09:15:00+00:00,2024-01-02 10:55:00+00:00,17009.25,16969.25,bullish,-20.0,time_exit,440.0,20
2024-01-02 09:20:00+00:00,2024-01-02 10:55:00+00:00,17006.125,16969.25,bullish,-15.75,stop_loss,315.0,19
2024-01-02 09:25:00+00:00,2024-01-02 09:35:00+00:00,17001.875,16998.0,bearish,1.8125,gap_fill,145.0,2
2024-01-02 09:30:00+00:00,2024-01-02 09:35:00+00:00,17001.875,16998.0,bearish,1.8125,gap_fill,145.0,1
2024-01-02 09:35:00+00:00,2024-01-02 10:50:00+00:00,17000.75,16979.25,bullish,-9.5,stop_loss,190.0,15
2024-01-02 09:40:00+00:00,2024-01-02 11:00:00+00:00,16997.875,16973.25,bullish,-15.25,stop_loss,305.0,16
2024-01-02 09:45:00+00:00,2024-01-02 10:50:00+00:00,16999.375,16979.25,bullish,-9.25,stop_loss,185.0,13
2024-01-02 09:50:00+00:00,2024-01-02 09:55:00+00:00,16994.375,16994.25,bearish,2.0625,gap_fill,165.0,1
2024-01-02 09:55:00+00:00,2024-01-02 10:55:00+00:00,16994.5,16969.25,bullish,-10.5,stop_loss,210.0,12
2024-01-02 10:00:00+00:00,2024-01-02 10:10:00+00:00,16992.375,16985.5,bearish,2.3125,gap_fill,185.0,2
