slow_length,entry_line,exit_type,mtf_slope_filter,sl_pct,tp_pct,trade_count,win_rate_pct,profit_factor,avg_hold_bars,total_pnl,sharpe,pct_sl,pct_tp,pct_timeout
400,mid,upper_rail,False,0.01,0.03,4478,70.4,1.0133,76.8,9211.5,0.21,13.8,0.1,0.3
500,lower,timeout,False,0.01,0.02,1729,45.0,1.0132,330.9,9231.0,0.16,38.0,12.8,49.2
400,upper,upper_rail,True,0.005,0.02,3865,58.2,1.0131,36.5,3980.0,0.15,14.5,0.7,0.2
500,upper,timeout,False,0.02,0.01,1695,56.3,1.0125,334.2,8312.0,0.15,13.0,37.6,49.3
300,lower,timeout,True,0.01,0.03,630,44.8,1.0124,372.2,3111.5,0.09,35.9,4.4,59.7
500,upper,timeout,True,0.02,0.01,1238,55.8,1.0109,345.7,5192.0,0.11,12.0,36.3,51.7
400,lower,midline,False,0.005,0.02,4935,63.2,1.0098,45.3,6932.0,0.2,29.1,0.0,0.0
400,lower,timeout,False,0.01,0.01,2126,50.8,1.0098,257.0,7681.5,0.14,35.2,35.8,29.0
200,upper,timeout,True,0.01,0.02,1427,45.6,1.0095,348.9,5317.0,0.1,35.9,11.8,52.2
400,lower,midline,False,0.005,0.03,4935,63.2,1.009,45.3,6337.0,0.18,29.1,0.0,0.0
400,lower,timeout,True,0.02,0.03,485,50.3,1.0074,434.6,1599.5,0.05,14.2,4.7,81.0
400,lower,timeout,False,0.01,0.02,1845,45.0,1.0072,324.4,5464.0,0.09,39.4,12.9,47.7
300,mid,midline,False,0.005,0.03,10073,45.0,1.007,35.3,5585.0,0.12,12.1,0.4,0.0
400,lower,timeout,False,0.005,0.01,2837,37.4,1.0067,169.4,5375.5,0.11,59.1,27.7,13.2
400,upper,timeout,True,0.02,0.02,1166,51.2,1.0065,418.9,3290.5,0.06,13.9,13.7,72.4
400,lower,midline,False,0.005,0.01,4945,63.2,1.0062,45.0,4351.0,0.13,29.1,0.9,0.0
300,lower,upper_rail,False,0.005,0.03,4441,55.1,1.0059,71.5,4817.0,0.11,37.9,0.1,0.0
200,lower,timeout,False,0.01,0.02,2053,44.4,1.0052,320.1,4383.0,0.07,39.8,13.6,46.6
300,lower,timeout,False,0.005,0.01,3067,37.3,1.0049,168.0,4247.0,0.08,59.0,27.9,13.0
400,upper,timeout,True,0.02,0.03,1118,50.4,1.0046,441.4,2207.0,0.04,13.7,5.1,81.2
400,lower,upper_rail,False,0.005,0.01,3767,53.2,1.0044,80.8,3314.5,0.08,41.6,3.8,0.1
400,upper,timeout,True,0.005,0.03,1486,32.2,1.0041,258.3,1873.0,0.04,62.7,3.8,33.5
300,mid,midline,False,0.005,0.01,10286,45.9,1.0038,31.2,3062.0,0.08,11.9,4.5,0.0
200,lower,midline,False,0.005,0.01,8172,65.4,1.0034,30.4,3064.0,0.09,20.8,0.4,0.0
300,lower,upper_rail,False,0.005,0.01,4489,55.3,1.0032,69.9,2610.5,0.06,37.8,3.3,0.0
300,lower,upper_rail,False,0.005,0.02,4442,55.2,1.0029,71.4,2401.0,0.06,37.9,0.2,0.0
200,lower,midline,False,0.005,0.03,8162,65.4,1.0027,30.4,2394.5,0.07,20.8,0.0,0.0
200,lower,midline,False,0.005,0.02,8162,65.4,1.0024,30.4,2184.5,0.06,20.8,0.0,0.0
200,mid,timeout,True,0.005,0.02,1242,32.3,1.0018,246.4,643.5,0.02,60.3,8.9,30.8
300,mid,midline,True,0.005,0.02,2382,53.3,1.0011,31.0,190.0,0.01,12.4,1.0,0.0
200,upper,midline,True,0.01,0.02,3745,38.7,1.0001,50.1,50.0,0.0,5.1,1.2,0.0
400,mid,midline,True,0.005,0.01,2183,52.1,0.9999,31.3,-19.5,-0.0,11.6,4.3,0.0
400,mid,timeout,True,0.005,0.01,1125,37.5,0.9997,202.5,-87.5,-0.0,56.6,26.5,16.9
200,upper,midline,True,0.01,0.01,3831,39.2,0.9991,46.6,-404.0,-0.01,5.0,5.7,0.0
200,lower,timeout,False,0.02,0.03,1597,49.6,0.9989,431.1,-828.5,-0.01,15.7,5.5,78.8
200,upper,midline,True,0.01,0.03,3730,38.6,0.9987,50.8,-547.5,-0.01,5.1,0.4,0.0
500,mid,timeout,False,0.02,0.01,1759,56.3,0.9981,334.2,-1310.5,-0.02,13.5,37.9,48.7
300,lower,timeout,False,0.01,0.03,1830,43.2,0.9975,346.2,-1898.0,-0.03,40.0,5.2,54.8
400,lower,timeout,False,0.02,0.02,1534,52.3,0.9975,407.0,-1763.0,-0.03,15.5,13.5,71.0
400,lower,upper_rail,False,0.01,0.02,3036,62.0,0.997,116.8,-2145.5,-0.04,22.0,0.3,0.3
400,upper,upper_rail,True,0.01,0.03,3791,60.6,0.9969,49.8,-1007.0,-0.03,6.7,0.2,0.3
400,mid,upper_rail,False,0.005,0.01,5428,64.4,0.9967,51.7,-2501.0,-0.07,28.9,1.7,0.1
500,lower,midline,False,0.01,0.01,3672,69.2,0.9961,70.4,-2426.5,-0.06,15.4,1.4,0.0
400,mid,midline,True,0.02,0.01,2162,53.5,0.9958,41.2,-686.5,-0.03,1.2,4.3,0.0
300,upper,upper_rail,False,0.01,0.03,8430,56.7,0.9955,40.7,-3107.0,-0.07,5.8,0.2,0.1
400,upper,upper_rail,True,0.005,0.01,3882,58.4,0.995,33.9,-1527.5,-0.07,14.2,3.0,0.1
400,mid,upper_rail,True,0.005,0.03,1539,63.7,0.995,65.7,-1114.5,-0.05,28.8,0.1,0.3
500,lower,midline,False,0.01,0.02,3660,69.2,0.9948,70.8,-3254.0,-0.08,15.4,0.1,0.0
300,mid,midline,False,0.005,0.02,10114,45.1,0.9948,34.3,-4158.0,-0.09,12.1,1.1,0.0
400,mid,upper_rail,False,0.005,0.02,5403,64.2,0.9943,52.5,-4347.0,-0.11,29.0,0.3,0.1
500,lower,midline,False,0.01,0.03,3660,69.2,0.994,70.9,-3756.0,-0.09,15.4,0.0,0.0
400,lower,midline,False,0.01,0.02,4353,69.1,0.9939,60.5,-4193.5,-0.1,13.6,0.0,0.0
200,lower,timeout,False,0.005,0.01,3412,36.9,0.9937,164.5,-6151.0,-0.12,59.5,28.2,12.3
400,lower,upper_rail,False,0.01,0.01,3071,62.4,0.9934,114.5,-4734.0,-0.1,21.8,4.9,0.2
400,lower,upper_rail,False,0.01,0.03,3033,62.0,0.9934,117.0,-4754.5,-0.1,22.0,0.0,0.3
300,upper,midline,True,0.01,0.02,2915,36.5,0.9931,69.4,-2697.0,-0.07,5.7,2.0,0.0
400,upper,upper_rail,False,0.02,0.03,7258,57.6,0.9931,51.5,-4318.0,-0.08,2.1,0.3,0.3
400,lower,midline,False,0.01,0.03,4353,69.1,0.993,60.5,-4788.5,-0.11,13.6,0.0,0.0
200,lower,timeout,True,0.01,0.01,1112,50.1,0.9929,285.7,-2818.5,-0.07,32.7,33.0,34.3
300,lower,midline,False,0.005,0.03,6011,64.0,0.9927,39.0,-5642.0,-0.15,25.7,0.0,0.0
200,upper,timeout,True,0.01,0.03,1369,44.5,0.9926,370.1,-4007.5,-0.07,36.3,4.8,58.9
500,lower,timeout,False,0.01,0.01,1957,50.3,0.9924,261.7,-5509.0,-0.1,35.1,34.8,30.1
200,mid,timeout,True,0.02,0.01,1213,55.4,0.9923,338.5,-3738.0,-0.08,12.7,37.8,49.5
300,lower,midline,False,0.005,0.02,6011,64.0,0.9922,39.0,-6031.0,-0.16,25.7,0.1,0.0
400,mid,upper_rail,True,0.005,0.02,1541,63.7,0.9922,65.1,-1729.5,-0.09,28.8,0.3,0.2
400,mid,upper_rail,False,0.02,0.01,4107,72.2,0.992,91.0,-5338.0,-0.11,4.7,2.1,0.5
400,mid,upper_rail,True,0.005,0.01,1546,63.8,0.9917,64.4,-1836.5,-0.09,28.8,1.5,0.1
400,mid,upper_rail,False,0.02,0.02,4081,72.1,0.9912,92.1,-5874.5,-0.12,4.8,0.3,0.6
300,lower,midline,False,0.005,0.01,6021,64.0,0.9912,38.9,-6807.5,-0.18,25.7,0.6,0.0
300,upper,midline,True,0.005,0.02,2935,35.2,0.9912,62.3,-3425.5,-0.1,17.0,2.0,0.0
500,lower,upper_rail,False,0.01,0.01,2598,62.4,0.9911,131.6,-5861.5,-0.13,24.2,6.3,1.3
400,lower,midline,False,0.01,0.01,4362,69.2,0.9901,60.3,-6847.0,-0.16,13.6,1.1,0.0
200,lower,upper_rail,False,0.005,0.03,5922,56.8,0.9898,56.2,-9671.5,-0.23,31.8,0.1,0.0
200,lower,timeout,False,0.005,0.03,2607,30.6,0.9896,237.8,-8463.5,-0.14,65.0,3.9,31.1
500,lower,midline,False,0.005,0.01,4230,62.2,0.9895,50.8,-6868.5,-0.21,31.9,1.0,0.0
400,lower,timeout,False,0.01,0.03,1760,43.7,0.9895,347.6,-7735.0,-0.12,40.1,4.8,55.1
200,upper,timeout,True,0.005,0.02,1739,32.2,0.9894,239.9,-5577.5,-0.12,62.4,9.1,28.4
400,lower,upper_rail,False,0.02,0.02,2696,65.2,0.9893,141.2,-7230.0,-0.14,8.0,0.2,0.9
500,lower,timeout,False,0.01,0.03,1674,43.9,0.9893,352.3,-7354.0,-0.12,38.4,4.7,56.9
400,mid,upper_rail,False,0.005,0.03,5400,64.1,0.9892,52.7,-8342.0,-0.22,29.1,0.1,0.1
300,lower,timeout,False,0.01,0.01,2270,50.2,0.9892,253.8,-9107.0,-0.16,35.8,35.6,28.5
300,mid,upper_rail,False,0.02,0.03,5092,71.6,0.9891,73.5,-7933.5,-0.16,3.5,0.1,0.1
400,mid,midline,True,0.02,0.02,2152,53.4,0.9888,44.8,-1832.0,-0.07,1.3,1.2,0.1
400,lower,upper_rail,False,0.02,0.03,2695,65.3,0.9884,141.4,-7775.5,-0.15,8.0,0.0,0.9
400,mid,upper_rail,False,0.02,0.03,4078,72.1,0.9884,92.3,-7714.0,-0.16,4.8,0.1,0.6
200,lower,timeout,False,0.02,0.02,1679,51.0,0.9883,407.5,-8835.0,-0.14,15.7,14.0,70.3
300,upper,timeout,True,0.005,0.01,1858,37.2,0.9879,189.8,-6293.5,-0.16,57.8,27.2,15.0
200,lower,upper_rail,False,0.005,0.01,5955,57.0,0.9877,55.6,-11697.0,-0.28,31.8,2.1,0.0
200,lower,upper_rail,False,0.005,0.02,5922,56.8,0.9874,56.2,-12034.0,-0.29,31.8,0.1,0.0
500,lower,upper_rail,False,0.005,0.01,3218,51.5,0.9872,91.0,-8749.5,-0.23,44.5,4.8,0.5
400,mid,timeout,False,0.02,0.02,1597,49.0,0.9868,410.0,-9428.0,-0.14,15.0,13.7,71.3
500,mid,timeout,False,0.005,0.01,2879,37.1,0.9867,171.8,-10865.5,-0.22,59.2,27.6,13.2
400,lower,upper_rail,False,0.02,0.01,2735,65.7,0.9867,138.2,-9028.5,-0.18,8.0,5.2,0.7
500,lower,timeout,True,0.01,0.01,508,48.6,0.9862,296.0,-2453.0,-0.11,30.5,31.5,38.0
200,lower,midline,False,0.02,0.03,7221,68.4,0.9858,40.6,-11978.5,-0.26,2.0,0.0,0.0
200,lower,timeout,False,0.02,0.01,2024,57.0,0.9857,325.4,-11906.0,-0.19,14.4,38.8,46.8
200,lower,midline,False,0.02,0.02,7221,68.4,0.9855,40.6,-12188.5,-0.26,2.0,0.0,0.0
300,mid,upper_rail,False,0.005,0.03,6601,65.4,0.9853,44.3,-12555.0,-0.31,26.3,0.2,0.0
500,lower,midline,True,0.005,0.01,627,60.4,0.9852,66.7,-1510.5,-0.13,33.8,1.6,0.0
200,lower,midline,False,0.01,0.03,7482,67.9,0.985,37.3,-13103.5,-0.31,7.9,0.0,0.0
300,mid,timeout,True,0.01,0.01,1057,49.1,0.9849,291.3,-5716.5,-0.16,31.4,33.5,35.1
200,lower,midline,False,0.01,0.02,7482,67.9,0.9848,37.3,-13313.5,-0.32,7.9,0.0,0.0
200,lower,timeout,True,0.005,0.03,1034,31.8,0.9847,258.5,-4758.0,-0.12,62.0,3.8,34.2
300,lower,timeout,False,0.01,0.02,1927,44.2,0.9844,322.5,-12439.0,-0.2,39.8,12.8,47.4
