timestamp,month,pnl_base,pnl_dep,cum_baseline,cum_deployed
1743531360000000000,2025-04,-26.8,0.0,-26.8,0.0
1743577380000000000,2025-04,-59.3,-59.3,-86.1,-59.3
1743579780000000000,2025-04,-61.8,-61.8,-147.89999999999998,-121.1
1743601440000000000,2025-04,123.2,123.2,-24.699999999999974,2.1000000000000085
1743603300000000000,2025-04,85.7,85.7,61.00000000000003,87.80000000000001
1743603960000000000,2025-04,210.7,210.7,271.70000000000005,298.5
1743617760000000000,2025-04,-26.8,0.0,244.90000000000003,298.5
1743618420000000000,2025-04,93.2,93.2,338.1,391.7
1743619920000000000,2025-04,-46.8,0.0,291.3,391.7
1743620520000000000,2025-04,-109.3,-109.3,182.0,282.4
1743687360000000000,2025-04,-54.3,-54.3,127.7,228.09999999999997
1743687660000000000,2025-04,-174.3,-174.3,-46.60000000000001,53.799999999999955
1743688620000000000,2025-04,-91.8,-91.8,-138.4,-38.00000000000004
1743689940000000000,2025-04,-69.3,-69.3,-207.7,-107.30000000000004
1743690900000000000,2025-04,-269.3,-269.3,-477.0,-376.6
1743793320000000000,2025-04,298.2,298.2,-178.8,-78.40000000000003
1744031520000000000,2025-04,208.2,208.2,29.399999999999977,129.79999999999995
1744033560000000000,2025-04,-104.3,-104.3,-74.90000000000002,25.499999999999957
1744119600000000000,2025-04,60.7,60.7,-14.200000000000017,86.19999999999996
1744120320000000000,2025-04,-99.3,-99.3,-113.50000000000001,-13.100000000000037
1744123560000000000,2025-04,115.7,115.7,2.1999999999999886,102.59999999999997
1744395300000000000,2025-04,38.2,38.2,40.39999999999999,140.79999999999995
1744396320000000000,2025-04,93.2,93.2,133.6,233.99999999999994
1744639860000000000,2025-04,205.7,0.0,339.29999999999995,233.99999999999994
1744642860000000000,2025-04,155.7,155.7,494.99999999999994,389.69999999999993
1744726440000000000,2025-04,-126.8,-126.8,368.19999999999993,262.8999999999999
1744726980000000000,2025-04,-89.05,0.0,279.1499999999999,262.8999999999999
1745481660000000000,2025-04,15.7,15.7,294.8499999999999,278.5999999999999
1745499780000000000,2025-04,-19.3,-19.3,275.5499999999999,259.2999999999999
1745502540000000000,2025-04,40.7,40.7,316.2499999999999,299.9999999999999
1745504700000000000,2025-04,-26.8,-26.8,289.4499999999999,273.1999999999999
1745505840000000000,2025-04,103.2,103.2,392.64999999999986,376.39999999999986
1745565420000000000,2025-04,142.2,142.2,534.8499999999999,518.5999999999999
1745588640000000000,2025-04,-126.8,-126.8,408.0499999999999,391.7999999999999
1745590920000000000,2025-04,-129.3,-129.3,278.7499999999999,262.4999999999999
1745592480000000000,2025-04,40.7,40.7,319.4499999999999,303.1999999999999
1745849040000000000,2025-04,135.7,135.7,455.14999999999986,438.89999999999986
1745912580000000000,2025-04,-24.3,-24.3,430.84999999999985,414.59999999999985
1745935920000000000,2025-04,69.2,69.2,500.04999999999984,483.79999999999984
