entry_time,direction,entry,stop,target,pnl,exit_reason,quality_score,killzone_window,fvg_size,date
2025-09-24 20:10:00,bullish,24749.25,24740.25,24767.25,-180.0,stop,78.18468601337032,,190.0,2025-09-24
2025-09-24 20:25:00,bullish,24748.375,24740.6875,24763.75,-153.75,stop,73.43468601337032,,255.0,2025-09-24
2025-09-24 20:30:00,bullish,24747.5,24741.125,24760.25,-127.5,stop,65.18468601337032,,150.0,2025-09-24
2025-11-10 09:35:00,bullish,25539.75,24798.375,27022.5,3640.0,timeout,69.22428165311885,,420.0,2025-11-10
