date,daily_pnl,cumulative_pnl,drawdown
2025-05-22,-798.0,-798.0,0.0
2025-05-23,404.5,-393.5,0.0
2025-05-26,-131.5,-525.0,131.5
2025-05-28,-163.0,-688.0,294.5
2025-05-29,154.5,-533.5,140.0
2025-06-11,958.5,425.0,0.0
2025-06-13,-1049.0,-624.0,1049.0
2025-06-15,-314.0,-938.0,1363.0
2025-06-16,1210.0,272.0,153.0
2025-06-18,196.5,468.5,0.0
2025-06-20,-403.0,65.5,403.0
2025-06-23,929.5,995.0,0.0
2025-06-25,194.5,1189.5,0.0
2025-06-26,233.5,1423.0,0.0
2025-06-27,-793.0,630.0,793.0
2025-06-30,318.0,948.0,475.0
2025-07-03,146.0,1094.0,329.0
2025-07-07,49.0,1143.0,280.0
2025-07-10,-70.5,1072.5,350.5
2025-07-11,-987.0,85.5,1337.5
2025-07-14,-855.5,-770.0,2193.0
2025-07-16,-618.0,-1388.0,2811.0
2025-07-17,-592.0,-1980.0,3403.0
2025-07-18,679.5,-1300.5,2723.5
2025-07-21,-433.0,-1733.5,3156.5
2025-07-24,-337.5,-2071.0,3494.0
2025-07-25,-558.0,-2629.0,4052.0
2025-07-28,-54.5,-2683.5,4106.5
2025-07-30,833.5,-1850.0,3273.0
2025-07-31,1438.5,-411.5,1834.5
2025-08-04,446.0,34.5,1388.5
2025-08-06,-266.5,-232.0,1655.0
2025-08-07,346.5,114.5,1308.5
2025-08-08,-329.0,-214.5,1637.5
2025-08-11,-492.0,-706.5,2129.5
2025-08-13,49.5,-657.0,2080.0
2025-08-15,208.5,-448.5,1871.5
2025-08-22,-991.5,-1440.0,2863.0
2025-08-27,-324.0,-1764.0,3187.0
2025-08-28,19.0,-1745.0,3168.0
2025-09-03,958.5,-786.5,2209.5
2025-09-05,2554.5,1768.0,0.0
2025-09-10,733.5,2501.5,0.0
2025-09-11,-591.5,1910.0,591.5
2025-09-15,323.5,2233.5,268.0
2025-09-17,29.5,2263.0,238.5
2025-09-18,-420.5,1842.5,659.0
2025-09-19,-279.0,1563.5,938.0
2025-09-22,-187.0,1376.5,1125.0
2025-09-24,-254.0,1122.5,1379.0
2025-09-25,108.5,1231.0,1270.5
2025-09-26,-528.5,702.5,1799.0
2025-09-29,-129.0,573.5,1928.0
2025-10-02,471.0,1044.5,1457.0
2025-10-03,210.5,1255.0,1246.5
2025-10-06,306.5,1561.5,940.0
2025-10-08,-216.0,1345.5,1156.0
2025-10-09,721.5,2067.0,434.5
2025-10-10,1079.5,3146.5,0.0
2025-10-13,849.5,3996.0,0.0
2025-10-15,774.0,4770.0,0.0
2025-10-16,-729.0,4041.0,729.0
2025-10-17,1217.5,5258.5,0.0
2025-10-20,-179.0,5079.5,179.0
2025-10-23,-444.0,4635.5,623.0
2025-10-24,646.0,5281.5,0.0
2025-10-29,399.5,5681.0,0.0
2025-10-30,749.0,6430.0,0.0
2025-11-03,40.5,6470.5,0.0
