entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,ml_prediction,killzone_window,bars_held
2025-11-04 15:02:00+00:00,2025-11-04 15:03:00+00:00,25876.125,25874.0,bullish,2.4375,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25866.25,25873.25,bullish,8.125,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25867.0,25873.25,bullish,5.75,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25854.375,25873.25,bullish,8.3125,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25842.0,25873.25,bullish,6.5,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25841.0,25873.25,bullish,6.25,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25857.125,25873.25,bullish,5.8125,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25854.375,25873.25,bullish,4.8125,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25867.75,25873.25,bullish,5.75,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25866.5,25873.25,bullish,3.625,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25868.375,25873.25,bullish,3.5625,target,0.0,NY AM,1
2025-11-04 15:29:00+00:00,2025-11-04 15:52:00+00:00,25878.75,25811.0,bullish,-30.0,stop_loss,0.0,NY AM,23
2025-11-04 15:30:00+00:00,2025-11-04 15:42:00+00:00,25876.75,25884.25,bullish,6.375,target,0.0,NY AM,12
2025-11-04 15:31:00+00:00,2025-11-04 15:40:00+00:00,25865.125,25874.5,bullish,5.0625,target,0.0,NY AM,9
2025-11-04 15:32:00+00:00,2025-11-04 15:40:00+00:00,25866.25,25874.5,bullish,3.75,target,0.0,NY AM,8
2025-11-04 15:33:00+00:00,2025-11-04 15:40:00+00:00,25858.75,25874.5,bullish,6.875,target,0.0,NY AM,7
2025-11-04 15:34:00+00:00,2025-11-04 15:36:00+00:00,25858.0,25861.0,bullish,6.0,target,0.0,NY AM,2
2025-11-04 15:37:00+00:00,2025-11-04 15:38:00+00:00,25858.25,25856.0,bullish,4.375,target,0.0,NY AM,1
2025-11-04 15:38:00+00:00,2025-11-04 15:39:00+00:00,25859.625,25870.5,bullish,5.1875,target,0.0,NY AM,1
2025-11-04 15:44:00+00:00,2025-11-04 15:48:00+00:00,25881.0,25838.25,bullish,-18.5,stop_loss,0.0,NY AM,4
2025-11-04 15:46:00+00:00,2025-11-04 15:52:00+00:00,25871.75,25811.0,bullish,-30.0,stop_loss,0.0,NY AM,6
2025-11-04 15:47:00+00:00,2025-11-04 15:53:00+00:00,25864.5,25808.25,bullish,-29.5,stop_loss,0.0,NY AM,6
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25866.25,25873.25,bullish,8.125,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25867.0,25873.25,bullish,5.75,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25854.375,25873.25,bullish,8.3125,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25842.0,25873.25,bullish,6.5,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25841.0,25873.25,bullish,6.25,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25857.125,25873.25,bullish,5.8125,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25854.375,25873.25,bullish,4.8125,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25867.75,25873.25,bullish,5.75,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25866.5,25873.25,bullish,3.625,target,0.0,NY AM,1
2025-11-04 15:27:00+00:00,2025-11-04 15:28:00+00:00,25868.375,25873.25,bullish,3.5625,target,0.0,NY AM,1
2025-11-04 15:29:00+00:00,2025-11-04 15:52:00+00:00,25878.75,25811.0,bullish,-30.0,stop_loss,0.0,NY AM,23
2025-11-04 15:30:00+00:00,2025-11-04 15:42:00+00:00,25876.75,25884.25,bullish,6.375,target,0.0,NY AM,12
2025-11-04 15:31:00+00:00,2025-11-04 15:40:00+00:00,25865.125,25874.5,bullish,5.0625,target,0.0,NY AM,9
2025-11-04 15:32:00+00:00,2025-11-04 15:40:00+00:00,25866.25,25874.5,bullish,3.75,target,0.0,NY AM,8
2025-11-04 15:33:00+00:00,2025-11-04 15:40:00+00:00,25858.75,25874.5,bullish,6.875,target,0.0,NY AM,7
2025-11-04 15:34:00+00:00,2025-11-04 15:36:00+00:00,25858.0,25861.0,bullish,6.0,target,0.0,NY AM,2
2025-11-04 15:37:00+00:00,2025-11-04 15:38:00+00:00,25858.25,25856.0,bullish,4.375,target,0.0,NY AM,1
2025-11-04 15:38:00+00:00,2025-11-04 15:39:00+00:00,25859.625,25870.5,bullish,5.1875,target,0.0,NY AM,1
2025-11-04 15:44:00+00:00,2025-11-04 15:48:00+00:00,25881.0,25838.25,bullish,-18.5,stop_loss,0.0,NY AM,4
2025-11-04 15:46:00+00:00,2025-11-04 15:52:00+00:00,25871.75,25811.0,bullish,-30.0,stop_loss,0.0,NY AM,6
2025-11-04 15:47:00+00:00,2025-11-04 15:53:00+00:00,25864.5,25808.25,bullish,-29.5,stop_loss,0.0,NY AM,6
2025-11-04 19:01:00+00:00,2025-11-04 19:02:00+00:00,25671.75,25678.75,bullish,4.625,target,0.0,NY PM,1
2025-11-04 19:05:00+00:00,2025-11-04 19:07:00+00:00,25682.375,25659.75,bullish,-12.25,stop_loss,0.0,NY PM,2
2025-11-04 19:07:00+00:00,2025-11-04 19:39:00+00:00,25671.0,25593.5,bullish,-29.5,stop_loss,0.0,NY PM,32
2025-11-04 19:08:00+00:00,2025-11-04 19:39:00+00:00,25666.0,25593.5,bullish,-31.0,stop_loss,0.0,NY PM,31
2025-11-04 19:09:00+00:00,2025-11-04 19:13:00+00:00,25660.375,25648.25,bullish,4.5625,target,0.0,NY PM,4
2025-11-04 19:10:00+00:00,2025-11-04 19:13:00+00:00,25652.75,25648.25,bullish,6.25,target,0.0,NY PM,3
2025-11-04 19:11:00+00:00,2025-11-04 19:13:00+00:00,25651.0,25648.25,bullish,5.125,target,0.0,NY PM,2
2025-11-04 19:13:00+00:00,2025-11-04 19:14:00+00:00,25653.25,25659.25,bullish,2.875,target,0.0,NY PM,1
2025-11-04 19:01:00+00:00,2025-11-04 19:02:00+00:00,25671.75,25678.75,bullish,4.625,target,0.0,NY PM,1
2025-11-04 19:05:00+00:00,2025-11-04 19:07:00+00:00,25682.375,25659.75,bullish,-12.25,stop_loss,0.0,NY PM,2
2025-11-04 19:07:00+00:00,2025-11-04 19:39:00+00:00,25671.0,25593.5,bullish,-29.5,stop_loss,0.0,NY PM,32
2025-11-04 19:08:00+00:00,2025-11-04 19:39:00+00:00,25666.0,25593.5,bullish,-31.0,stop_loss,0.0,NY PM,31
2025-11-04 19:09:00+00:00,2025-11-04 19:13:00+00:00,25660.375,25648.25,bullish,4.5625,target,0.0,NY PM,4
2025-11-04 19:10:00+00:00,2025-11-04 19:13:00+00:00,25652.75,25648.25,bullish,6.25,target,0.0,NY PM,3
2025-11-04 19:11:00+00:00,2025-11-04 19:13:00+00:00,25651.0,25648.25,bullish,5.125,target,0.0,NY PM,2
2025-11-04 19:13:00+00:00,2025-11-04 19:14:00+00:00,25653.25,25659.25,bullish,2.875,target,0.0,NY PM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25486.625,25514.75,bullish,5.3125,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25483.0,25514.75,bullish,2.375,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25483.375,25514.75,bullish,2.9375,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25480.125,25514.75,bullish,1.9375,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25498.0,25514.75,bullish,2.625,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25497.25,25514.75,bullish,3.625,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25491.625,25514.75,bullish,4.8125,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25485.0,25514.75,bullish,6.0,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25472.75,25514.75,bullish,9.625,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25475.625,25514.75,bullish,5.0625,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25476.375,25514.75,bullish,3.4375,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25475.125,25514.75,bullish,4.5625,target,0.0,London AM,1
2025-11-05 08:08:00+00:00,2025-11-05 08:09:00+00:00,25473.125,25514.75,bullish,2.5625,target,0.0,London AM,1
2025-11-05 08:12:00+00:00,2025-11-05 08:13:00+00:00,25518.75,25525.75,bullish,2.125,target,0.0,London AM,1
2025-11-05 08:15:00+00:00,2025-11-05 08:23:00+00:00,25523.875,25498.5,bullish,-12.25,stop_loss,0.0,London AM,8
2025-11-05 08:18:00+00:00,2025-11-05 08:33:00+00:00,25515.375,25530.25,bullish,5.1875,target,0.0,London AM,15
2025-11-05 08:19:00+00:00,2025-11-05 08:23:00+00:00,25518.125,25498.5,bullish,-10.75,stop_loss,0.0,London AM,4
2025-11-05 08:21:00+00:00,2025-11-05 08:23:00+00:00,25513.875,25498.5,bullish,-9.75,stop_loss,0.0,London AM,2
2025-11-05 08:22:00+00:00,2025-11-05 08:26:00+00:00,25511.5,25504.5,bullish,3.5,target,0.0,London AM,4
2025-11-05 08:23:00+00:00,2025-11-05 08:26:00+00:00,25504.75,25504.5,bullish,5.625,target,0.0,London AM,3
2025-11-05 08:24:00+00:00,2025-11-05 08:25:00+00:00,25501.875,25512.5,bullish,5.5625,target,0.0,London AM,1
2025-11-05 08:25:00+00:00,2025-11-05 08:26:00+00:00,25500.0,25504.5,bullish,3.0,target,0.0,London AM,1
2025-11-05 08:27:00+00:00,2025-11-05 08:28:00+00:00,25508.375,25516.5,bullish,2.3125,target,0.0,London AM,1
2025-11-05 15:00:00+00:00,2025-11-05 15:01:00+00:00,25681.5,25683.0,bullish,-8.0,stop_loss,0.0,NY AM,1
2025-11-05 15:02:00+00:00,2025-11-05 15:06:00+00:00,25675.875,25686.75,bullish,6.9375,target,0.0,NY AM,4
2025-11-05 15:03:00+00:00,2025-11-05 15:07:00+00:00,25673.125,25704.25,bullish,10.9375,target,0.0,NY AM,4
2025-11-05 15:04:00+00:00,2025-11-05 15:07:00+00:00,25668.5,25704.25,bullish,12.875,target,0.0,NY AM,3
2025-11-05 15:06:00+00:00,2025-11-05 15:07:00+00:00,25660.625,25704.25,bullish,6.5625,target,0.0,NY AM,1
2025-11-05 15:00:00+00:00,2025-11-05 15:01:00+00:00,25681.5,25683.0,bullish,-8.0,stop_loss,0.0,NY AM,1
2025-11-05 15:02:00+00:00,2025-11-05 15:06:00+00:00,25675.875,25686.75,bullish,6.9375,target,0.0,NY AM,4
2025-11-05 15:03:00+00:00,2025-11-05 15:07:00+00:00,25673.125,25704.25,bullish,10.9375,target,0.0,NY AM,4
2025-11-05 15:04:00+00:00,2025-11-05 15:07:00+00:00,25668.5,25704.25,bullish,12.875,target,0.0,NY AM,3
2025-11-05 15:06:00+00:00,2025-11-05 15:07:00+00:00,25660.625,25704.25,bullish,6.5625,target,0.0,NY AM,1
2025-11-05 15:00:00+00:00,2025-11-05 15:01:00+00:00,25681.5,25683.0,bullish,-8.0,stop_loss,0.0,NY AM,1
2025-11-05 15:02:00+00:00,2025-11-05 15:06:00+00:00,25675.875,25686.75,bullish,6.9375,target,0.0,NY AM,4
2025-11-05 15:03:00+00:00,2025-11-05 15:07:00+00:00,25673.125,25704.25,bullish,10.9375,target,0.0,NY AM,4
2025-11-05 15:04:00+00:00,2025-11-05 15:07:00+00:00,25668.5,25704.25,bullish,12.875,target,0.0,NY AM,3
2025-11-05 15:06:00+00:00,2025-11-05 15:07:00+00:00,25660.625,25704.25,bullish,6.5625,target,0.0,NY AM,1
2025-11-05 15:00:00+00:00,2025-11-05 15:01:00+00:00,25681.5,25683.0,bullish,-8.0,stop_loss,0.0,NY AM,1
2025-11-05 15:02:00+00:00,2025-11-05 15:06:00+00:00,25675.875,25686.75,bullish,6.9375,target,0.0,NY AM,4
2025-11-05 15:03:00+00:00,2025-11-05 15:07:00+00:00,25673.125,25704.25,bullish,10.9375,target,0.0,NY AM,4
2025-11-05 15:04:00+00:00,2025-11-05 15:07:00+00:00,25668.5,25704.25,bullish,12.875,target,0.0,NY AM,3
2025-11-05 15:06:00+00:00,2025-11-05 15:07:00+00:00,25660.625,25704.25,bullish,6.5625,target,0.0,NY AM,1
2025-11-05 15:00:00+00:00,2025-11-05 15:01:00+00:00,25681.5,25683.0,bullish,-8.0,stop_loss,0.0,NY AM,1
2025-11-05 15:02:00+00:00,2025-11-05 15:06:00+00:00,25675.875,25686.75,bullish,6.9375,target,0.0,NY AM,4
2025-11-05 15:03:00+00:00,2025-11-05 15:07:00+00:00,25673.125,25704.25,bullish,10.9375,target,0.0,NY AM,4
2025-11-05 15:04:00+00:00,2025-11-05 15:07:00+00:00,25668.5,25704.25,bullish,12.875,target,0.0,NY AM,3
2025-11-05 15:06:00+00:00,2025-11-05 15:07:00+00:00,25660.625,25704.25,bullish,6.5625,target,0.0,NY AM,1
2025-11-05 15:00:00+00:00,2025-11-05 15:01:00+00:00,25681.5,25683.0,bullish,-8.0,stop_loss,0.0,NY AM,1
2025-11-05 15:02:00+00:00,2025-11-05 15:06:00+00:00,25675.875,25686.75,bullish,6.9375,target,0.0,NY AM,4
2025-11-05 15:03:00+00:00,2025-11-05 15:07:00+00:00,25673.125,25704.25,bullish,10.9375,target,0.0,NY AM,4
2025-11-05 15:04:00+00:00,2025-11-05 15:07:00+00:00,25668.5,25704.25,bullish,12.875,target,0.0,NY AM,3
2025-11-05 15:06:00+00:00,2025-11-05 15:07:00+00:00,25660.625,25704.25,bullish,6.5625,target,0.0,NY AM,1
2025-11-05 15:07:00+00:00,2025-11-05 15:08:00+00:00,25610.25,25680.0,bullish,5.0,target,0.0,NY AM,1
2025-11-05 15:07:00+00:00,2025-11-05 15:08:00+00:00,25663.25,25680.0,bullish,4.0,target,0.0,NY AM,1
2025-11-05 15:07:00+00:00,2025-11-05 15:08:00+00:00,25681.5,25680.0,bullish,2.0,target,0.0,NY AM,1
2025-11-05 15:07:00+00:00,2025-11-05 15:08:00+00:00,25675.875,25680.0,bullish,6.9375,target,0.0,NY AM,1
2025-11-05 15:07:00+00:00,2025-11-05 15:08:00+00:00,25673.125,25680.0,bullish,10.9375,target,0.0,NY AM,1
2025-11-05 15:07:00+00:00,2025-11-05 15:08:00+00:00,25668.5,25680.0,bullish,12.875,target,0.0,NY AM,1
2025-11-05 15:07:00+00:00,2025-11-05 15:08:00+00:00,25660.625,25680.0,bullish,6.5625,target,0.0,NY AM,1
2025-11-05 15:09:00+00:00,2025-11-05 15:29:00+00:00,25690.125,25713.5,bullish,13.3125,target,0.0,NY AM,20
2025-11-05 15:10:00+00:00,2025-11-05 15:28:00+00:00,25685.75,25708.25,bullish,9.875,target,0.0,NY AM,18
2025-11-05 15:12:00+00:00,2025-11-05 15:24:00+00:00,25663.75,25681.75,bullish,8.625,target,0.0,NY AM,12
2025-11-05 15:13:00+00:00,2025-11-05 15:24:00+00:00,25666.0,25681.75,bullish,7.375,target,0.0,NY AM,11
2025-11-05 15:14:00+00:00,2025-11-05 15:24:00+00:00,25663.375,25681.75,bullish,5.6875,target,0.0,NY AM,10
2025-11-05 15:15:00+00:00,2025-11-05 15:19:00+00:00,25656.25,25665.25,bullish,6.25,target,0.0,NY AM,4
2025-11-05 15:16:00+00:00,2025-11-05 15:17:00+00:00,25652.125,25650.5,bullish,7.4375,target,0.0,NY AM,1
2025-11-05 15:18:00+00:00,2025-11-05 15:19:00+00:00,25653.875,25665.25,bullish,2.9375,target,0.0,NY AM,1
2025-11-05 15:21:00+00:00,2025-11-05 15:24:00+00:00,25650.5,25681.75,bullish,9.375,target,0.0,NY AM,3
2025-11-05 15:22:00+00:00,2025-11-05 15:24:00+00:00,25646.0,25681.75,bullish,13.75,target,0.0,NY AM,2
2025-11-05 15:23:00+00:00,2025-11-05 15:24:00+00:00,25639.0,25681.75,bullish,7.875,target,0.0,NY AM,1
2025-11-05 15:27:00+00:00,2025-11-05 15:28:00+00:00,25677.625,25708.25,bullish,5.3125,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25646.0,25712.75,bullish,13.75,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25639.0,25712.75,bullish,7.875,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25677.625,25712.75,bullish,5.3125,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:44:00+00:00,25696.375,25716.75,bullish,10.8125,target,0.0,NY AM,2
2025-11-05 15:42:00+00:00,2025-11-05 15:44:00+00:00,25699.25,25716.75,bullish,8.875,target,0.0,NY AM,2
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25699.625,25712.75,bullish,5.8125,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25701.25,25712.75,bullish,4.375,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25699.125,25712.75,bullish,6.6875,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25699.375,25712.75,bullish,5.5625,target,0.0,NY AM,1
2025-11-05 15:43:00+00:00,2025-11-05 15:44:00+00:00,25705.625,25716.75,bullish,4.0625,target,0.0,NY AM,1
2025-11-05 15:46:00+00:00,2025-11-05 15:47:00+00:00,25708.0,25719.0,bullish,5.75,target,0.0,NY AM,1
2025-11-05 15:50:00+00:00,2025-11-05 16:02:00+00:00,25712.0,25725.75,bullish,7.25,target,0.0,NY AM,12
2025-11-05 15:51:00+00:00,2025-11-05 16:27:00+00:00,25714.375,25735.5,bullish,11.0625,target,0.0,NY AM,36
2025-11-05 15:52:00+00:00,2025-11-05 15:59:00+00:00,25706.25,25719.75,bullish,7.125,target,0.0,NY AM,7
2025-11-05 15:54:00+00:00,2025-11-05 15:59:00+00:00,25704.875,25719.75,bullish,7.1875,target,0.0,NY AM,5
2025-11-05 15:55:00+00:00,2025-11-05 15:59:00+00:00,25705.625,25719.75,bullish,6.4375,target,0.0,NY AM,4
2025-11-05 15:57:00+00:00,2025-11-05 15:58:00+00:00,25692.5,25702.25,bullish,7.25,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25646.0,25712.75,bullish,13.75,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25639.0,25712.75,bullish,7.875,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25677.625,25712.75,bullish,5.3125,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:44:00+00:00,25696.375,25716.75,bullish,10.8125,target,0.0,NY AM,2
2025-11-05 15:42:00+00:00,2025-11-05 15:44:00+00:00,25699.25,25716.75,bullish,8.875,target,0.0,NY AM,2
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25699.625,25712.75,bullish,5.8125,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25701.25,25712.75,bullish,4.375,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25699.125,25712.75,bullish,6.6875,target,0.0,NY AM,1
2025-11-05 15:42:00+00:00,2025-11-05 15:43:00+00:00,25699.375,25712.75,bullish,5.5625,target,0.0,NY AM,1
2025-11-05 15:43:00+00:00,2025-11-05 15:44:00+00:00,25705.625,25716.75,bullish,4.0625,target,0.0,NY AM,1
2025-11-05 15:46:00+00:00,2025-11-05 15:47:00+00:00,25708.0,25719.0,bullish,5.75,target,0.0,NY AM,1
2025-11-05 15:50:00+00:00,2025-11-05 16:02:00+00:00,25712.0,25725.75,bullish,7.25,target,0.0,NY AM,12
2025-11-05 15:51:00+00:00,2025-11-05 16:27:00+00:00,25714.375,25735.5,bullish,11.0625,target,0.0,NY AM,36
2025-11-05 15:52:00+00:00,2025-11-05 15:59:00+00:00,25706.25,25719.75,bullish,7.125,target,0.0,NY AM,7
2025-11-05 15:54:00+00:00,2025-11-05 15:59:00+00:00,25704.875,25719.75,bullish,7.1875,target,0.0,NY AM,5
2025-11-05 15:55:00+00:00,2025-11-05 15:59:00+00:00,25705.625,25719.75,bullish,6.4375,target,0.0,NY AM,4
2025-11-05 15:57:00+00:00,2025-11-05 15:58:00+00:00,25692.5,25702.25,bullish,7.25,target,0.0,NY AM,1
2025-11-05 19:11:00+00:00,2025-11-05 19:12:00+00:00,25860.25,25844.0,bullish,-7.5,stop_loss,0.0,NY PM,1
2025-11-05 19:11:00+00:00,2025-11-05 19:12:00+00:00,25868.875,25844.0,bullish,-2.25,stop_loss,0.0,NY PM,1
2025-11-05 19:11:00+00:00,2025-11-05 19:12:00+00:00,25868.875,25844.0,bullish,-7.75,stop_loss,0.0,NY PM,1
2025-11-05 19:11:00+00:00,2025-11-05 19:12:00+00:00,25865.75,25844.0,bullish,-10.5,stop_loss,0.0,NY PM,1
2025-11-05 19:11:00+00:00,2025-11-05 19:12:00+00:00,25866.125,25844.0,bullish,-8.25,stop_loss,0.0,NY PM,1
2025-11-05 19:11:00+00:00,2025-11-05 19:25:00+00:00,25858.625,25867.75,bullish,4.0625,target,0.0,NY PM,14
2025-11-05 19:11:00+00:00,2025-11-05 19:25:00+00:00,25857.0,25867.75,bullish,5.375,target,0.0,NY PM,14
2025-11-05 19:11:00+00:00,2025-11-05 19:25:00+00:00,25852.0,25867.75,bullish,6.125,target,0.0,NY PM,14
2025-11-05 19:11:00+00:00,2025-11-05 19:12:00+00:00,25848.75,25844.0,bullish,3.375,target,0.0,NY PM,1
2025-11-05 19:11:00+00:00,2025-11-05 19:12:00+00:00,25844.375,25844.0,bullish,2.0625,target,0.0,NY PM,1
2025-11-05 19:11:00+00:00,2025-11-05 19:12:00+00:00,25840.0,25844.0,bullish,4.375,target,0.0,NY PM,1
