timestamp,funding_rate,ann_rate,position,carry_pnl,cost,net_pnl,equity
2024-11-01 00:00:00+00:00,0.0002740263228161,0.3000588234836295,1,0.0,0.0015,-0.0015,0.9985
2024-11-01 08:00:00+00:00,0.0003406750514771,0.3730391813674245,1,0.0003406750514771,0.0,0.0003406750514771,0.9988401640389
2024-11-01 16:00:00+00:00,0.0001025356492526,0.112276535931597,1,0.0001025356492526,0.0,0.0001025356492526,0.9989425807636192
2024-11-02 00:00:00+00:00,0.0002935340699045,0.32141980654542757,1,0.0002935340699045,0.0,0.0002935340699045,0.9992358044449515
2024-11-02 08:00:00+00:00,3.879303091664265e-05,0.042478368853723705,1,3.879303091664265e-05,0.0,3.879303091664265e-05,0.9992745678304065
2024-11-02 16:00:00+00:00,3.961833291907828e-05,0.04338207454639071,1,3.961833291907828e-05,0.0,3.961833291907828e-05,0.9993141574229123
2024-11-03 00:00:00+00:00,6.125951883546327e-05,0.06707917312483228,1,6.125951883546327e-05,0.0,6.125951883546327e-05,0.9993753749273614
2024-11-03 08:00:00+00:00,-9.427040280203012e-05,-0.10322609106822297,1,-9.427040280203012e-05,0.0,-9.427040280203012e-05,0.9992811634082165
2024-11-03 16:00:00+00:00,5.696279393899451e-05,0.062374259363198986,1,5.696279393899451e-05,0.0,5.696279393899451e-05,0.999338085255215
2024-11-04 00:00:00+00:00,0.0002161754249677,0.2367120903396315,1,0.0002161754249677,0.0,0.0002161754249677,0.9995541175904814
2024-11-04 08:00:00+00:00,0.0001634427833051,0.1789698477190845,1,0.0001634427833051,0.0,0.0001634427833051,0.9997174874975244
2024-11-04 16:00:00+00:00,0.000196741220356,0.21543163628982,1,0.000196741220356,0.0,0.000196741220356,0.999914173136026
2024-11-05 00:00:00+00:00,0.00024163068911,0.26458560457545,1,0.00024163068911,0.0,0.00024163068911,1.0001557830867318
2024-11-05 08:00:00+00:00,0.0002000261012422,0.219028580860209,1,0.0002000261012422,0.0,0.0002000261012422,1.0003558403486577
2024-11-05 16:00:00+00:00,-4.670686669837451e-05,-0.05114401903472009,1,-4.670686669837451e-05,0.0,-4.670686669837451e-05,1.0003091168617715
2024-11-06 00:00:00+00:00,0.0005683487106605,0.6223418381732475,1,0.0005683487106605,0.0,0.0005683487106605,1.0008776412586018
2024-11-06 08:00:00+00:00,0.0005367881970347,0.5877830757529965,1,0.0005367881970347,0.0,0.0005367881970347,1.0014149005631052
2024-11-06 16:00:00+00:00,0.0006239668572903,0.6832437087328785,1,0.0006239668572903,0.0,0.0006239668572903,1.0020397502714533
2024-11-07 00:00:00+00:00,0.0007349937510473,0.8048181573967934,1,0.0007349937510473,0.0,0.0007349937510473,1.0027762432262037
2024-11-07 08:00:00+00:00,0.0007364654325913,0.8064296486874735,1,0.0007364654325913,0.0,0.0007364654325913,1.0035147532659634
2024-11-07 16:00:00+00:00,0.0002947038975142,0.322700767778049,1,0.0002947038975142,0.0,0.0002947038975142,1.003810492974964
2024-11-08 00:00:00+00:00,0.000458630025532,0.50219987795754,1,0.000458630025532,0.0,0.000458630025532,1.0042708706069865
2024-11-08 08:00:00+00:00,0.0006165092993481,0.6750776827861695,1,0.0006165092993481,0.0,0.0006165092993481,1.0048900129377802
2024-11-08 16:00:00+00:00,0.0001358598562258,0.148766542567251,1,0.0001358598562258,0.0,0.0001358598562258,1.0050265371504608
2024-11-09 00:00:00+00:00,0.0001553147206946,0.17006961916058702,1,0.0001553147206946,0.0,0.0001553147206946,1.0051826325663689
2024-11-09 08:00:00+00:00,0.0002978981548707,0.32619847958341647,1,0.0002978981548707,0.0,0.0002978981548707,1.0054820746179185
2024-11-09 16:00:00+00:00,0.0004837278738983,0.5296820219186384,1,0.0004837278738983,0.0,0.0004837278738983,1.0059684543241163
2024-11-10 00:00:00+00:00,0.0009861676873354,1.079853617632263,1,0.0009861676873354,0.0,0.0009861676873354,1.0069605079082495
2024-11-10 08:00:00+00:00,0.0011260181203666,1.2329898418014271,1,0.0011260181203666,0.0,0.0011260181203666,1.0080943636866477
2024-11-10 16:00:00+00:00,0.0009794024236085,1.0724456538513074,1,0.0009794024236085,0.0,0.0009794024236085,1.0090816937496685
2024-11-11 00:00:00+00:00,0.0003469136899373,0.3798704904813436,1,0.0003469136899373,0.0,0.0003469136899373,1.0094317580034953
2024-11-11 08:00:00+00:00,0.0004808353994346,0.526514762380887,1,0.0004808353994346,0.0,0.0004808353994346,1.0099171285260569
2024-11-11 16:00:00+00:00,0.0009096209135632,0.9960349003517041,1,0.0009096209135632,0.0,0.0009096209135632,1.01083577026713
2024-11-12 00:00:00+00:00,0.001593395087506,1.7447676208190699,1,0.001593395087506,0.0,0.001593395087506,1.012446431017749
2024-11-12 08:00:00+00:00,0.0021728408450453,2.3792607253246034,1,0.0021728408450453,0.0,0.0021728408450453,1.0146463159764847
2024-11-12 16:00:00+00:00,0.0005701272321007,0.6242893191502665,1,0.0005701272321007,0.0,0.0005701272321007,1.0152247934721734
