date,month,hour,entry,exit,div,stop_usd,tp,stop,pnl,pnl_1c,win,reason,equity,trailing_dd
2025-05-02,2025-05,9,20103.0,20081.015520776487,21.98447922351084,43.96895844702168,20081.015520776487,20124.984479223513,39.16895844702522,39.16895844702522,True,TP,39.16895844702522,0.0
2025-05-02,2025-05,9,20074.75,20094.823960717076,20.073960717076975,40.14792143415395,20054.676039282924,20094.823960717076,-44.94792143415252,-44.94792143415252,False,STOP,-5.778962987127301,-44.94792143415252
2025-05-02,2025-05,10,20129.25,20150.690775620304,21.440775620304308,42.881551240608616,20107.809224379696,20150.690775620304,-47.68155124060722,-47.68155124060722,False,STOP,-53.46051422773452,-92.62947267475974
2025-05-05,2025-05,9,20034.0,20056.200570171888,22.20057017188715,44.4011403437743,20011.799429828112,20056.200570171888,-49.2011403437762,-49.2011403437762,False,STOP,-102.66165457151072,-141.83061301853593
2025-05-07,2025-05,15,20024.5,20002.31166839023,22.18833160977087,44.37666321954174,20002.31166839023,20046.68833160977,39.57666321954021,39.57666321954021,True,TP,-63.084991351970515,-102.25394979899573
2025-05-07,2025-05,15,20010.0,19975.78941331886,34.21058668114,68.42117336228,19975.78941331886,20044.21058668114,63.62117336227966,63.62117336227966,True,TP,0.5361820103091475,-38.63277643671607
2025-05-08,2025-05,10,20070.5,20049.07652027498,21.423479725019916,42.84695945003983,20049.07652027498,20091.92347972502,38.04695945004205,38.04695945004205,True,TP,38.5831414603512,-0.5858169866740184
2025-05-08,2025-05,11,20171.0,20191.009091965552,20.00909196555268,40.01818393110536,20150.990908034448,20191.009091965552,-44.81818393110443,-44.81818393110443,False,STOP,-6.235042470753228,-45.40400091777845
2025-05-09,2025-05,9,20227.5,20250.171442950013,22.671442950012768,45.342885900025536,20204.828557049987,20250.171442950013,-50.14288590002688,-50.14288590002688,False,STOP,-56.37792837078011,-95.54688681780533
2025-05-13,2025-05,9,21003.75,21044.105544722046,40.35554472204583,80.71108944409166,20963.394455277954,21044.105544722046,-85.51108944409206,-85.51108944409206,False,STOP,-141.88901781487218,-181.0579762618974
2025-05-13,2025-05,9,21087.25,21108.652357675273,21.40235767527295,42.8047153505459,21065.847642324727,21108.652357675273,-47.604715350546755,-47.604715350546755,False,STOP,-189.49373316541892,-228.66269161244412
2025-05-14,2025-05,9,21314.5,21334.727707636812,20.227707636810727,40.455415273621455,21294.272292363188,21334.727707636812,-45.255415273623655,-45.255415273623655,False,STOP,-234.74914843904259,-273.9181068860678
2025-05-14,2025-05,9,21362.0,21315.407222242822,46.5927777571774,93.1855555143548,21315.407222242822,21408.592777757178,88.38555551435566,88.38555551435566,True,TP,-146.36359292468694,-185.53255137171215
2025-05-16,2025-05,9,21429.5,21408.70781070727,20.792189292729,41.584378585458,21408.70781070727,21450.29218929273,36.78437858545949,36.78437858545949,True,TP,-109.57921433922745,-148.74817278625267
2025-05-19,2025-05,9,21305.25,21328.556610308588,23.306610308585746,46.61322061717149,21281.943389691412,21328.556610308588,-51.4132206171751,-51.4132206171751,False,STOP,-160.99243495640255,-200.16139340342778
2025-05-19,2025-05,10,21435.25,21426.0,55.5699727674616,111.1399455349232,21379.680027232538,21490.819972767462,13.7,13.7,True,TIME,-147.29243495640256,-186.4613934034278
2025-05-22,2025-05,9,21170.75,21200.369884447788,29.619884447787342,59.239768895574684,21141.130115552212,21200.369884447788,-64.03976889557525,-64.03976889557525,False,STOP,-211.3322038519778,-250.501162299003
2025-05-22,2025-05,9,21182.5,21133.156926034055,49.34307396594482,98.68614793188964,21133.156926034055,21231.843073965945,93.88614793189045,93.88614793189045,True,TP,-117.44605592008735,-156.61501436711256
2025-05-22,2025-05,10,21286.5,21307.30647553139,20.806475531389438,41.612951062778876,21265.69352446861,21307.30647553139,-46.412951062779754,-46.412951062779754,False,STOP,-163.8590069828671,-203.02796542989233
2025-05-23,2025-05,9,20935.25,20911.982855058908,23.26714494109023,46.53428988218046,20911.982855058908,20958.517144941092,41.73428988218366,41.73428988218366,True,TP,-122.12471710068344,-161.29367554770866
2025-05-23,2025-05,9,20888.25,20908.28249971946,20.032499719457324,40.06499943891465,20868.21750028054,20908.28249971946,-44.864999438916854,-44.864999438916854,False,STOP,-166.9897165396003,-206.1586749866255
2025-05-27,2025-05,9,21254.75,21231.275245949706,23.474754050293882,46.949508100587764,21231.275245949706,21278.224754050294,42.149508100587994,42.149508100587994,True,TP,-124.8402084390123,-164.00916688603752
2025-05-29,2025-05,9,21649.5,21619.905838383147,29.594161616853683,59.188323233707365,21619.905838383147,21679.094161616853,54.38832323370589,54.38832323370589,True,TP,-70.45188520530641,-109.62084365233163
2025-05-29,2025-05,10,21427.0,21405.527518718674,21.47248128132506,42.94496256265012,21405.527518718674,21448.472481281326,38.1449625626512,38.1449625626512,True,TP,-32.30692264265521,-71.47588108968043
2025-05-30,2025-05,9,21354.75,21333.41015173298,21.33984826702178,42.67969653404356,21333.41015173298,21376.08984826702,37.87969653403998,37.87969653403998,True,TP,5.57277389138477,-33.59618455564045
2025-06-03,2025-06,10,21837.25,21805.75,31.5,63.0,21805.75,21868.75,58.2,58.2,True,TP,63.77277389138477,0.0
2025-06-03,2025-06,14,21927.25,21891.5,35.75,71.5,21891.5,21963.0,66.7,66.7,True,TP,130.47277389138478,0.0
2025-06-03,2025-06,14,21921.75,21881.75,40.0,80.0,21881.75,21961.75,75.2,75.2,True,TP,205.6727738913848,0.0
2025-06-03,2025-06,15,21704.0,21727.75,23.75,47.5,21680.25,21727.75,-52.3,-52.3,False,STOP,153.37277389138478,-52.30000000000001
2025-06-04,2025-06,10,21891.5,21923.265026281708,31.76502628170701,63.53005256341402,21859.734973718292,21923.265026281708,-68.33005256341566,-68.33005256341566,False,STOP,85.04272132796912,-120.63005256341567
2025-06-04,2025-06,11,21994.75,21941.206843817163,53.543156182837606,107.08631236567521,21941.206843817163,22048.293156182837,102.28631236567453,102.28631236567453,True,TP,187.32903369364365,-18.34374019774114
2025-06-04,2025-06,11,21978.75,21953.52792587222,25.22207412778291,50.44414825556582,21953.52792587222,22003.97207412778,45.64414825556305,45.64414825556305,True,TP,232.97318194920672,0.0
2025-06-04,2025-06,12,21724.25,21753.329165320723,29.079165320721813,58.15833064144363,21695.170834679277,21753.329165320723,-62.95833064144681,-62.95833064144681,False,STOP,170.0148513077599,-62.95833064144682
2025-06-05,2025-06,9,22017.5,21978.003652505966,39.49634749403423,78.99269498806846,21978.003652505966,22056.996347494034,74.19269498806825,74.19269498806825,True,TP,244.20754629582814,0.0
2025-06-05,2025-06,9,21967.0,21997.868227424748,30.868227424748667,61.736454849497335,21936.131772575252,21997.868227424748,-66.5364548494952,-66.5364548494952,False,STOP,177.67109144633292,-66.53645484949521
2025-06-05,2025-06,15,21885.0,21855.53497141704,29.46502858295841,58.93005716591682,21855.53497141704,21914.46502858296,54.1300571659187,54.1300571659187,True,TP,231.8011486122516,-12.406397683576529
2025-06-06,2025-06,10,22057.75,22037.41150501943,20.338494980570182,40.676989961140364,22037.41150501943,22078.08849498057,35.876989961139046,35.876989961139046,True,TP,267.67813857339064,0.0
2025-06-09,2025-06,10,22048.5,22079.81265543743,31.31265543742959,62.62531087485918,22017.18734456257,22079.81265543743,-67.42531087485695,-67.42531087485695,False,STOP,200.25282769853368,-67.42531087485696
2025-06-09,2025-06,10,22091.75,22042.511716984765,49.238283015235496,98.47656603047099,22042.511716984765,22140.988283015235,93.67656603046926,93.67656603046926,True,TP,293.9293937290029,0.0
2025-06-10,2025-06,11,22073.25,22053.122071892845,20.127928107154368,40.255856214308736,22053.122071892845,22093.377928107155,35.45585621430946,35.45585621430946,True,TP,329.3852499433124,0.0
2025-06-10,2025-06,11,22001.0,22059.812141414328,58.8121414143279,117.6242828286558,21942.187858585672,22059.812141414328,-122.42428282865585,-122.42428282865585,False,STOP,206.9609671146565,-122.42428282865586
2025-06-10,2025-06,15,22186.5,22153.040682991053,33.45931700894551,66.91863401789102,22153.040682991053,22219.959317008947,62.11863401789306,62.11863401789306,True,TP,269.07960113254956,-60.30564881076282
2025-06-11,2025-06,9,22241.5,22221.187219730942,20.312780269058656,40.62556053811731,22221.187219730942,22261.812780269058,35.82556053811568,35.82556053811568,True,TP,304.9051616706652,-24.48008827264715
2025-06-11,2025-06,10,22282.25,22258.724467237138,23.525532762861705,47.05106552572341,22258.724467237138,22305.775532762862,42.25106552572397,42.25106552572397,True,TP,347.1562271963892,0.0
2025-06-12,2025-06,10,22145.75,22170.08002534358,24.33002534358272,48.66005068716544,22121.41997465642,22170.08002534358,-53.46005068716185,-53.46005068716185,False,STOP,293.6961765092273,-53.46005068716187
