date,daily_pnl,cumulative_pnl,drawdown
2025-05-22,-855.5,-855.5,0.0
2025-05-23,696.0,-159.5,0.0
2025-05-28,-163.0,-322.5,163.0
2025-06-13,-1049.0,-1371.5,1212.0
2025-06-15,-314.0,-1685.5,1526.0
2025-06-16,938.0,-747.5,588.0
2025-06-18,317.0,-430.5,271.0
2025-06-20,-224.0,-654.5,495.0
2025-06-25,194.5,-460.0,300.5
2025-06-26,66.0,-394.0,234.5
2025-06-27,-634.0,-1028.0,868.5
2025-06-30,147.0,-881.0,721.5
2025-07-07,494.5,-386.5,227.0
2025-07-10,18.5,-368.0,208.5
2025-07-14,-855.5,-1223.5,1064.0
2025-07-16,-618.0,-1841.5,1682.0
2025-07-17,-159.0,-2000.5,1841.0
2025-07-18,679.5,-1321.0,1161.5
2025-07-21,-241.5,-1562.5,1403.0
2025-07-24,44.5,-1518.0,1358.5
2025-07-25,-654.0,-2172.0,2012.5
2025-07-30,833.5,-1338.5,1179.0
2025-08-04,446.0,-892.5,733.0
2025-08-07,525.5,-367.0,207.5
2025-08-11,-420.5,-787.5,628.0
2025-08-13,71.0,-716.5,557.0
2025-08-22,-991.5,-1708.0,1548.5
2025-08-27,-108.0,-1816.0,1656.5
2025-08-28,-173.0,-1989.0,1829.5
2025-09-15,323.5,-1665.5,1506.0
2025-09-17,-19.0,-1684.5,1525.0
2025-09-19,-279.0,-1963.5,1804.0
2025-09-22,-91.5,-2055.0,1895.5
2025-10-02,471.0,-1584.0,1424.5
2025-10-03,39.5,-1544.5,1385.0
2025-10-06,675.5,-869.0,709.5
2025-10-08,-269.0,-1138.0,978.5
2025-10-09,817.0,-321.0,161.5
2025-10-10,824.5,503.5,0.0
2025-10-15,-62.5,441.0,62.5
2025-10-16,-729.0,-288.0,791.5
2025-10-17,1903.0,1615.0,0.0
2025-10-23,-444.0,1171.0,444.0
2025-10-24,646.0,1817.0,0.0
2025-10-29,399.5,2216.5,0.0
2025-10-31,921.0,3137.5,0.0
2025-11-03,432.0,3569.5,0.0
2025-11-05,733.5,4303.0,0.0
2025-11-10,-679.0,3624.0,679.0
2025-11-12,-211.5,3412.5,890.5
2025-11-17,1388.0,4800.5,0.0
2025-11-19,106.0,4906.5,0.0
2025-11-21,1296.0,6202.5,0.0
2025-11-26,-598.0,5604.5,598.0
2025-12-17,983.5,6588.0,0.0
2025-12-18,-249.5,6338.5,249.5
2025-12-19,-1420.5,4918.0,1670.0
2025-12-24,-229.0,4689.0,1899.0
2025-12-26,-25.5,4663.5,1924.5
2026-01-05,-1433.0,3230.5,3357.5
2026-01-07,-766.5,2464.0,4124.0
2026-01-08,-566.5,1897.5,4690.5
2026-01-09,-624.5,1273.0,5315.0
2026-01-12,-841.5,431.5,6156.5
2026-01-14,392.0,823.5,5764.5
2026-01-15,-349.5,474.0,6114.0
2026-01-16,224.5,698.5,5889.5
2026-01-21,-170.5,528.0,6060.0
2026-01-22,73.5,601.5,5986.5
2026-01-23,-1329.0,-727.5,7315.5
2026-01-26,-741.5,-1469.0,8057.0
2026-01-28,156.5,-1312.5,7900.5
2026-02-04,658.5,-654.0,7242.0
2026-02-09,-1003.0,-1657.0,8245.0
2026-02-11,1152.0,-505.0,7093.0
2026-02-13,-1229.0,-1734.0,8322.0
2026-02-16,308.5,-1425.5,8013.5
2026-02-18,2055.5,630.0,5958.0
2026-02-19,-1356.0,-726.0,7314.0
2026-02-20,1546.5,820.5,5767.5
2026-02-25,-204.0,616.5,5971.5
2026-02-26,854.5,1471.0,5117.0
2026-02-27,-125.5,1345.5,5242.5
2026-03-06,-1029.0,316.5,6271.5
2026-03-09,1121.0,1437.5,5150.5
2026-03-11,263.0,1700.5,4887.5
2026-03-13,-604.0,1096.5,5491.5
2026-03-16,-217.0,879.5,5708.5
2026-03-18,-541.5,338.0,6250.0
2026-03-25,1432.0,1770.0,4818.0
2026-04-01,-829.0,941.0,5647.0
2026-04-02,286.0,1227.0,5361.0
2026-04-03,-629.0,598.0,5990.0
2026-04-05,26.0,624.0,5964.0
2026-04-06,772.5,1396.5,5191.5
2026-04-09,-766.5,630.0,5958.0
2026-04-10,521.0,1151.0,5437.0
2026-04-16,-1216.5,-65.5,6653.5
2026-04-20,1159.5,1094.0,5494.0
2026-04-22,-995.5,98.5,6489.5
2026-04-27,325.5,424.0,6164.0
2026-04-29,-1070.0,-646.0,7234.0
2026-05-01,-129.0,-775.0,7363.0
2026-05-04,191.0,-584.0,7172.0
2026-05-06,-829.0,-1413.0,8001.0
2026-05-07,706.5,-706.5,7294.5
2026-05-11,-1333.0,-2039.5,8627.5
2026-05-13,42.0,-1997.5,8585.5
2026-05-14,2165.5,168.0,6420.0
