entry_time,direction,entry,stop,target,pnl,exit_reason,quality_score,killzone_window,fvg_size,sweep_detected,sweep_strength,date
2025-01-01 23:46:00+00:00,bearish,21259.75,21314.875,21149.5,2205.0,target,77.15741740550644,,360.0,True,1.0,2025-01-01
2025-01-01 23:46:00+00:00,bearish,21264.0,21312.75,21166.5,1950.0,target,69.40741740550644,,170.0,True,12.25,2025-01-01
2025-01-10 06:06:00+00:00,bearish,21298.875,21300.5625,21295.5,67.5,target,60.24487845178827,,75.0,True,4.5,2025-01-10
2025-01-17 14:35:00+00:00,bearish,21577.75,21588.625,21556.0,435.0,target,81.91853168117375,,560.0,True,20.5,2025-01-17
2025-01-17 14:38:00+00:00,bearish,21567.625,21593.6875,21515.5,1042.5,target,75.91853168117375,,775.0,True,17.25,2025-01-17
2025-01-20 08:34:00+00:00,bearish,21603.625,21623.6875,21563.5,-401.25,stop,82.44273613890095,London AM,275.0,True,3.5,2025-01-20
2025-02-27 13:36:00+00:00,bearish,21335.125,21373.1875,21259.0,-761.25,stop,84.39375,,805.0,True,8.0,2025-02-27
2025-02-27 13:39:00+00:00,bearish,21346.25,21367.625,21303.5,855.0,target,83.39375,,160.0,True,7.25,2025-02-27
2025-03-03 07:01:00+00:00,bullish,21235.875,21203.8125,21300.0,-641.25,stop,72.91345116028063,,145.0,True,3.25,2025-03-03
2025-03-04 20:38:00+00:00,bearish,20793.625,20910.4375,20560.0,4672.5,target,77.11431576051075,,745.0,True,3.5,2025-03-04
2025-03-04 20:39:00+00:00,bearish,20786.75,20913.875,20532.5,5085.0,target,75.11431576051075,,670.0,True,14.0,2025-03-04
2025-03-04 13:41:00+00:00,bullish,20547.125,20524.8125,20591.75,892.5,target,60.38814233576629,,95.0,True,6.5,2025-03-04
2025-03-07 13:07:00+00:00,bullish,20342.75,20336.0,20356.25,-135.0,stop,76.1185833333332,,220.0,True,2.25,2025-03-07
2025-03-07 13:08:00+00:00,bullish,20340.5,20337.125,20347.25,135.0,target,74.1185833333332,,240.0,True,3.75,2025-03-07
2025-03-10 09:41:00+00:00,bullish,20238.125,20198.5625,20317.25,-791.25,stop,60.02947963800905,,85.0,True,3.5,2025-03-10
2025-03-12 07:51:00+00:00,bullish,19659.875,19624.4375,19730.75,-708.75,stop,67.33677777777764,London AM,95.0,True,6.0,2025-03-12
2025-04-24 19:11:00+00:00,bearish,19259.25,19263.375,19251.0,165.0,target,77.30170692447301,,270.0,True,21.25,2025-04-24
2025-04-24 19:10:00+00:00,bearish,19258.375,19263.8125,19247.5,217.5,target,75.67670692447301,,155.0,True,2.25,2025-04-24
2025-04-24 19:11:00+00:00,bearish,19256.0,19265.0,19238.0,360.0,target,75.30170692447301,,240.0,True,21.25,2025-04-24
2025-06-02 14:08:00+00:00,bullish,21507.5,21503.75,21515.0,150.0,target,80.50420935108586,NY AM,700.0,True,31.25,2025-06-02
2025-06-03 14:01:00+00:00,bullish,21821.375,21744.3125,21975.5,-1541.25,stop,81.45935121107266,NY AM,275.0,True,10.5,2025-06-03
2025-06-03 13:59:00+00:00,bullish,21812.5,21748.75,21940.0,-1275.0,stop,79.95935121107266,,290.0,True,9.0,2025-06-03
2025-06-04 13:14:00+00:00,bullish,21932.5,21931.75,21934.0,30.0,target,59.79212977099223,,100.0,True,0.5,2025-06-04
2025-06-05 07:39:00+00:00,bullish,22035.75,21937.875,22231.5,-1957.5,stop,78.25833673469374,London AM,130.0,True,5.0,2025-06-05
2025-06-06 13:26:00+00:00,bullish,22006.625,21984.6875,22050.5,877.5,target,84.68831168831169,,275.0,True,5.5,2025-06-06
2025-06-09 14:18:00+00:00,bullish,22073.875,22024.5625,22172.5,-986.25,stop,76.81776996805098,NY AM,175.0,True,12.25,2025-06-09
2025-06-09 06:53:00+00:00,bullish,21982.125,21628.6875,22689.0,162.5,timeout,61.79287951415062,,105.0,True,8.0,2025-06-09
2025-06-11 12:31:00+00:00,bullish,22176.25,22138.75,22251.25,1500.0,target,83.89393982952176,,430.0,True,110.0,2025-06-11
2025-06-11 08:05:00+00:00,bullish,22163.25,22125.375,22239.0,-757.5,stop,82.01360377358483,London AM,140.0,True,1.5,2025-06-11
2025-06-11 12:38:00+00:00,bullish,22291.25,22081.25,22711.25,-1135.0,timeout,75.89393982952176,,830.0,True,28.5,2025-06-11
2025-06-11 12:36:00+00:00,bullish,22289.5,22082.125,22704.25,-1040.0,timeout,73.89393982952177,,300.0,True,2.75,2025-06-11
2025-06-11 08:02:00+00:00,bullish,22157.125,22128.4375,22214.5,-573.75,stop,64.13860377358483,,105.0,True,4.25,2025-06-11
2025-06-11 08:04:00+00:00,bullish,22158.5,22127.75,22220.0,-615.0,stop,61.51360377358484,,100.0,True,2.5,2025-06-11
2025-06-12 02:17:00+00:00,bullish,22008.625,22003.9375,22018.0,187.5,target,61.448855633802815,,125.0,True,4.0,2025-06-12
2025-08-08 08:12:00+00:00,bullish,23548.125,23532.9375,23578.5,392.5,timeout,77.37117483557782,,215.0,True,1.0,2025-08-08
2025-08-08 08:08:00+00:00,bullish,23545.75,23534.125,23569.0,465.0,target,67.12117483557782,,150.0,True,6.5,2025-08-08
2025-08-22 08:05:00+00:00,bullish,23196.875,23159.1875,23272.25,872.5,timeout,70.06009637491833,,165.0,True,7.25,2025-08-22
