timestamp,date,year_month,label,pnl,p_prod,p_frozen,p_daily,thr_daily
2025-04-02 07:03:00,2025-04-02,2025-04,0,-59.3,0.5959951760794835,0.5606895328072575,0.5606895328072575,0.55
2025-04-02 07:23:00,2025-04-02,2025-04,0,-29.3,0.5013424300592902,0.5331863008716946,0.5331863008716946,0.55
2025-04-02 07:43:00,2025-04-02,2025-04,0,-61.8,0.5096709958240944,0.5402324029311635,0.5402324029311635,0.55
2025-04-02 13:44:00,2025-04-02,2025-04,1,123.2,0.6166588280858134,0.5279167270507817,0.5279167270507817,0.55
2025-04-02 13:48:00,2025-04-02,2025-04,1,85.7,0.6021963019820541,0.5155960573267168,0.5155960573267168,0.55
2025-04-02 14:08:00,2025-04-02,2025-04,0,-101.8,0.6088906670201727,0.5144648858139272,0.5144648858139272,0.55
2025-04-02 14:15:00,2025-04-02,2025-04,1,85.7,0.5557032883458483,0.5190405920335665,0.5190405920335665,0.55
2025-04-02 14:26:00,2025-04-02,2025-04,1,210.7,0.5667970772838595,0.5239577744319046,0.5239577744319046,0.55
2025-04-02 18:16:00,2025-04-02,2025-04,0,-26.8,0.5446980769129899,0.4446018185592762,0.4446018185592762,0.55
2025-04-02 18:27:00,2025-04-02,2025-04,1,93.2,0.4286448018734352,0.44858692721953114,0.44858692721953114,0.55
2025-04-02 18:52:00,2025-04-02,2025-04,0,-46.8,0.5215827975966371,0.4511527106907089,0.4511527106907089,0.55
2025-04-02 19:02:00,2025-04-02,2025-04,0,-109.3,0.4331427715025555,0.44851634950646674,0.44851634950646674,0.55
2025-04-03 13:36:00,2025-04-03,2025-04,0,-54.3,0.6911571953536202,0.5564509905085663,0.5651282378472252,0.5
2025-04-03 13:41:00,2025-04-03,2025-04,0,-174.3,0.607823524855655,0.544067040191281,0.558502623580083,0.5
2025-04-03 13:57:00,2025-04-03,2025-04,0,-91.8,0.6446778703916615,0.5611901507750136,0.5668203461398358,0.5
2025-04-03 14:19:00,2025-04-03,2025-04,0,-69.3,0.6324959664287134,0.5701650272046893,0.5630696727574439,0.5
2025-04-03 14:35:00,2025-04-03,2025-04,0,-269.3,0.5734431413395163,0.5527330698926763,0.5652755957748639,0.5
2025-04-04 18:06:00,2025-04-04,2025-04,0,-174.3,0.6286505078783382,0.47866835462213103,0.5015319049717458,0.55
2025-04-04 19:02:00,2025-04-04,2025-04,1,298.2,0.5904794467525447,0.4982764782241857,0.5032455293807433,0.55
2025-04-07 13:46:00,2025-04-07,2025-04,0,-104.3,0.5810637083533873,0.5124670008549121,0.5366367474939941,0.5
2025-04-07 18:04:00,2025-04-07,2025-04,1,115.7,0.5732989310673171,0.40724567686038277,0.42935732860285425,0.5
2025-04-07 18:14:00,2025-04-07,2025-04,0,-99.3,0.52238755713386,0.4058281683410481,0.419107604981954,0.5
2025-04-07 18:37:00,2025-04-07,2025-04,1,185.7,0.5885513050229001,0.43142244733275376,0.4396210873400688,0.5
2025-04-07 19:01:00,2025-04-07,2025-04,1,75.7,0.5209268942802608,0.4075725451847425,0.4219111820521779,0.5
2025-04-08 13:40:00,2025-04-08,2025-04,1,60.7,0.49482384102448845,0.5194086090969608,0.5457893973985365,0.5
2025-04-08 13:52:00,2025-04-08,2025-04,0,-99.3,0.4922433066317901,0.5239310620646934,0.5588088596381213,0.5
2025-04-08 14:46:00,2025-04-08,2025-04,1,115.7,0.4887134075700099,0.4955256867554361,0.5164250359746724,0.5
2025-04-08 18:22:00,2025-04-08,2025-04,0,-139.3,0.6210687280886937,0.417227214028846,0.4416358698797442,0.5
2025-04-08 18:56:00,2025-04-08,2025-04,0,-176.8,0.6650339067885973,0.4474006255893299,0.451294575665879,0.5
2025-04-11 18:15:00,2025-04-11,2025-04,1,38.2,0.5869350363181908,0.489035095210945,0.45869222574575247,0.5
2025-04-11 18:32:00,2025-04-11,2025-04,1,93.2,0.5500782957030284,0.4952330072924853,0.4623172034086682,0.5
2025-04-11 18:43:00,2025-04-11,2025-04,0,-94.3,0.5188633270476352,0.4825249919845403,0.4573127746201553,0.5
2025-04-11 18:56:00,2025-04-11,2025-04,1,103.2,0.5266262139152603,0.4877935251051864,0.4598442461344552,0.5
2025-04-14 14:11:00,2025-04-14,2025-04,1,205.7,0.6768881510902447,0.5261481813194506,0.49871913356966824,0.45
2025-04-14 15:01:00,2025-04-14,2025-04,1,155.7,0.516791163002628,0.5014564243802074,0.5211834378548038,0.45
2025-04-14 18:14:00,2025-04-14,2025-04,0,-84.3,0.5347507708268153,0.41321292645522756,0.4302194310078235,0.45
2025-04-14 18:34:00,2025-04-14,2025-04,1,53.2,0.5631856429829546,0.3987428190699661,0.39876430253864564,0.45
2025-04-14 18:46:00,2025-04-14,2025-04,0,-56.8,0.5736861255320013,0.40489522511332554,0.40135969565476975,0.45
2025-04-15 13:42:00,2025-04-15,2025-04,1,133.2,0.582856422515228,0.4923779862501771,0.5168627952091502,0.5
2025-04-15 14:14:00,2025-04-15,2025-04,0,-126.8,0.566074487236241,0.5050180326364166,0.5106430208516077,0.5
2025-04-15 14:23:00,2025-04-15,2025-04,0,-89.05,0.5719738648234918,0.5643079350655016,0.5799722121602973,0.5
2025-04-15 18:02:00,2025-04-15,2025-04,0,-66.8,0.5331977569123558,0.4243893938824526,0.44137612662021625,0.5
2025-04-15 18:28:00,2025-04-15,2025-04,1,83.2,0.5307502066761407,0.4387862314082907,0.4463221431252885,0.5
2025-04-15 18:49:00,2025-04-15,2025-04,0,-42.8,0.5636592370698952,0.4426583093369625,0.4410026232989752,0.5
2025-04-21 18:21:00,2025-04-21,2025-04,1,75.7,0.6223035294103841,0.425115459398683,0.39264960724323783,0.5
2025-04-23 18:06:00,2025-04-23,2025-04,1,30.7,0.41131446932421095,0.4238683571781944,0.4321642714041121,0.45
2025-04-23 18:21:00,2025-04-23,2025-04,1,63.2,0.4950700900498112,0.4539260295863415,0.4278977230172092,0.45
2025-04-23 18:31:00,2025-04-23,2025-04,1,95.7,0.5026903078953481,0.4587291715631681,0.4537800683839993,0.45
2025-04-24 07:16:00,2025-04-24,2025-04,0,-74.3,0.5003244388624343,0.534960694209798,0.5407017426169216,0.45
2025-04-24 07:45:00,2025-04-24,2025-04,0,-41.8,0.47772146516246267,0.5372387218965406,0.5304574459833471,0.45
