pair,direction,thresh_usd,stop_mult,n,freq,wr,pf,avg_pnl,worst_mo,stop_med,edge_density,total
MNQ_ES,SHORT_A,30,1.0,1181,5.518691588785047,0.5596951735817104,1.0999222491339207,2.058601297647253,0.4117647058823529,37.97685338052875,11.360785665987878,2431.208132521406
MNQ_ES,SHORT_A,30,2.0,1028,4.803738317757009,0.6614785992217899,0.8915152521997,-2.9323793616009772,0.5185185185185185,75.08146552778786,-14.08638310152245,-3014.4859837258045
MNQ_ES,SHORT_A,40,1.0,633,2.957943925233645,0.5797788309636651,1.2741138103479113,6.570446770780623,0.38461538461538464,49.80940122485913,19.43501311170156,4159.092805904134
MNQ_ES,SHORT_A,40,2.0,548,2.560747663551402,0.656934306569343,0.8944351546950479,-3.5589521000974766,0.5238095238095238,97.19657698495956,-9.113578275015968,-1950.3057508534173
MNQ_ES,SHORT_A,50,1.0,372,1.7383177570093458,0.6021505376344086,1.4188796869876554,11.282101143468177,0.4411764705882353,61.03353746149834,19.611876754066177,4196.941625370162
MNQ_ES,SHORT_A,50,2.0,303,1.4158878504672898,0.66996699669967,0.9827712766545164,-0.6305196449810714,0.5357142857142857,117.04544703809664,-0.8927451048096479,-191.04745242926464
MNQ_ES,SHORT_A,60,1.0,234,1.0934579439252337,0.594017094017094,1.4065155288776645,12.780575164129669,0.3333333333333333,72.96081693376806,13.975021441151133,2990.6545884063426
MNQ_ES,SHORT_A,60,2.0,156,0.7289719626168224,0.6474358974358975,0.9330874944869602,-2.822629919190694,0.4,131.8735924266831,-2.057618071933403,-440.3302673937483
MNQ_ES,LONG_A,30,1.0,1199,5.602803738317757,0.5062552126772311,0.7868006089875872,-5.329855659039449,0.3474576271186441,39.16559694744056,-29.862135211160275,-6390.496935188299
MNQ_ES,LONG_A,30,2.0,1055,4.929906542056075,0.633175355450237,0.7477562798195925,-7.732961603303563,0.48,76.03616789078669,-38.12277799759467,-8158.274491485259
MNQ_ES,LONG_A,40,1.0,697,3.2570093457943927,0.4949784791965567,0.7949138541723463,-6.351647648204772,0.36538461538461536,49.308043355511785,-20.68737575139592,-4427.098410798726
MNQ_ES,LONG_A,40,2.0,600,2.803738317757009,0.6383333333333333,0.7852214936514097,-7.74843175235048,0.4888888888888889,94.33744458835483,-21.72457500659013,-4649.059051410288
MNQ_ES,LONG_A,50,1.0,402,1.8785046728971964,0.5074626865671642,0.8459443768149666,-5.589967974692115,0.34782608695652173,59.63702779153021,-10.500780961804814,-2247.1671258262304
MNQ_ES,LONG_A,50,2.0,324,1.514018691588785,0.6111111111111112,0.7374239409631788,-11.541119483118765,0.41379310344827586,113.97771009040164,-17.473470619301306,-3739.3227125304797
MNQ_ES,LONG_A,60,1.0,236,1.102803738317757,0.4915254237288136,0.8085785938400747,-8.384400049923903,0.25,74.95192915390888,-9.246347718607668,-1978.7184117820411
MNQ_ES,LONG_A,60,2.0,148,0.6915887850467289,0.5608108108108109,0.6269845523040335,-20.29578687637306,0.0,131.21981666439473,-14.036338587398191,-3003.776457703213
