date,year,month,contract,side,gap_pct,inside_prior_range,roll_boundary,seen_by_gapv
2022-04-12,2022,4,MNQM22,short,1.47,False,False,False
2022-04-21,2022,4,MNQM22,short,1.184,True,False,False
2022-04-25,2022,4,MNQM22,long,0.518,False,False,False
2022-04-26,2022,4,MNQM22,long,0.691,True,False,False
2022-04-28,2022,4,MNQM22,short,1.596,True,False,False
2022-05-05,2022,5,MNQM22,long,1.408,True,False,False
2022-05-09,2022,5,MNQM22,long,1.923,False,False,False
2022-05-10,2022,5,MNQM22,short,2.431,True,False,False
2022-05-11,2022,5,MNQM22,long,1.008,True,False,False
2022-05-12,2022,5,MNQM22,long,1.349,False,False,False
2022-05-17,2022,5,MNQM22,short,2.111,False,False,False
2022-05-18,2022,5,MNQM22,long,1.434,True,False,False
2022-05-19,2022,5,MNQM22,long,0.634,False,False,False
2022-05-24,2022,5,MNQM22,long,1.772,True,False,False
2022-05-30,2022,5,MNQM22,short,0.73,False,False,False
2022-06-01,2022,6,MNQM22,short,0.63,True,False,False
2022-06-02,2022,6,MNQM22,long,0.507,True,False,False
2022-06-06,2022,6,MNQM22,short,1.474,False,False,False
2022-06-07,2022,6,MNQM22,long,1.05,False,False,False
2022-06-09,2022,6,MNQM22,long,0.508,False,False,False
2022-06-13,2022,6,MNQM22,long,3.277,False,False,False
2022-06-14,2022,6,MNQM22,short,0.826,True,False,False
2022-06-15,2022,6,MNQM22,short,1.233,False,False,False
2022-06-16,2022,6,MNQM22,long,2.534,False,False,False
2022-06-20,2022,6,MNQU22,short,0.546,True,False,False
2022-06-22,2022,6,MNQU22,long,0.679,True,False,False
2022-06-23,2022,6,MNQU22,short,0.803,True,False,False
2022-06-27,2022,6,MNQU22,short,0.569,False,False,False
2022-06-30,2022,6,MNQU22,long,1.26,False,False,False
2022-07-11,2022,7,MNQU22,long,0.861,True,False,False
2022-07-12,2022,7,MNQU22,short,0.545,True,False,False
2022-07-13,2022,7,MNQU22,long,2.048,False,False,False
2022-07-14,2022,7,MNQU22,long,1.028,True,False,False
2022-07-18,2022,7,MNQU22,short,0.977,False,False,False
2022-07-19,2022,7,MNQU22,short,1.252,True,False,False
2022-07-26,2022,7,MNQU22,long,0.614,True,False,False
2022-07-27,2022,7,MNQU22,short,1.599,False,False,False
2022-08-01,2022,8,MNQU22,long,0.572,True,False,False
2022-08-02,2022,8,MNQU22,long,0.768,True,False,False
2022-08-03,2022,8,MNQU22,short,0.563,True,False,False
2022-08-09,2022,8,MNQU22,long,0.618,False,False,False
2022-08-10,2022,8,MNQU22,short,2.401,False,False,False
2022-08-11,2022,8,MNQU22,short,0.73,False,False,False
2022-08-17,2022,8,MNQU22,long,1.056,False,False,False
2022-08-22,2022,8,MNQU22,long,1.419,False,False,False
2022-08-25,2022,8,MNQU22,short,0.57,True,False,False
2022-08-29,2022,8,MNQU22,long,0.986,False,False,False
2022-08-31,2022,8,MNQU22,short,0.994,True,False,False
2022-09-01,2022,9,MNQU22,long,1.016,False,False,False
2022-09-08,2022,9,MNQU22,long,0.791,True,False,False
2022-09-13,2022,9,MNQU22,long,2.843,False,False,False
2022-09-15,2022,9,MNQU22,long,0.684,True,False,False
2022-09-19,2022,9,MNQZ22,long,0.982,True,False,False
2022-09-20,2022,9,MNQZ22,long,0.894,True,False,False
2022-09-22,2022,9,MNQZ22,long,0.774,False,False,False
2022-09-27,2022,9,MNQZ22,short,1.242,True,False,False
2022-09-29,2022,9,MNQZ22,long,1.53,True,False,False
2022-10-03,2022,10,MNQZ22,short,0.721,True,False,False
2022-10-04,2022,10,MNQZ22,short,2.002,False,False,False
2022-10-05,2022,10,MNQZ22,long,1.27,False,False,False
2022-10-11,2022,10,MNQZ22,long,0.612,True,False,False
2022-10-13,2022,10,MNQZ22,long,2.912,False,False,False
2022-10-17,2022,10,MNQZ22,short,2.423,True,False,False
2022-10-18,2022,10,MNQZ22,short,2.721,False,False,False
2022-10-26,2022,10,MNQZ22,long,1.922,False,False,False
2022-10-31,2022,10,MNQZ22,long,0.756,True,False,False
2022-11-01,2022,11,MNQZ22,short,1.351,False,False,False
2022-11-03,2022,11,MNQZ22,long,1.311,False,False,False
2022-11-07,2022,11,MNQZ22,short,0.589,True,False,False
2022-11-08,2022,11,MNQZ22,short,0.554,False,False,False
2022-11-09,2022,11,MNQZ22,long,0.71,True,False,False
2022-11-10,2022,11,MNQZ22,short,4.712,False,False,False
2022-11-14,2022,11,MNQZ22,long,0.684,True,False,False
2022-11-15,2022,11,MNQZ22,short,2.489,False,False,False
2022-11-16,2022,11,MNQZ22,long,0.591,True,False,False
2022-11-17,2022,11,MNQZ22,long,1.641,False,False,False
2022-12-05,2022,12,MNQZ22,long,0.753,True,False,False
2022-12-07,2022,12,MNQZ22,long,0.506,False,False,False
2022-12-13,2022,12,MNQZ22,short,3.925,False,False,False
2022-12-15,2022,12,MNQZ22,long,1.547,False,False,False
2022-12-20,2022,12,MNQH23,long,0.632,False,False,False
2022-12-22,2022,12,MNQH23,long,1.191,True,False,False
2022-12-29,2022,12,MNQH23,short,1.093,True,False,False
2023-01-03,2023,1,MNQH23,short,0.948,False,False,False
2023-01-04,2023,1,MNQH23,short,0.758,True,False,False
2023-01-05,2023,1,MNQH23,long,0.669,True,False,False
2023-01-09,2023,1,MNQH23,short,0.801,False,False,False
2023-01-18,2023,1,MNQH23,short,0.658,False,False,False
2023-01-19,2023,1,MNQH23,long,0.675,False,False,False
2023-01-24,2023,1,MNQH23,long,0.599,True,False,False
2023-01-25,2023,1,MNQH23,long,1.679,False,False,False
2023-01-26,2023,1,MNQH23,short,1.24,False,False,False
2023-01-30,2023,1,MNQH23,long,1.186,True,False,False
2023-02-02,2023,2,MNQH23,short,2.088,False,False,False
2023-02-06,2023,2,MNQH23,long,1.019,False,False,False
2023-02-08,2023,2,MNQH23,long,0.581,True,False,False
2023-02-09,2023,2,MNQH23,short,1.439,True,False,False
2023-02-15,2023,2,MNQH23,long,0.667,True,False,False
2023-02-16,2023,2,MNQH23,long,1.551,False,False,False
2023-02-23,2023,2,MNQH23,short,1.353,False,False,False
2023-02-27,2023,2,MNQH23,short,1.147,False,False,False
2023-03-02,2023,3,MNQH23,long,0.899,False,False,False
2023-03-13,2023,3,MNQH23,long,0.657,False,False,False
2023-03-14,2023,3,MNQH23,short,1.161,True,False,False
2023-03-15,2023,3,MNQH23,long,0.887,True,False,False
2023-03-21,2023,3,MNQM23,short,0.676,False,False,False
2023-03-23,2023,3,MNQM23,short,0.866,True,False,False
2023-03-29,2023,3,MNQM23,short,1.22,False,False,False
2023-03-30,2023,3,MNQM23,short,0.766,False,False,False
2023-04-03,2023,4,MNQM23,long,0.789,True,False,False
2023-04-06,2023,4,MNQM23,long,0.518,True,False,False
2023-04-10,2023,4,MNQM23,long,0.977,True,False,False
2023-04-12,2023,4,MNQM23,short,0.641,True,False,False
2023-04-13,2023,4,MNQM23,short,0.519,True,False,False
2023-04-18,2023,4,MNQM23,short,0.73,False,False,False
2023-04-19,2023,4,MNQM23,long,0.888,False,False,False
2023-04-20,2023,4,MNQM23,long,0.996,False,False,False
2023-04-26,2023,4,MNQM23,short,1.02,True,False,False
2023-04-27,2023,4,MNQM23,short,1.103,False,False,False
2023-05-09,2023,5,MNQM23,long,0.551,True,False,False
2023-05-10,2023,5,MNQM23,short,0.803,False,False,False
2023-05-24,2023,5,MNQM23,long,0.65,False,False,False
2023-05-25,2023,5,MNQM23,short,2.264,False,False,False
2023-06-12,2023,6,MNQM23,short,0.5,True,False,False
2023-06-13,2023,6,MNQM23,short,0.876,False,False,False
2023-06-28,2023,6,MNQU23,long,0.511,True,False,False
2023-07-06,2023,7,MNQU23,long,1.137,False,False,False
2023-07-12,2023,7,MNQU23,short,1.025,False,False,False
2023-07-13,2023,7,MNQU23,short,0.917,False,False,False
2023-07-20,2023,7,MNQU23,long,0.81,False,False,False
2023-07-27,2023,7,MNQU23,short,1.465,False,False,False
2023-08-02,2023,8,MNQU23,long,0.964,False,False,False
2023-08-03,2023,8,MNQU23,long,0.794,False,False,False
2023-08-07,2023,8,MNQU23,short,0.513,True,False,False
2023-08-08,2023,8,MNQU23,long,0.773,True,False,False
2023-08-10,2023,8,MNQU23,short,0.84,True,False,False
2023-08-22,2023,8,MNQU23,short,0.639,False,False,False
2023-08-24,2023,8,MNQU23,short,1.004,False,False,False
