date,value
2024-11-01,0.0002390790078486
2024-11-02,0.00023504050972221897
2024-11-03,0.0002270736135912923
2024-11-04,0.0002258471643264376
2024-11-05,0.00022254199977292312
2024-11-06,0.0002349569444006042
2024-11-07,0.0002473697192304403
2024-11-08,0.0002528538130715465
2024-11-09,0.00025494012079375656
2024-11-10,0.00028215378007947855
2024-11-11,0.0002925737644385039
2024-11-12,0.00033302571615004175
2024-11-13,0.000331867335301521
2024-11-14,0.00034437639995406875
2024-11-15,0.00034958407756450376
2024-11-16,0.0003604760084715644
2024-11-17,0.0003784663953773037
2024-11-18,0.0003955122608858919
2024-11-19,0.0004038092098740033
2024-11-20,0.0004015589224170898
2024-11-21,0.0004073957643521919
2024-11-22,0.000419427865621584
2024-11-23,0.0004324653084870606
2024-11-24,0.0004479404075126783
2024-11-25,0.00045985298187008373
2024-11-26,0.00047134599036553694
2024-11-27,0.00047425023959543275
2024-11-28,0.00047577420625728424
2024-11-29,0.0004919051527885877
2024-11-30,0.0005008120218807788
2024-12-01,0.000514156146729135
2024-12-02,0.0005214806731273174
2024-12-03,0.0005360060139470291
2024-12-04,0.0005518712398368959
2024-12-05,0.0005924998481125136
2024-12-06,0.0006024700150774617
2024-12-07,0.0006114936103961331
2024-12-08,0.000624830358505746
2024-12-09,0.0006304317463363222
2024-12-10,0.0006274688396176172
2024-12-11,0.0006180067046589489
2024-12-12,0.0006075343559049542
2024-12-13,0.0005937468402636373
2024-12-14,0.0005818959542505202
2024-12-15,0.000577467327229151
2024-12-16,0.0005776683042036264
2024-12-17,0.0005742025946261179
2024-12-18,0.0005672769714992436
2024-12-19,0.0005630528747976304
2024-12-20,0.0005529470243518105
2024-12-21,0.0005383359347594686
2024-12-22,0.0005195688464178023
2024-12-23,0.0005120816104650205
2024-12-24,0.0005026638315517824
2024-12-25,0.0004930716445454275
2024-12-26,0.0004856576559002558
2024-12-27,0.0004894510907621017
2024-12-28,0.0004805090230601976
2024-12-29,0.00046967361872735303
2024-12-30,0.00046987231584159325
2024-12-31,0.00046987553568230344
2025-01-01,0.00047670536500535364
2025-01-02,0.0004769838979271997
2025-01-03,0.0004706511083208699
2025-01-04,0.0004662170759046593
2025-01-05,0.00045911936314284904
2025-01-06,0.0004520665051768976
2025-01-07,0.00044191641901882733
2025-01-08,0.00043240185493495503
2025-01-09,0.00042197335941178535
2025-01-10,0.00041551883103194614
2025-01-11,0.0004101406111768942
2025-01-12,0.00040637280942199385
2025-01-13,0.0004002980797041683
2025-01-14,0.0003967085992819904
2025-01-15,0.00039091933527723966
2025-01-16,0.00039021656594162774
2025-01-17,0.0003933787794911496
2025-01-18,0.00039756091280819696
2025-01-19,0.00041332299886012453
2025-01-20,0.00042515625007523596
2025-01-21,0.00042044373257045026
2025-01-22,0.00041137418679799823
2025-01-23,0.0004037957430448813
2025-01-24,0.0003924351688455044
2025-01-25,0.00038536970404173235
2025-01-26,0.00037337415087275433
2025-01-27,0.00036169847761070926
2025-01-28,0.00035301173738915877
2025-01-29,0.000347135531284276
2025-01-30,0.00034170439152196754
2025-01-31,0.0003345265736740658
2025-02-01,0.00032369726813108056
2025-02-02,0.0003146822916948579
2025-02-03,0.0002988546474248988
2025-02-04,0.0002902759597194182
2025-02-05,0.0002813848886066476
2025-02-06,0.0002753823095681717
2025-02-07,0.0002677460618824114
2025-02-08,0.0002589666303202695
2025-02-09,0.0002538997715934706
2025-02-10,0.00025353298460858276
2025-02-11,0.0002494537987814836
2025-02-12,0.00024491258225086294
2025-02-13,0.00024191124811224202
2025-02-14,0.0002361271810300609
2025-02-15,0.00023368466169442466
2025-02-16,0.00023232446878919806
2025-02-17,0.0002315776886888227
2025-02-18,0.0002340662290954289
2025-02-19,0.00023769017490931794
2025-02-20,0.0002353478809796062
2025-02-21,0.00023726471322884108
2025-02-22,0.0002398436930772256
2025-02-23,0.00023913702888924695
2025-02-24,0.00023948513370650027
2025-02-25,0.0002391695716653599
2025-02-26,0.00024289892969503148
2025-02-27,0.00024804477040505144
2025-02-28,0.0002460436828381029
2025-03-01,0.00024420373955681273
2025-03-02,0.00024342241196153108
2025-03-03,0.00025088089582866915
