date,value
2006-06-05,85.72000122070312
2006-06-12,85.91999816894531
2006-06-19,86.81999969482422
2006-06-26,85.22000122070312
2006-07-03,84.9800033569336
2006-07-10,86.08999633789062
2006-07-17,85.93000030517578
2006-07-24,85.44000244140625
2006-07-31,84.56999969482422
2006-08-07,85.5199966430664
2006-08-14,85.08999633789062
2006-08-21,85.37999725341797
2006-08-28,84.94000244140625
2006-09-04,85.94999694824219
2006-09-11,85.98999786376953
2006-09-18,85.19999694824219
2006-09-25,85.97000122070312
2006-10-02,86.44000244140625
2006-10-09,87.12000274658203
2006-10-16,86.2699966430664
2006-10-23,85.55999755859375
2006-10-30,85.70999908447266
2006-11-06,85.05000305175781
2006-11-13,85.37000274658203
2006-11-20,83.70999908447266
2006-11-27,82.4800033569336
2006-12-04,83.33000183105469
2006-12-11,84.05999755859375
2006-12-18,83.94000244140625
2006-12-25,83.72000122070312
2007-01-01,84.62999725341797
2007-01-08,85.02999877929688
2007-01-15,84.86000061035156
2007-01-22,85.27999877929688
2007-01-29,84.95999908447266
2007-02-05,84.87000274658203
2007-02-12,84.08999633789062
2007-02-19,84.06999969482422
2007-02-26,83.73999786376953
2007-03-05,84.23999786376953
2007-03-12,83.2300033569336
2007-03-19,83.27999877929688
2007-03-26,82.93000030517578
2007-04-02,82.98999786376953
2007-04-09,82.12999725341797
2007-04-16,81.63999938964844
2007-04-23,81.52999877929688
2007-04-30,81.73999786376953
2007-05-07,82.12000274658203
2007-05-14,82.19999694824219
2007-05-21,82.33000183105469
2007-05-28,82.31999969482422
2007-06-04,82.69000244140625
2007-06-11,82.8499984741211
2007-06-18,82.33999633789062
2007-06-25,81.91999816894531
2007-07-02,81.45999908447266
2007-07-09,80.58000183105469
2007-07-16,80.29000091552734
2007-07-23,80.94999694824219
2007-07-30,80.18000030517578
2007-08-06,80.68000030517578
2007-08-13,81.43000030517578
2007-08-20,80.66999816894531
2007-08-27,80.79000091552734
2007-09-03,79.95999908447266
2007-09-10,79.62000274658203
2007-09-17,78.5999984741211
2007-09-24,77.72000122070312
2007-10-01,78.30999755859375
2007-10-08,78.22000122070312
2007-10-15,77.41000366210938
2007-10-22,77.02999877929688
2007-10-29,76.33999633789062
2007-11-05,75.4000015258789
2007-11-12,75.83000183105469
2007-11-19,75.05000305175781
2007-11-26,76.1500015258789
2007-12-03,76.29000091552734
2007-12-10,77.44000244140625
2007-12-17,77.72000122070312
2007-12-24,76.22000122070312
2007-12-31,75.79000091552734
2008-01-07,75.9800033569336
2008-01-14,76.37999725341797
2008-01-21,75.97000122070312
2008-01-28,75.44999694824219
2008-02-04,76.66999816894531
2008-02-11,76.0999984741211
2008-02-18,75.5199966430664
2008-02-25,73.70999908447266
2008-03-03,73.02999877929688
2008-03-10,71.66000366210938
2008-03-17,72.75
2008-03-24,71.68000030517578
2008-03-31,72.0199966430664
2008-04-07,71.80999755859375
2008-04-14,72.01000213623047
2008-04-21,72.79000091552734
2008-04-28,73.5
2008-05-05,73.05000305175781
2008-05-12,72.83999633789062
2008-05-19,71.88999938964844
2008-05-26,72.87999725341797
2008-06-02,72.38999938964844
2008-06-09,74.1500015258789
2008-06-16,73.02999877929688
2008-06-23,72.36000061035156
2008-06-30,72.7300033569336
